emp_id,cbi1,cbi2,cbi3,cbi4,cbi5,cbi6,cbi7,cbi8,cbi9,cbi10,cbi11,cbi12,cbi13,cbi14,cbi15,cbi16,cbi17,cbi18,cbi19
EI0302863ES,1,5,2,3,1,2,2,1,2,1,1,2,2,2,3,2,1,2,2
EI2602674ES,2,1,2,2,1,2,3,3,1,2,1,2,1,5,1,2,2,5,3
EI1905988ES,2,3,1,2,1,3,2,1,3,2,3,2,4,3,1,5,3,3,2
EI2600178ES,1,1,2,1,3,1,4,1,5,3,1,3,5,4,3,1,1,1,3
EI0206468ES,5,4,3,1,3,2,2,3,2,2,1,2,3,1,4,1,1,1,1
EI1100038ES,3,3,1,4,4,1,2,2,5,3,4,1,3,4,1,2,2,4,2
EI0103397ES,5,2,1,1,2,2,1,2,4,5,2,1,2,4,2,4,2,3,2
EI1203810ES,3,1,2,1,4,3,1,1,4,3,2,2,4,4,2,3,1,1,1
EI1604709ES,2,2,3,3,4,2,1,1,5,3,3,3,1,1,1,2,1,3,1
EI9603367ES,5,1,1,1,3,3,2,4,3,2,2,3,1,1,4,3,1,4,1
EI9804673ES,4,3,5,3,3,1,4,2,1,2,4,1,5,1,2,5,1,3,2
EI1200586ES,1,2,4,2,3,2,3,3,1,5,4,4,2,3,1,5,2,2,3
EI1501439ES,4,5,1,3,2,1,2,3,2,2,1,3,2,3,1,2,4,3,2
EI0401023ES,1,4,3,5,3,5,1,1,3,3,4,1,2,1,1,1,5,2,2
EI2300545ES,1,1,1,1,1,1,3,3,3,2,3,3,5,2,2,2,5,1,3
EI2603881ES,1,2,2,3,1,2,2,4,4,2,4,2,1,1,4,3,3,2,1
EI9501075ES,3,2,1,2,4,3,1,4,2,2,1,2,1,1,4,1,3,1,1
EI9203967ES,1,1,4,3,3,5,3,3,2,3,2,4,1,2,1,1,2,4,3
EI2302550ES,1,3,4,2,1,2,1,1,2,2,1,2,3,1,2,1,1,3,4
EI2604928ES,2,3,5,2,1,1,3,3,2,1,5,3,3,2,2,5,2,3,2
EI9200753ES,4,5,2,1,2,2,2,4,2,1,3,2,2,4,1,4,4,4,2
EI9904813ES,3,3,3,4,4,1,1,4,1,2,3,2,1,2,2,1,1,5,2
EI9404304ES,4,3,1,2,4,2,2,2,2,1,1,3,1,3,1,2,2,1,3
EI0204939ES,5,2,2,5,4,5,1,1,1,2,4,2,1,3,3,2,5,3,2
EI9703434ES,3,3,2,3,4,4,4,4,4,3,1,3,5,4,2,4,5,4,3
EI1701607ES,1,1,5,1,2,2,4,2,1,5,1,4,5,2,2,1,3,2,1
EI1603916ES,4,1,3,3,2,3,1,1,4,2,4,3,2,2,2,2,2,1,1
EI0506964ES,3,1,3,3,1,4,3,3,2,4,4,1,1,5,4,5,1,2,5
EI1206650ES,3,2,4,1,1,2,3,3,4,2,2,1,3,1,1,1,2,1,1
EI0902118ES,3,1,2,4,3,3,3,2,2,2,1,4,2,1,2,4,5,2,1
EI9202441ES,3,5,2,4,2,5,1,1,5,1,2,3,4,4,4,5,3,4,2
EI1404344ES,4,1,5,3,2,2,2,2,4,1,2,4,1,1,4,2,2,5,5
EI1401935ES,1,4,1,3,2,4,1,3,1,1,5,5,2,3,2,4,3,3,3
EI1902200ES,4,2,1,1,1,4,2,4,2,2,3,2,5,2,2,2,3,4,2
EI1100051ES,3,4,2,1,5,2,3,1,1,1,1,2,2,2,4,3,2,5,2
EI9203640ES,2,4,1,3,2,4,4,3,2,1,2,3,1,3,3,3,2,5,5
EI0304767ES,1,1,4,5,4,4,5,2,1,3,2,1,1,1,3,1,2,2,3
EI2406953ES,4,2,3,3,2,3,3,2,1,3,3,3,4,5,1,1,4,1,4
EI9302861ES,1,2,2,2,1,3,3,4,3,4,2,5,3,3,2,3,1,3,2
EI2603083ES,1,3,3,1,1,3,2,3,1,1,4,1,4,4,3,1,4,3,5
EI0105434ES,3,3,3,2,5,4,3,4,1,2,1,3,4,2,3,3,3,2,1
EI2300430ES,2,2,1,1,3,1,5,3,1,4,2,3,2,3,1,4,2,3,3
EI9506892ES,3,1,2,3,1,3,3,4,1,2,5,2,1,1,1,2,2,3,2
EI0804155ES,2,1,4,1,1,3,1,3,1,1,3,1,1,5,2,5,4,3,4
EI1803890ES,4,3,5,3,3,3,2,1,1,1,1,2,2,3,1,2,4,5,3
EI0501413ES,3,4,2,1,1,5,1,2,2,1,3,1,3,3,2,1,1,3,2
EI9701733ES,3,4,1,3,2,3,5,3,3,1,2,2,1,4,4,2,1,2,4
EI2002250ES,2,3,1,1,2,2,5,4,2,3,2,5,5,4,2,1,2,3,3
EI9106649ES,3,2,2,2,2,1,2,1,2,3,1,1,2,2,3,5,1,1,2
EI0702782ES,2,4,1,2,3,2,3,5,3,5,2,2,5,2,5,1,2,1,2
EI9704355ES,2,1,1,4,3,2,5,1,5,2,2,1,2,4,2,1,2,1,2
EI9003947ES,2,5,3,5,5,1,1,3,2,2,1,2,2,3,2,2,4,2,1
EI0604519ES,4,3,3,2,1,3,2,4,5,1,3,4,5,3,1,3,2,2,4
EI0703797ES,4,3,1,2,3,4,2,2,2,2,1,3,2,2,1,2,1,1,3
EI0104247ES,4,2,2,3,4,3,3,4,3,5,2,2,4,2,1,1,3,2,2
EI1904109ES,2,2,3,3,1,4,1,3,2,4,1,1,2,2,3,2,1,2,3
EI2305649ES,1,5,4,2,4,2,3,1,3,2,4,2,1,4,2,1,1,1,2
EI9302274ES,2,5,3,5,2,3,2,2,2,4,1,3,1,4,1,4,3,4,4
EI2203393ES,5,1,1,4,4,4,4,1,2,3,2,4,3,3,3,5,3,4,2
EI9605774ES,1,3,2,4,3,2,4,2,2,2,3,5,2,2,4,2,2,2,4
EI0302307ES,2,1,2,2,2,1,4,1,3,3,2,2,1,2,2,2,1,5,2
EI9604560ES,3,1,2,1,4,3,4,1,5,4,1,3,4,2,3,3,2,2,1
EI9903625ES,1,2,3,2,3,3,2,2,1,5,1,3,2,1,4,2,2,2,5
EI0605815ES,4,2,4,1,3,5,2,1,2,4,2,4,1,4,4,2,4,4,1
EI2201741ES,1,5,1,2,2,3,4,3,4,1,2,3,4,3,4,3,1,5,3
EI1905611ES,1,4,2,3,4,3,2,3,4,1,4,3,4,2,5,2,3,3,2
EI2402119ES,5,2,3,2,3,1,2,2,5,4,3,4,2,4,2,5,2,2,1
EI0606045ES,3,5,1,5,3,1,4,4,2,1,4,5,2,4,4,1,4,3,3
EI1402685ES,2,5,3,3,1,2,2,2,1,2,2,2,1,4,2,4,3,2,5
EI9605621ES,3,1,1,1,1,2,3,4,2,3,1,1,3,4,1,4,3,2,4
EI1104368ES,3,1,1,1,2,3,4,3,2,3,2,4,3,1,4,3,2,2,3
EI0301551ES,1,2,3,1,3,1,4,1,1,2,3,2,2,1,5,5,1,1,3
EI1300231ES,3,1,4,3,1,4,5,4,1,1,1,4,1,1,1,4,4,3,3
EI2300535ES,2,5,2,4,4,2,3,1,2,4,3,1,2,2,3,5,3,1,1
EI1000240ES,3,5,4,1,3,1,2,5,1,2,4,5,3,1,3,5,2,5,3
EI9906098ES,3,1,1,5,4,2,2,3,4,3,5,3,4,2,2,3,3,5,4
EI9905442ES,1,4,2,2,5,2,3,1,1,2,1,2,2,3,5,3,2,1,4
EI0705941ES,4,4,2,1,1,3,3,5,3,2,3,1,3,1,4,4,1,2,1
EI0403818ES,1,5,2,1,2,4,1,4,4,4,4,1,3,3,5,1,2,2,1
EI9205921ES,2,1,2,3,4,5,2,3,3,2,1,2,1,4,4,1,1,2,2
EI1603134ES,3,2,1,3,5,4,2,2,2,2,2,3,1,1,2,2,3,1,2
EI1901889ES,3,2,2,1,3,1,4,3,4,2,2,4,1,2,3,2,1,3,1
EI2601329ES,4,2,5,2,5,2,5,1,2,4,2,4,5,5,2,5,2,2,2
EI1803384ES,2,4,3,3,2,4,2,2,2,1,1,3,4,2,2,2,2,4,4
EI0701455ES,2,1,4,3,1,4,1,2,3,5,2,3,3,1,1,2,2,3,1
EI0105717ES,1,5,4,3,1,4,5,1,5,2,2,2,5,1,5,4,2,5,1
EI0305777ES,4,5,5,2,2,2,4,4,1,3,2,2,5,1,1,5,2,4,1
EI0402139ES,1,3,2,5,2,3,4,3,3,1,2,4,2,2,3,5,1,3,1
EI0004443ES,5,4,2,1,5,2,2,2,1,2,1,4,3,1,5,4,2,2,4
EI1102577ES,1,1,3,1,1,2,1,2,1,1,3,5,2,2,1,2,4,4,5
EI0302273ES,2,2,1,3,3,1,3,1,1,1,3,1,3,3,3,1,2,2,3
EI9102619ES,3,1,2,2,5,4,4,1,2,2,1,2,1,1,4,2,2,2,4
EI9906356ES,1,5,5,3,1,4,1,3,1,2,2,2,3,3,3,2,3,1,1
EI9802624ES,5,2,2,4,3,3,1,3,2,1,2,3,2,3,2,2,4,1,2
EI2100469ES,5,4,1,3,2,4,3,3,3,1,2,1,2,3,4,2,2,2,1
EI9300080ES,1,5,4,1,3,5,1,3,3,2,4,2,3,4,3,1,1,2,5
EI1506360ES,2,5,1,2,1,1,2,3,3,1,3,1,1,4,2,4,2,4,3
EI1004954ES,1,4,3,4,1,2,3,1,1,1,3,1,4,5,1,3,2,2,3
EI1703464ES,1,2,1,2,4,5,5,4,2,3,4,2,2,4,2,1,4,1,3
EI0002064ES,4,1,4,3,5,1,3,3,5,3,3,2,1,2,1,3,1,1,1
EI1004878ES,2,1,5,1,3,3,2,4,4,3,3,2,1,1,3,5,4,1,2
EI2106370ES,2,1,1,1,4,1,2,5,3,2,2,2,5,3,2,4,5,2,4
EI0703934ES,4,2,4,2,5,1,2,3,1,1,1,4,1,4,1,2,1,5,2
EI2505508ES,1,5,1,3,2,1,3,2,2,3,1,1,1,4,1,3,2,3,3
EI9406464ES,5,2,1,1,3,3,3,1,3,1,2,1,1,2,3,2,4,3,3
EI1403173ES,1,4,2,1,4,1,5,2,5,2,2,3,2,1,2,1,2,1,3
EI2301895ES,4,2,5,1,1,1,3,3,2,1,2,4,3,2,1,1,3,2,1
EI1702207ES,2,1,3,5,2,5,4,3,3,2,3,1,1,2,2,2,2,2,4
EI2200995ES,5,3,2,1,4,1,3,4,4,3,5,5,2,2,2,1,2,2,2
EI2501802ES,1,2,2,4,2,2,3,3,2,2,3,1,1,3,4,3,2,1,2
EI1306849ES,2,1,2,3,2,5,3,2,2,2,5,1,3,2,2,4,2,3,2
EI9401453ES,3,1,1,2,1,1,5,4,2,5,2,3,2,1,1,4,4,1,4
EI1501587ES,1,3,4,4,1,1,2,1,2,4,4,4,3,4,2,2,3,2,4
EI0604014ES,3,1,5,5,5,3,2,2,5,1,4,2,3,3,4,2,2,1,3
EI2300458ES,1,3,1,2,1,1,4,1,4,5,1,3,5,3,2,3,1,1,2
EI1801452ES,2,1,1,2,1,1,2,1,1,2,2,5,5,3,3,1,2,2,1
EI9805965ES,2,1,2,1,2,2,2,4,5,2,1,1,2,1,2,1,3,5,3
EI1805369ES,2,2,2,3,2,3,5,5,2,2,1,1,2,1,2,2,2,3,1
EI0200438ES,4,5,4,1,3,4,5,4,2,1,3,2,4,2,2,1,1,5,2
EI9305947ES,3,5,4,1,3,1,3,1,4,4,5,1,4,1,1,1,2,2,4
EI9805013ES,1,1,1,4,4,1,4,1,1,1,4,1,2,1,4,2,2,1,5
EI2201972ES,1,1,2,3,1,1,2,3,4,1,4,2,2,3,3,2,2,4,3
EI0305027ES,4,4,1,2,3,2,2,3,4,2,2,4,1,1,3,5,3,4,1
EI0202717ES,2,2,2,2,5,1,4,3,2,1,1,3,1,4,2,2,1,3,5
EI0800470ES,2,2,2,1,2,2,1,2,3,2,3,1,3,2,1,1,2,1,1
EI0700504ES,4,5,3,2,4,2,3,2,3,1,2,1,1,1,3,1,2,2,2
EI2201048ES,2,5,1,3,1,1,4,2,1,1,4,3,2,1,1,1,3,2,1
EI9603361ES,1,1,4,1,4,1,4,2,1,1,2,1,2,4,3,4,2,5,2
EI0705940ES,2,2,2,3,3,1,2,4,2,2,1,3,5,2,2,2,4,3,5
EI1103872ES,1,3,3,1,4,4,5,2,4,1,5,1,2,2,4,5,5,5,2
EI9403930ES,2,3,4,3,1,2,3,4,3,2,2,2,1,4,3,3,4,1,3
EI0206101ES,1,4,2,4,2,2,5,3,2,1,5,3,1,4,2,1,3,1,5
EI0004765ES,5,1,4,2,2,1,3,2,5,1,4,2,1,2,1,3,5,2,2
EI0605414ES,4,2,4,5,2,2,2,2,4,3,4,4,1,3,2,5,1,2,1
EI0803616ES,1,1,2,5,2,5,5,2,4,1,1,3,3,5,3,2,3,2,1
EI0706157ES,4,1,1,1,3,4,2,3,1,5,3,2,2,4,1,2,2,3,1
EI0300474ES,5,4,3,2,1,2,1,2,1,5,2,1,2,3,4,4,2,3,5
EI2606084ES,3,2,2,4,2,3,2,2,2,2,3,5,2,1,3,4,4,1,3
EI2602887ES,1,1,2,3,1,4,3,1,5,2,1,3,2,4,2,1,2,2,2
EI0401555ES,2,4,2,2,1,3,5,4,4,3,4,4,5,1,3,2,2,1,4
EI1404128ES,3,1,2,1,2,5,1,1,1,3,1,2,3,2,1,1,2,2,3
EI0901941ES,2,3,4,4,2,4,2,4,1,3,2,1,1,2,2,2,1,5,3
EI1806187ES,2,3,3,5,3,3,3,3,2,4,3,4,2,4,4,2,2,4,3
EI1705948ES,1,2,5,2,2,1,4,3,2,4,2,4,1,5,3,2,3,5,1
EI0505460ES,4,2,1,1,3,4,3,1,3,1,1,2,3,4,1,4,3,1,1
EI2406682ES,3,5,4,1,2,2,2,4,3,1,2,1,1,1,4,5,1,1,3
EI2206498ES,5,1,4,1,2,4,1,2,2,1,1,3,2,2,2,2,2,2,2
EI1306151ES,2,1,2,2,2,2,2,2,2,2,2,2,1,5,3,3,2,3,1
EI1302901ES,1,1,2,5,1,4,2,3,3,2,4,3,1,5,1,4,2,1,2
EI9901202ES,1,1,3,3,1,3,3,2,1,3,3,3,4,4,1,4,2,4,2
EI2505715ES,3,1,3,2,2,2,5,3,4,1,3,2,5,1,1,2,2,2,2
EI1006270ES,3,5,2,3,4,2,2,4,1,4,2,2,1,2,3,4,2,2,1
EI0700536ES,3,2,2,2,2,1,3,1,4,2,4,5,3,2,3,3,1,3,3
EI9705690ES,3,2,2,1,2,1,3,5,1,2,1,1,3,2,1,2,2,4,2
EI1703734ES,2,5,2,5,5,1,1,4,1,2,4,2,1,1,1,4,4,2,3
EI9505800ES,4,4,2,1,3,3,2,1,4,1,2,2,2,1,5,2,3,1,3
EI1602875ES,1,1,2,1,1,1,2,1,3,3,4,2,3,4,2,3,3,2,5
EI1805179ES,3,2,2,5,2,2,4,2,2,2,3,4,2,3,1,3,5,5,3
EI9903143ES,2,2,2,4,4,1,1,1,1,2,3,1,1,1,4,2,3,5,4
EI0003114ES,4,4,2,3,1,2,5,3,3,4,1,1,5,3,4,2,4,5,1
EI0703807ES,4,2,3,5,3,2,2,5,2,3,2,3,1,1,1,3,2,1,3
EI1705039ES,2,2,2,2,4,2,1,3,1,1,2,2,1,3,3,3,3,3,4
EI9304054ES,4,2,2,4,1,2,1,1,5,4,1,1,4,4,1,3,3,3,2
EI2503044ES,1,2,2,1,5,2,1,5,1,3,1,2,3,3,5,2,1,2,1
EI9801336ES,2,1,2,4,3,3,2,3,3,2,4,3,4,3,1,3,5,2,1
EI1106245ES,2,4,1,2,3,3,1,1,5,4,3,5,3,1,1,2,2,3,2
EI1702765ES,2,2,4,3,3,2,4,4,3,3,1,4,1,4,1,2,2,2,4
EI1805562ES,1,4,2,2,3,3,1,2,2,2,2,3,1,1,2,5,2,2,2
EI0301965ES,3,5,2,2,4,3,2,3,5,3,3,5,3,3,5,2,1,2,2
EI2501560ES,1,2,5,2,2,2,4,4,1,3,2,2,3,1,5,1,2,3,2
EI2400186ES,1,1,1,2,2,4,4,2,1,4,5,5,2,1,1,5,4,3,4
EI1205532ES,3,3,1,3,1,2,4,5,2,2,2,5,2,5,3,5,3,2,2
EI2605072ES,2,2,1,1,3,1,1,1,3,1,1,2,2,2,3,3,4,2,3
EI0906714ES,3,1,4,3,2,2,1,1,2,2,3,3,2,3,1,4,3,5,3
EI2405842ES,2,3,3,2,4,2,2,5,5,4,1,1,2,3,1,3,3,2,2
EI0706420ES,2,3,1,1,1,2,2,4,1,2,5,5,3,1,4,4,1,2,1
EI9603663ES,4,2,2,1,1,2,1,5,3,3,2,2,3,3,4,4,4,5,2
EI0203576ES,1,4,2,1,3,2,3,3,5,5,5,2,3,2,2,1,3,4,2
EI1602078ES,1,2,2,2,2,4,2,1,2,1,1,3,1,2,2,1,3,2,2
EI2201502ES,1,3,3,1,2,1,4,4,5,1,4,3,1,1,4,2,2,4,3
EI9500234ES,5,4,2,5,2,2,1,4,1,1,1,3,4,5,5,1,4,2,1
EI2305490ES,1,1,1,2,2,2,5,1,5,4,4,4,3,3,2,1,2,1,1
EI0101499ES,3,3,3,5,3,3,5,3,5,2,3,2,4,4,3,2,5,2,5
EI0504757ES,2,4,3,4,2,4,1,2,4,5,1,3,4,1,2,2,4,5,5
EI0504410ES,3,3,1,1,5,1,1,3,2,1,2,2,5,3,2,4,2,2,1
EI2503718ES,2,2,4,4,5,2,2,2,2,2,2,5,4,4,1,2,3,2,1
EI0402499ES,2,2,4,1,5,2,2,2,4,2,2,3,4,1,3,3,2,1,2
EI2100735ES,2,4,1,3,2,1,2,5,4,1,3,2,5,2,1,4,1,5,2
EI0501650ES,1,3,5,4,5,2,2,3,4,1,4,2,1,1,5,5,3,5,4
EI0401957ES,3,1,2,2,2,4,1,5,2,5,4,4,3,3,4,2,2,3,5
EI0606493ES,1,2,1,4,3,4,4,1,2,1,4,2,1,3,4,2,3,3,3
EI2102277ES,4,2,3,2,5,4,2,3,5,2,4,1,1,5,3,1,2,2,3
EI9304126ES,2,3,2,3,5,2,5,2,1,4,1,2,4,4,2,2,1,4,2
EI1604465ES,1,5,1,2,3,3,4,5,2,2,5,3,5,4,3,4,3,5,1
EI9706460ES,5,2,5,3,2,1,3,2,4,1,1,2,3,2,2,3,3,2,1
EI0003045ES,5,1,3,1,1,4,2,1,2,1,2,4,1,3,2,4,1,2,1
EI1901583ES,5,5,3,5,1,3,1,1,5,4,3,3,3,1,4,2,1,4,5
EI0405273ES,1,2,2,3,3,3,3,1,1,4,5,2,4,1,3,4,5,3,4
EI1202376ES,4,1,3,2,1,4,2,1,1,5,5,1,2,2,2,1,2,2,2
EI9304036ES,5,4,1,2,2,1,2,2,2,2,3,2,1,2,4,2,5,1,3
EI9701870ES,2,3,2,5,2,1,2,3,1,3,2,2,3,2,1,4,1,1,2
EI9504990ES,5,1,5,2,2,4,4,1,2,5,1,4,2,2,2,4,4,2,2
EI9005822ES,5,2,1,3,5,2,2,1,1,1,2,2,5,3,4,2,4,3,1
EI0703091ES,3,2,3,2,2,5,2,3,1,3,1,1,2,2,3,2,1,2,1
EI2104902ES,1,1,2,1,3,2,4,1,2,3,4,3,2,2,3,1,2,3,2
EI9900218ES,1,2,4,3,2,5,2,5,5,2,5,5,2,3,1,3,1,1,3
EI9004999ES,3,4,3,2,3,2,4,1,2,3,2,4,3,1,3,1,2,2,2
EI0304537ES,1,2,1,2,1,3,1,2,4,4,2,5,4,3,3,2,4,2,5
EI1703423ES,1,2,2,2,1,1,3,4,1,1,2,5,2,1,3,4,5,1,1
EI1303270ES,2,2,4,1,5,4,4,5,5,4,2,1,3,1,1,1,1,4,3
EI2300677ES,5,3,5,3,2,3,2,3,5,3,2,4,2,2,2,5,5,1,3
EI9306725ES,2,3,1,5,2,1,5,3,4,4,5,2,4,1,2,5,2,3,2
EI1605211ES,2,3,1,3,2,1,1,1,5,5,3,1,4,1,2,5,2,1,3
EI0003414ES,4,4,4,1,1,2,2,5,5,4,1,1,3,4,2,3,4,3,2
EI0804329ES,2,1,5,2,2,1,2,5,1,2,1,4,1,2,4,1,4,3,2
EI2101421ES,5,2,3,3,4,2,2,2,3,2,2,1,1,5,4,1,2,1,4
EI9204254ES,4,5,3,2,2,1,2,2,2,5,2,1,1,2,3,4,1,2,2
EI2000382ES,2,3,2,2,2,3,2,5,1,1,3,3,4,2,5,4,1,2,2
EI1506049ES,3,3,2,5,2,1,4,2,1,1,3,3,4,3,1,3,4,3,5
EI1506756ES,3,1,4,2,2,2,4,4,1,3,3,2,3,5,2,2,2,2,4
EI0201159ES,2,2,2,2,5,4,3,3,5,5,3,2,1,1,1,2,1,2,1
EI1503286ES,3,2,1,4,2,3,1,2,3,4,3,5,2,2,2,2,3,2,2
EI9005462ES,1,1,5,4,3,2,3,5,1,2,1,5,3,1,4,4,4,3,1
EI9504619ES,1,4,3,4,2,1,3,2,2,1,3,3,5,4,3,1,4,1,4
EI1500737ES,3,5,2,5,2,1,4,4,2,3,1,1,2,1,2,2,5,2,1
EI1902324ES,3,1,1,2,4,1,1,2,2,3,5,1,5,4,1,3,4,4,3
EI2200170ES,3,1,3,2,4,2,1,3,3,3,3,3,2,3,2,1,3,2,3
EI9502652ES,5,4,4,3,2,2,2,4,2,2,4,5,3,3,2,4,3,5,3
EI1300684ES,2,5,1,2,1,1,3,2,1,1,3,3,5,1,2,5,5,1,1
EI1500743ES,2,2,1,2,3,2,4,1,1,2,2,3,4,1,2,5,2,5,2
EI2602133ES,3,2,2,1,2,3,1,2,2,3,5,2,1,2,5,3,2,3,4
EI0401176ES,2,5,3,3,3,4,1,5,2,5,2,1,3,3,4,4,1,3,4
EI9600394ES,3,1,1,1,5,2,1,2,2,2,4,1,1,3,5,2,5,3,4
EI2300971ES,3,2,4,4,4,2,2,2,2,1,1,4,4,4,4,4,3,3,1
EI9905608ES,3,4,2,1,1,2,2,1,3,4,2,3,3,3,1,3,3,1,1
EI0805403ES,1,1,3,1,2,4,1,2,2,3,2,3,1,3,5,1,1,3,2
EI1303995ES,1,3,1,1,1,1,2,2,5,2,1,1,1,4,3,2,1,5,2
EI1004919ES,4,3,1,2,1,4,1,3,1,2,2,4,5,3,1,1,2,4,2
EI2501380ES,2,1,5,1,3,2,1,3,5,1,2,5,1,1,2,3,4,4,4
EI9905595ES,4,1,5,2,5,2,1,2,1,4,3,2,3,1,1,2,2,4,2
EI1305156ES,2,2,5,4,3,1,2,5,2,5,1,5,2,2,1,3,2,3,2
EI9904366ES,2,4,3,4,2,1,2,3,2,3,2,2,5,2,4,1,3,4,3
EI2500180ES,1,1,1,2,2,1,1,4,1,2,1,4,3,2,4,1,2,2,5
EI1302580ES,2,1,1,5,2,3,4,2,5,2,2,1,2,5,2,3,1,2,2
EI9406570ES,4,1,1,3,2,1,1,5,1,5,3,2,5,1,2,1,4,2,3
EI9801684ES,4,3,1,5,2,2,4,5,2,1,2,2,2,2,3,5,3,2,1
EI2001567ES,3,1,5,2,1,3,2,1,3,3,2,1,2,2,4,4,3,5,2
EI2406983ES,1,1,3,2,5,3,1,3,1,4,2,1,2,3,2,1,3,1,2
EI2105446ES,4,2,3,2,3,2,2,2,5,3,1,1,4,4,5,2,1,2,5
EI9601109ES,2,3,1,2,2,1,1,4,2,2,4,3,3,4,3,5,2,2,3
EI9703128ES,3,1,5,4,5,3,2,3,5,2,1,1,1,5,2,5,2,1,1
EI1806528ES,1,4,3,2,1,3,3,5,2,3,2,3,1,2,4,2,3,1,3
EI9604535ES,2,1,1,1,4,3,2,2,2,4,2,3,3,5,1,2,2,3,2
EI9404817ES,4,3,3,2,3,4,4,4,1,1,3,1,1,2,2,2,3,1,1
