emp_id,year,mes,hours_normal,hours_extra,absence,absence_unapprove,lateness,rating
EI0600004ES,2025,11,160,4,0,0,1,3
EI0600004ES,2025,12,163,12,0,0,0,3
EI0600004ES,2026,1,158,4,0,0,0,3
EI1700005ES,2025,2,168,11,2,0,3,4
EI1700005ES,2025,3,153,15,0,1,1,3
EI1700005ES,2025,4,159,6,1,0,3,3
EI1700005ES,2025,5,152,4,0,1,0,2
EI1700005ES,2025,6,160,6,1,0,4,3
EI1700005ES,2025,7,168,6,0,0,1,3
EI1700005ES,2025,8,169,4,1,0,1,1
EI1700005ES,2025,9,166,10,1,0,1,3
EI1700005ES,2025,10,148,1,1,0,1,3
EI1700005ES,2025,11,157,12,0,0,0,2
EI1700005ES,2025,12,171,1,0,0,0,2
EI1700005ES,2026,1,171,4,2,0,0,3
EI1600006ES,2025,2,166,3,1,0,1,1
EI1600006ES,2025,3,150,13,1,0,1,3
EI1600006ES,2025,4,157,8,0,0,0,1
EI1600006ES,2025,5,159,5,0,0,2,2
EI1600006ES,2025,6,150,3,0,0,0,1
EI1600006ES,2025,7,166,9,1,0,0,3
EI1600006ES,2025,8,160,12,2,2,6,4
EI1600006ES,2025,9,146,3,0,0,1,3
EI1600006ES,2025,10,153,4,0,0,0,1
EI1600006ES,2025,11,148,2,0,0,2,2
EI1600006ES,2025,12,159,2,1,0,1,3
EI1600006ES,2026,1,162,23,0,1,0,3
EI2100007ES,2025,2,154,9,0,0,0,1
EI2100007ES,2025,3,165,5,0,0,4,3
EI2100007ES,2025,4,162,4,1,0,2,2
EI2100007ES,2025,5,150,7,1,0,1,3
EI2100007ES,2025,6,169,3,0,0,4,3
EI2100007ES,2025,7,158,4,1,0,0,4
EI2100007ES,2025,8,158,1,0,0,2,2
EI2100007ES,2025,9,154,5,1,0,2,3
EI2100007ES,2025,10,158,3,1,0,3,4
EI2100007ES,2025,11,162,8,0,0,1,1
EI2100007ES,2025,12,150,12,1,0,0,2
EI2100007ES,2026,1,153,3,2,0,1,3
EI9300008ES,2025,2,173,1,0,1,0,2
EI9300008ES,2025,3,163,7,0,0,2,2
EI9300008ES,2025,4,164,5,0,0,0,1
EI9300008ES,2025,5,158,4,0,0,2,3
EI9300008ES,2025,6,164,22,3,0,2,4
EI9300008ES,2025,7,153,4,2,1,3,2
EI9300008ES,2025,8,153,5,1,0,0,3
EI9300008ES,2025,9,159,4,3,0,0,3
EI9300008ES,2025,10,161,1,0,1,0,2
EI9300008ES,2025,11,171,6,1,1,0,2
EI9300008ES,2025,12,142,2,1,1,0,3
EI9300008ES,2026,1,161,1,0,0,1,1
EI1000009ES,2025,2,147,3,0,0,0,1
EI1000009ES,2025,3,148,7,0,1,0,2
EI1000009ES,2025,4,162,3,0,0,1,2
EI1000009ES,2025,5,154,13,1,0,0,1
EI1000009ES,2025,6,167,9,0,0,2,2
EI1000009ES,2025,7,159,4,0,0,0,3
EI1000009ES,2025,8,152,9,1,0,1,2
EI1000009ES,2025,9,160,9,1,0,1,3
EI1000009ES,2025,10,147,1,0,0,0,2
EI1000009ES,2025,11,146,1,1,0,3,4
EI1000009ES,2025,12,155,1,1,0,1,2
EI1000009ES,2026,1,158,4,1,0,3,4
EI9700010ES,2025,2,161,0,0,0,2,2
EI9700010ES,2025,3,158,4,1,0,1,3
EI9700010ES,2025,4,148,1,0,0,1,2
EI9700010ES,2025,5,162,1,0,0,0,1
EI9700010ES,2025,6,149,6,0,0,1,3
EI9700010ES,2025,7,157,6,1,0,1,3
EI9700010ES,2025,8,162,10,0,0,2,4
EI9700010ES,2025,9,148,5,1,1,0,3
EI9700010ES,2025,10,143,5,0,1,1,4
EI9700010ES,2025,11,159,3,0,1,1,2
EI9700010ES,2025,12,157,4,0,0,3,2
EI9700010ES,2026,1,147,2,0,0,0,1
EI2400011ES,2025,2,170,5,1,0,2,2
EI2400011ES,2025,3,162,7,0,1,0,3
EI2400011ES,2025,4,163,8,1,0,4,4
EI2400011ES,2025,5,160,8,0,0,2,2
EI2400011ES,2025,6,156,7,0,1,3,3
EI2400011ES,2025,7,155,2,0,1,0,2
EI2400011ES,2025,8,159,3,1,1,1,3
EI2400011ES,2025,9,157,9,0,0,0,3
EI2400011ES,2025,10,159,2,0,0,0,3
EI2400011ES,2025,11,165,9,1,0,3,3
EI2400011ES,2025,12,161,15,1,0,0,2
EI2400011ES,2026,1,152,7,0,0,0,2
EI1200012ES,2025,2,158,1,0,0,2,3
EI1200012ES,2025,3,167,1,2,0,1,2
EI1200012ES,2025,4,165,7,0,0,0,1
EI1200012ES,2025,5,167,7,1,2,2,3
EI1200012ES,2025,6,158,6,2,1,0,3
EI1200012ES,2025,7,159,20,1,0,0,3
EI1200012ES,2025,8,162,8,1,0,1,2
EI1200012ES,2025,9,161,7,0,0,2,2
EI1200012ES,2025,10,158,1,0,0,0,3
EI1200012ES,2025,11,170,3,0,0,0,3
EI1200012ES,2025,12,153,2,2,1,1,3
EI1200012ES,2026,1,151,1,0,0,0,3
EI9600013ES,2025,2,143,12,2,1,0,3
EI9600013ES,2025,3,155,8,0,2,1,3
EI9600013ES,2025,4,172,6,0,0,4,3
EI9600013ES,2025,5,156,17,0,0,1,3
EI9600013ES,2025,6,166,3,0,0,0,3
EI9600013ES,2025,7,169,6,1,0,0,3
EI9600013ES,2025,8,147,3,0,0,0,1
EI9600013ES,2025,9,156,10,1,0,2,3
EI9600013ES,2025,10,143,1,0,0,0,2
EI9600013ES,2025,11,164,1,0,1,2,3
EI9600013ES,2025,12,162,8,0,1,3,3
EI9600013ES,2026,1,161,4,0,0,2,3
EI2200014ES,2025,2,160,4,0,2,0,3
EI2200014ES,2025,3,152,3,0,0,1,3
EI2200014ES,2025,4,153,7,0,0,1,3
EI2200014ES,2025,5,147,2,0,0,0,3
EI2200014ES,2025,6,165,10,0,0,0,3
EI2200014ES,2025,7,153,5,0,0,0,2
EI2200014ES,2025,8,160,0,1,0,0,2
EI2200014ES,2025,9,153,5,0,0,1,1
EI2200014ES,2025,10,143,5,0,0,1,1
EI2200014ES,2025,11,170,4,0,0,1,2
EI2200014ES,2025,12,158,1,1,0,1,3
EI2200014ES,2026,1,167,4,1,1,1,2
EI9600015ES,2025,2,153,4,1,0,0,2
EI9600015ES,2025,3,141,4,0,0,0,3
EI9600015ES,2025,4,155,4,1,0,2,2
EI9600015ES,2025,5,167,6,0,0,0,3
EI9600015ES,2025,6,159,3,1,0,0,3
EI9600015ES,2025,7,159,4,0,1,3,3
EI9600015ES,2025,8,169,2,0,0,1,3
EI9600015ES,2025,9,144,10,0,0,1,1
EI9600015ES,2025,10,167,8,0,0,1,3
EI9600015ES,2025,11,172,8,0,1,1,2
EI9600015ES,2025,12,149,20,1,0,0,3
EI9600015ES,2026,1,183,12,2,0,1,3
EI2200016ES,2025,2,156,3,0,0,1,4
EI2200016ES,2025,3,168,4,0,0,2,3
EI2200016ES,2025,4,151,2,0,0,1,3
EI2200016ES,2025,5,148,9,0,0,0,1
EI2200016ES,2025,6,166,1,0,0,1,2
EI2200016ES,2025,7,179,17,1,0,1,3
EI2200016ES,2025,8,154,14,1,0,0,3
EI2200016ES,2025,9,153,6,0,0,0,3
EI2200016ES,2025,10,164,6,1,0,0,3
EI2200016ES,2025,11,155,10,1,0,2,3
EI2200016ES,2025,12,166,2,3,0,1,3
EI2200016ES,2026,1,170,6,0,0,1,2
EI2200017ES,2025,2,172,15,0,0,3,4
EI2200017ES,2025,3,156,6,0,0,1,2
EI2200017ES,2025,4,151,13,1,1,0,3
EI2200017ES,2025,5,167,2,1,0,0,3
EI2200017ES,2025,6,168,6,1,0,1,3
EI2200017ES,2025,7,169,6,0,0,1,3
EI2200017ES,2025,8,161,4,1,1,1,3
EI2200017ES,2025,9,160,4,1,0,1,3
EI2200017ES,2025,10,162,16,1,1,0,4
EI2200017ES,2025,11,167,5,2,2,1,3
EI2200017ES,2025,12,157,0,2,1,2,2
EI2200017ES,2026,1,168,3,1,0,3,2
EI0300018ES,2025,2,163,2,0,0,0,2
EI0300018ES,2025,3,156,7,0,0,2,3
EI0300018ES,2025,4,176,13,1,0,2,3
EI0300018ES,2025,5,144,4,1,0,2,3
EI0300018ES,2025,6,163,6,0,1,3,3
EI0300018ES,2025,7,163,7,1,0,0,3
EI0300018ES,2025,8,168,10,0,0,0,3
EI0300018ES,2025,9,156,10,0,0,2,3
EI0300018ES,2025,10,145,11,0,0,0,3
EI0300018ES,2025,11,161,6,1,0,0,1
EI0300018ES,2025,12,159,6,1,0,0,2
EI0300018ES,2026,1,164,3,0,1,1,3
EI1000019ES,2025,2,169,4,1,1,2,3
EI1000019ES,2025,3,157,5,1,0,2,3
EI1000019ES,2025,4,149,1,0,0,1,2
EI1000019ES,2025,5,162,0,1,1,0,3
EI1000019ES,2025,6,166,10,0,0,2,2
EI1000019ES,2025,7,161,11,2,0,0,3
EI1000019ES,2025,8,158,2,1,0,0,2
EI1000019ES,2025,9,155,3,1,1,4,3
EI1000019ES,2025,10,156,6,0,0,1,2
EI1000019ES,2025,11,159,2,3,0,0,2
EI1000019ES,2025,12,163,9,0,0,0,3
EI1000019ES,2026,1,152,5,0,1,0,1
EI2400020ES,2025,2,146,5,0,0,1,1
EI2400020ES,2025,3,160,1,1,1,1,1
EI2400020ES,2025,4,162,0,0,0,1,3
EI2400020ES,2025,5,176,8,0,0,3,4
EI2400020ES,2025,6,166,6,1,0,0,2
EI2400020ES,2025,7,157,9,2,0,1,4
EI2400020ES,2025,8,162,6,1,0,1,3
EI2400020ES,2025,9,164,0,1,0,0,1
EI2400020ES,2025,10,149,18,2,0,0,1
EI2400020ES,2025,11,164,6,0,0,1,3
EI2400020ES,2025,12,159,6,0,0,1,2
EI2400020ES,2026,1,158,4,1,0,0,2
EI2400021ES,2025,2,165,3,0,0,0,2
EI2400021ES,2025,3,177,4,0,1,2,2
EI2400021ES,2025,4,165,3,0,0,1,3
EI2400021ES,2025,5,162,0,2,0,1,3
EI2400021ES,2025,6,157,0,0,0,1,2
EI2400021ES,2025,7,155,1,1,0,0,3
EI2400021ES,2025,8,159,7,1,0,2,3
EI2400021ES,2025,9,154,16,1,0,0,3
EI2400021ES,2025,10,154,2,1,0,0,1
EI2400021ES,2025,11,155,6,0,0,0,1
EI2400021ES,2025,12,158,5,0,1,2,2
EI2400021ES,2026,1,160,6,1,0,0,2
EI9800022ES,2025,2,147,4,2,0,0,3
EI9800022ES,2025,3,152,5,1,1,0,3
EI9800022ES,2025,4,166,3,2,1,2,3
EI9800022ES,2025,5,157,7,0,0,1,2
EI9800022ES,2025,6,151,7,1,1,1,3
EI9800022ES,2025,7,161,3,1,0,1,2
EI9800022ES,2025,8,158,1,0,0,2,4
EI9800022ES,2025,9,167,5,1,0,1,3
EI9800022ES,2025,10,164,2,2,2,0,2
EI9800022ES,2025,11,158,3,0,0,2,1
EI9800022ES,2025,12,161,4,1,1,2,4
EI9800022ES,2026,1,151,1,0,0,0,1
EI1300023ES,2025,2,155,3,1,1,0,3
EI1300023ES,2025,3,166,2,1,0,1,3
EI1300023ES,2025,4,167,3,0,0,3,3
EI1300023ES,2025,5,170,16,1,0,0,1
EI1300023ES,2025,6,154,4,1,0,1,3
EI1300023ES,2025,7,164,4,0,1,2,3
EI1300023ES,2025,8,144,17,1,0,0,2
EI1300023ES,2025,9,173,8,0,0,2,2
EI1300023ES,2025,10,155,2,1,0,1,3
EI1300023ES,2025,11,153,5,1,0,1,3
EI1300023ES,2025,12,160,2,1,1,2,3
EI1300023ES,2026,1,163,2,0,0,1,1
EI9500024ES,2025,2,158,4,0,1,2,1
EI9500024ES,2025,3,161,3,0,0,0,3
EI9500024ES,2025,4,166,0,0,0,2,3
EI9500024ES,2025,5,165,3,0,0,1,2
EI9500024ES,2025,6,149,3,0,0,1,1
EI9500024ES,2025,7,154,6,0,0,1,2
EI9500024ES,2025,8,163,4,1,1,1,2
EI9500024ES,2025,9,158,3,1,0,1,2
EI9500024ES,2025,10,144,5,0,0,0,3
EI9500024ES,2025,11,162,7,0,0,0,2
EI9500024ES,2025,12,155,6,1,0,3,1
EI9500024ES,2026,1,174,3,0,0,1,2
EI9700025ES,2025,2,163,3,1,0,0,1
EI9700025ES,2025,3,151,0,0,0,0,1
EI9700025ES,2025,4,152,3,0,0,4,4
EI9700025ES,2025,5,158,12,1,0,2,3
EI9700025ES,2025,6,154,11,0,1,2,2
EI9700025ES,2025,7,171,1,0,1,1,3
EI9700025ES,2025,8,163,5,0,0,1,2
EI9700025ES,2025,9,155,4,0,0,2,3
EI9700025ES,2025,10,153,3,0,0,0,3
EI9700025ES,2025,11,158,2,0,0,2,2
EI9700025ES,2025,12,146,18,0,1,0,2
EI9700025ES,2026,1,161,3,2,0,1,3
EI1700026ES,2025,2,150,7,0,0,0,2
EI1700026ES,2025,3,167,12,1,0,2,3
EI1700026ES,2025,4,166,11,0,1,0,3
EI1700026ES,2025,5,167,4,0,1,1,2
EI1700026ES,2025,6,160,3,3,0,2,2
EI1700026ES,2025,7,165,6,1,0,1,3
EI1700026ES,2025,8,152,11,2,0,1,2
EI1700026ES,2025,9,151,10,1,0,1,3
EI1700026ES,2025,10,171,4,3,0,0,3
EI1700026ES,2025,11,167,1,0,0,0,2
EI1700026ES,2025,12,152,17,1,0,1,2
EI1700026ES,2026,1,158,14,1,0,1,3
EI1400027ES,2025,2,155,8,0,0,1,3
EI1400027ES,2025,3,150,1,0,1,2,3
EI1400027ES,2025,4,170,15,0,1,1,3
EI1400027ES,2025,5,159,2,1,0,0,1
EI1400027ES,2025,6,155,2,1,0,0,1
EI1400027ES,2025,7,164,0,0,0,0,2
EI1400027ES,2025,8,146,3,1,0,2,3
EI1400027ES,2025,9,151,25,0,0,0,1
EI1400027ES,2025,10,167,4,0,0,1,3
EI1400027ES,2025,11,155,7,1,0,0,3
EI1400027ES,2025,12,165,5,0,1,1,3
EI1400027ES,2026,1,152,4,1,0,0,3
EI9600028ES,2025,2,163,13,1,0,3,3
EI9600028ES,2025,3,160,10,0,0,2,3
EI9600028ES,2025,4,160,1,1,0,1,4
EI9600028ES,2025,5,167,8,1,0,0,3
EI9600028ES,2025,6,159,7,0,0,2,2
EI9600028ES,2025,7,147,2,0,0,1,2
EI9600028ES,2025,8,162,8,1,0,3,3
EI9600028ES,2025,9,144,4,0,0,1,2
EI9600028ES,2025,10,154,3,1,0,1,1
EI9600028ES,2025,11,161,5,0,1,0,2
EI9600028ES,2025,12,177,8,1,0,1,3
EI9600028ES,2026,1,164,5,0,0,2,2
EI9700029ES,2025,2,163,4,0,0,1,2
EI9700029ES,2025,3,166,9,0,0,1,1
EI9700029ES,2025,4,159,2,0,0,1,1
EI9700029ES,2025,5,172,1,1,0,0,3
EI9700029ES,2025,6,162,12,1,0,0,3
EI9700029ES,2025,7,151,4,0,0,1,2
EI9700029ES,2025,8,162,4,1,0,0,3
EI9700029ES,2025,9,163,8,1,0,1,3
EI9700029ES,2025,10,172,1,1,0,0,3
EI9700029ES,2025,11,157,9,0,0,2,2
EI9700029ES,2025,12,171,2,0,0,0,2
EI9700029ES,2026,1,153,5,1,0,1,3
EI0500030ES,2025,2,134,3,1,0,2,3
EI0500030ES,2025,3,168,5,0,0,1,2
EI0500030ES,2025,4,157,0,1,0,1,1
EI0500030ES,2025,5,170,5,0,0,3,1
EI0500030ES,2025,6,164,16,1,0,0,3
EI0500030ES,2025,7,166,5,1,0,1,3
EI0500030ES,2025,8,169,1,0,0,0,1
EI0500030ES,2025,9,172,10,2,0,4,4
EI0500030ES,2025,10,159,4,0,0,3,1
EI0500030ES,2025,11,170,4,0,0,2,3
EI0500030ES,2025,12,158,8,0,1,1,4
EI0500030ES,2026,1,152,0,2,3,1,4
EI9500031ES,2025,2,165,2,0,0,1,3
EI9500031ES,2025,3,162,6,1,0,0,2
EI9500031ES,2025,4,158,9,0,0,0,3
EI9500031ES,2025,5,146,1,0,0,2,3
EI9500031ES,2025,6,155,1,1,0,1,2
EI9500031ES,2025,7,164,3,0,0,0,2
EI9500031ES,2025,8,159,8,0,0,0,3
EI9500031ES,2025,9,164,2,0,1,1,3
EI9500031ES,2025,10,157,0,0,2,0,3
EI9500031ES,2025,11,166,5,0,1,1,3
EI9500031ES,2025,12,160,4,1,0,1,3
EI9500031ES,2026,1,166,2,0,0,3,3
EI9200032ES,2025,2,162,4,1,0,1,2
EI9200032ES,2025,3,148,2,2,0,0,3
EI9200032ES,2025,4,159,6,2,1,1,3
EI9200032ES,2025,5,152,4,0,0,2,3
EI9200032ES,2025,6,159,9,1,0,1,3
EI9200032ES,2025,7,150,10,1,0,0,3
EI9200032ES,2025,8,164,3,0,0,1,1
EI9200032ES,2025,9,172,7,1,0,1,3
EI9200032ES,2025,10,165,20,1,1,0,4
EI9200032ES,2025,11,160,2,0,0,0,3
EI9200032ES,2025,12,159,3,1,0,1,2
EI9200032ES,2026,1,166,0,0,0,0,3
EI9300033ES,2025,2,165,2,3,1,0,3
EI9300033ES,2025,3,163,1,0,0,2,3
EI9300033ES,2025,4,153,10,0,1,0,3
EI9300033ES,2025,5,153,0,1,0,0,2
EI9300033ES,2025,6,163,7,1,1,1,3
EI9300033ES,2025,7,152,10,0,1,0,2
EI9300033ES,2025,8,163,5,1,1,0,4
EI9300033ES,2025,9,157,5,0,0,2,3
EI9300033ES,2025,10,159,6,1,0,2,3
EI9300033ES,2025,11,178,11,0,0,0,1
EI9300033ES,2025,12,161,6,0,0,0,1
EI9300033ES,2026,1,138,1,1,0,1,4
EI2100034ES,2025,2,146,7,1,2,0,4
EI2100034ES,2025,3,164,5,1,0,0,1
EI2100034ES,2025,4,159,2,0,0,1,1
EI2100034ES,2025,5,178,2,0,1,1,2
EI2100034ES,2025,6,146,2,1,0,0,2
EI2100034ES,2025,7,161,6,0,0,1,3
EI2100034ES,2025,8,160,2,0,0,2,2
EI2100034ES,2025,9,159,5,0,0,1,3
EI2100034ES,2025,10,167,8,1,1,1,2
EI2100034ES,2025,11,157,4,1,1,0,2
EI2100034ES,2025,12,161,5,1,0,0,3
EI2100034ES,2026,1,162,10,0,0,1,2
EI1700035ES,2025,2,168,3,3,0,2,3
EI1700035ES,2025,3,165,5,1,0,2,2
EI1700035ES,2025,4,163,7,3,0,0,3
EI1700035ES,2025,5,169,3,0,0,0,1
EI1700035ES,2025,6,154,16,3,1,1,2
EI1700035ES,2025,7,151,6,1,0,3,3
EI1700035ES,2025,8,169,2,0,0,2,3
EI1700035ES,2025,9,171,3,0,0,0,2
EI1700035ES,2025,10,147,10,2,0,1,2
EI1700035ES,2025,11,169,19,0,1,0,2
EI1700035ES,2025,12,162,1,0,0,2,3
EI1700035ES,2026,1,159,1,0,1,0,3
EI2600036ES,2025,2,145,2,0,0,0,2
EI2600036ES,2025,3,158,5,1,0,1,2
EI2600036ES,2025,4,161,1,0,0,0,3
EI2600036ES,2025,5,149,2,1,0,1,4
EI2600036ES,2025,6,166,1,0,2,1,2
EI2600036ES,2025,7,169,2,0,0,1,1
EI2600036ES,2025,8,146,3,0,0,2,3
EI2600036ES,2025,9,146,1,2,0,0,3
EI2600036ES,2025,10,147,7,0,0,0,3
EI2600036ES,2025,11,140,2,1,0,2,3
EI2600036ES,2025,12,170,4,0,0,2,4
EI2600036ES,2026,1,155,4,2,0,1,3
EI1500037ES,2025,2,151,11,0,1,1,3
EI1500037ES,2025,3,154,2,0,0,1,1
EI1500037ES,2025,4,161,5,0,0,1,1
EI1500037ES,2025,5,159,4,0,1,0,2
EI1500037ES,2025,6,161,1,1,0,0,3
EI1500037ES,2025,7,173,2,1,0,0,2
EI1500037ES,2025,8,162,12,0,0,1,1
EI1500037ES,2025,9,157,2,1,0,0,3
EI1500037ES,2025,10,154,5,1,2,3,3
EI1500037ES,2025,11,147,5,1,2,0,3
EI1500037ES,2025,12,155,4,0,0,1,3
EI1500037ES,2026,1,156,12,0,0,0,2
EI1100038ES,2025,2,166,4,0,1,1,2
EI1100038ES,2025,3,163,3,0,0,1,3
EI1100038ES,2025,4,154,2,0,0,0,2
EI1100038ES,2025,5,159,2,4,1,1,3
EI1100038ES,2025,6,146,5,1,0,2,2
EI1100038ES,2025,7,154,10,1,0,1,2
EI1100038ES,2025,8,159,16,1,0,0,1
EI1100038ES,2025,9,159,5,1,0,0,2
EI1100038ES,2025,10,166,7,1,0,2,3
EI1100038ES,2025,11,161,9,0,0,2,1
EI1100038ES,2025,12,160,4,0,0,3,1
EI1100038ES,2026,1,153,12,1,0,1,3
EI2000039ES,2025,2,155,3,2,0,3,3
EI2000039ES,2025,3,166,13,2,0,2,3
EI2000039ES,2025,4,161,6,1,0,1,3
EI2000039ES,2025,5,152,4,0,2,0,3
EI2000039ES,2025,6,166,2,1,0,0,3
EI2000039ES,2025,7,161,2,1,0,3,3
EI2000039ES,2025,8,161,11,2,0,0,2
EI2000039ES,2025,9,163,7,0,1,1,3
EI2000039ES,2025,10,152,3,0,0,1,2
EI2000039ES,2025,11,151,10,2,0,1,2
EI2000039ES,2025,12,169,5,0,0,0,2
EI2000039ES,2026,1,157,8,1,0,0,2
EI0000040ES,2025,2,161,1,0,0,1,3
EI0000040ES,2025,3,161,5,2,1,0,3
EI0000040ES,2025,4,165,8,0,0,0,1
EI0000040ES,2025,5,170,0,0,0,1,2
EI0000040ES,2025,6,167,9,2,0,0,2
EI0000040ES,2025,7,166,4,0,0,1,2
EI0000040ES,2025,8,162,13,1,0,1,3
EI0000040ES,2025,9,162,1,0,0,2,1
EI0000040ES,2025,10,167,0,1,0,1,1
EI0000040ES,2025,11,151,9,1,0,0,1
EI0000040ES,2025,12,161,2,1,0,0,2
EI0000040ES,2026,1,161,4,1,0,0,3
EI0100041ES,2025,2,156,12,0,0,2,2
EI0100041ES,2025,3,169,3,1,0,1,3
EI0100041ES,2025,4,166,2,0,1,1,3
EI0100041ES,2025,5,161,6,1,0,0,1
EI0100041ES,2025,6,170,0,0,1,2,2
EI0100041ES,2025,7,154,4,0,0,4,2
EI0100041ES,2025,8,172,3,0,0,2,2
EI0100041ES,2025,9,151,14,2,0,1,3
EI0100041ES,2025,10,170,6,1,0,2,2
EI0100041ES,2025,11,156,7,0,0,0,2
EI0100041ES,2025,12,167,8,0,0,2,3
EI0100041ES,2026,1,150,4,0,0,1,3
EI2100042ES,2025,2,161,1,0,0,0,3
EI2100042ES,2025,3,164,15,1,0,0,3
EI2100042ES,2025,4,147,1,0,0,0,3
EI2100042ES,2025,5,168,0,1,0,0,1
EI2100042ES,2025,6,161,16,1,0,1,3
EI2100042ES,2025,7,166,9,3,0,1,2
EI2100042ES,2025,8,164,7,1,0,1,3
EI2100042ES,2025,9,149,2,1,0,0,2
EI2100042ES,2025,10,160,4,3,0,1,3
EI2100042ES,2025,11,159,1,0,0,0,1
EI2100042ES,2025,12,160,6,4,1,1,4
EI2100042ES,2026,1,169,15,0,0,1,3
EI1000043ES,2025,2,157,9,1,0,0,3
EI1000043ES,2025,3,155,6,2,0,1,3
EI1000043ES,2025,4,154,5,3,0,1,3
EI1000043ES,2025,5,164,3,1,1,1,2
EI1000043ES,2025,6,157,1,1,0,0,2
EI1000043ES,2025,7,161,14,0,0,1,2
EI1000043ES,2025,8,156,2,2,0,0,3
EI1000043ES,2025,9,159,0,1,1,0,4
EI1000043ES,2025,10,172,10,1,0,1,2
EI1000043ES,2025,11,163,3,2,0,1,3
EI1000043ES,2025,12,155,6,1,0,1,3
EI1000043ES,2026,1,157,10,0,1,1,2
EI1100044ES,2025,2,150,6,1,0,3,4
EI1100044ES,2025,3,153,6,0,0,2,3
EI1100044ES,2025,4,158,2,0,0,0,3
EI1100044ES,2025,5,162,8,0,0,0,2
EI1100044ES,2025,6,165,1,1,0,2,2
EI1100044ES,2025,7,154,1,2,0,0,3
EI1100044ES,2025,8,173,0,0,0,0,3
EI1100044ES,2025,9,162,11,1,0,0,1
EI1100044ES,2025,10,154,9,1,1,3,3
EI1100044ES,2025,11,153,5,1,0,1,2
EI1100044ES,2025,12,156,2,0,0,1,2
EI1100044ES,2026,1,157,2,0,0,2,2
EI1000045ES,2025,2,165,3,1,0,0,3
EI1000045ES,2025,3,168,3,2,0,0,3
EI1000045ES,2025,4,152,15,1,0,1,2
EI1000045ES,2025,5,180,3,2,0,0,2
EI1000045ES,2025,6,166,5,0,0,0,2
EI1000045ES,2025,7,157,1,0,0,2,2
EI1000045ES,2025,8,160,3,1,0,2,3
EI1000045ES,2025,9,163,3,1,0,0,3
EI1000045ES,2025,10,172,3,1,0,3,2
EI1000045ES,2025,11,160,5,1,0,1,2
EI1000045ES,2025,12,165,3,1,0,0,3
EI1000045ES,2026,1,162,2,0,0,1,3
EI1700046ES,2025,2,153,8,0,0,0,3
EI1700046ES,2025,3,150,7,0,2,0,2
EI1700046ES,2025,4,160,5,0,0,1,3
EI1700046ES,2025,5,147,6,0,1,2,2
EI1700046ES,2025,6,138,6,1,0,3,3
EI1700046ES,2025,7,159,0,0,0,2,2
EI1700046ES,2025,8,157,6,3,0,1,3
EI1700046ES,2025,9,166,6,1,1,3,3
EI1700046ES,2025,10,144,5,1,0,2,2
EI1700046ES,2025,11,149,5,0,0,1,3
EI1700046ES,2025,12,159,7,0,0,1,3
EI1700046ES,2026,1,161,7,0,1,0,1
EI9400047ES,2025,2,164,3,0,2,0,4
EI9400047ES,2025,3,164,6,0,0,1,3
EI9400047ES,2025,4,160,5,1,0,1,2
EI9400047ES,2025,5,168,9,0,0,0,1
