numero_empleado,titulo,departamento,fecha_ingreso,modalidad_trabajo,salario_bruto_anual_eur
EI1100094ES,Gerente de Operaciones,Operaciones,2011-01-12,Híbrido,109755
EI2200095ES,Supervisor de Sucursal,Atención al Cliente,2022-12-01,Oficina,45863
EI0500096ES,Director IT,Dirección,2005-10-31,Remoto,172312
EI9700097ES,Desarrollador,IT,1997-07-07,Remoto,42315
EI9200098ES,Analista de Operaciones,Operaciones,1992-10-03,Híbrido,55620
EI1500099ES,Director de Riesgo,Dirección,2015-09-12,Híbrido,123382
EI1800100ES,Asistente de Crédito,Crédito,2018-01-02,Híbrido,25447
EI9300101ES,Gerente de Área,Gerencia,1993-09-13,Oficina,98311
EI0100102ES,Analista de Operaciones,Operaciones,2001-04-22,Híbrido,39343
EI0100103ES,Analista de Operaciones,Operaciones,2001-07-11,Oficina,35465
EI1600104ES,Gerente de Operaciones,Operaciones,2016-07-18,Híbrido,89904
EI2600105ES,Analista de Crédito,Crédito,2026-03-28,Híbrido,40747
EI0000106ES,Asistente de Crédito,Crédito,2000-08-05,Oficina,32944
EI0500107ES,Gerente de Área,Gerencia,2005-05-19,Oficina,95531
EI2600108ES,Soporte IT,IT,2026-11-11,Remoto,32525
EI2400109ES,Analista de Datos,IT,2024-07-22,Híbrido,70111
EI0900110ES,Supervisor de Sucursal,Atención al Cliente,2009-09-29,Oficina,40481
EI1500111ES,Arquitecto de Software,IT,2015-12-01,Híbrido,92614
EI0100112ES,Asistente de Crédito,Crédito,2001-11-10,Oficina,26900
EI1000113ES,Gerente de Riesgo,Riesgo,2010-10-25,Híbrido,106132
EI1100114ES,Desarrollador,IT,2011-05-14,Híbrido,74899
EI2000115ES,Analista de Operaciones,Operaciones,2020-08-29,Híbrido,58121
EI0100116ES,Ejecutivo Comercial,Comercial,2001-10-12,Híbrido,39756
EI0200117ES,Gerente de Operaciones,Operaciones,2002-12-15,Híbrido,109413
EI1300118ES,Analista de Riesgo,Riesgo,2013-10-14,Oficina,62376
EI1300119ES,Gerente IT,IT,2013-10-31,Remoto,113188
EI0500120ES,Gerente de Área,Gerencia,2005-01-10,Híbrido,107716
EI0100121ES,Gerente de Operaciones,Operaciones,2001-06-15,Híbrido,118284
EI2400122ES,Ejecutivo Comercial,Comercial,2024-09-06,Oficina,57127
EI2000123ES,Asistente de Crédito,Crédito,2020-02-21,Oficina,34645
EI0500124ES,Soporte IT,IT,2005-02-19,Híbrido,41103
EI1400125ES,Desarrollador,IT,2014-07-26,Híbrido,40693
EI9000126ES,Gerente Comercial,Comercial,1990-07-15,Oficina,96951
EI9400127ES,Soporte IT,IT,1994-08-30,Remoto,41231
EI9900128ES,Ejecutivo Comercial,Comercial,1999-11-04,Híbrido,58765
EI9800129ES,Analista de Operaciones,Operaciones,1998-08-30,Oficina,36115
EI9400130ES,Asistente Comercial,Comercial,1994-02-15,Oficina,25931
EI1800131ES,Asistente Comercial,Comercial,2018-08-16,Oficina,26995
EI1700132ES,Director Financiero,Dirección,2017-02-15,Híbrido,128513
EI9400133ES,Director de Riesgo,Dirección,1994-12-22,Oficina,165590
EI0300134ES,Desarrollador,IT,2003-03-20,Híbrido,70602
EI1000135ES,Asistente Comercial,Comercial,2010-05-05,Híbrido,29528
EI1900136ES,Asistente Comercial,Comercial,2019-12-12,Híbrido,30298
EI2500137ES,Gerente de Crédito,Crédito,2025-01-08,Híbrido,74849
EI0700138ES,Gerente de Operaciones,Operaciones,2007-03-04,Híbrido,105466
EI0100139ES,Gerente de Riesgo,Riesgo,2001-08-01,Oficina,97345
EI9300140ES,Analista de Riesgo,Riesgo,1993-02-11,Oficina,56112
EI9800141ES,Analista de Operaciones,Operaciones,1998-01-02,Híbrido,56151
EI9600142ES,Cajero,Atención al Cliente,1996-06-15,Oficina,26428
EI9900143ES,Ejecutivo Comercial,Comercial,1999-10-19,Oficina,55118
EI2200144ES,Analista de Datos,IT,2022-02-03,Híbrido,61973
EI9300145ES,Gerente de Riesgo,Riesgo,1993-04-09,Híbrido,84614
EI9000146ES,Analista de Datos,IT,1990-11-04,Híbrido,77617
EI1800147ES,Asistente de Crédito,Crédito,2018-09-22,Oficina,25014
EI0100148ES,Analista de Operaciones,Operaciones,2001-12-14,Híbrido,39967
EI1500149ES,Analista de Datos,IT,2015-10-11,Remoto,45242
EI0900150ES,Analista de Crédito,Crédito,2009-07-24,Oficina,48235
EI0000151ES,Asistente Comercial,Comercial,2000-02-18,Híbrido,25054
EI9500152ES,Analista de Operaciones,Operaciones,1995-06-09,Híbrido,53587
EI2000153ES,Desarrollador,IT,2020-08-02,Remoto,59846
EI1800154ES,Gerente de Riesgo,Riesgo,2018-05-13,Híbrido,85941
EI0500155ES,Asistente Comercial,Comercial,2005-04-03,Híbrido,26318
EI1900156ES,Desarrollador,IT,2019-01-22,Híbrido,53311
EI9100157ES,Soporte IT,IT,1991-10-07,Híbrido,36294
EI2100158ES,Ejecutivo Comercial,Comercial,2021-03-20,Oficina,47782
EI2000159ES,Asistente de Crédito,Crédito,2020-11-24,Híbrido,30886
EI1800160ES,Gerente Comercial,Comercial,2018-05-21,Oficina,98703
EI9100161ES,Gerente de Riesgo,Riesgo,1991-08-08,Oficina,92654
EI1100162ES,Gerente de Operaciones,Operaciones,2011-12-12,Oficina,105478
EI1800163ES,Supervisor de Sucursal,Atención al Cliente,2018-11-11,Oficina,45083
EI1300164ES,Gerente de Área,Gerencia,2013-12-14,Oficina,119445
EI0500165ES,Gerente de Operaciones,Operaciones,2005-03-21,Híbrido,83673
EI9100166ES,Supervisor de Sucursal,Atención al Cliente,1991-12-03,Oficina,48287
EI9900167ES,Gerente de Operaciones,Operaciones,1999-07-01,Híbrido,114283
EI1400168ES,Supervisor de Sucursal,Atención al Cliente,2014-01-26,Oficina,39880
EI1500169ES,Asistente Comercial,Comercial,2015-12-28,Oficina,28817
EI2200170ES,Cajero,Atención al Cliente,2022-12-28,Oficina,23159
EI1900171ES,Ejecutivo Comercial,Comercial,2019-05-01,Híbrido,35624
EI9200172ES,Supervisor de Sucursal,Atención al Cliente,1992-01-21,Oficina,42952
EI1900173ES,Asistente de Crédito,Crédito,2019-02-07,Oficina,27138
EI1800174ES,Gerente de Riesgo,Riesgo,2018-05-19,Híbrido,83274
EI1000175ES,Gerente Comercial,Comercial,2010-06-19,Oficina,81186
EI9500176ES,Gerente Comercial,Comercial,1995-02-14,Oficina,102580
EI2600177ES,Gerente de Operaciones,Operaciones,2026-02-01,Híbrido,93280
EI2600178ES,Desarrollador,IT,2026-05-27,Remoto,66346
EI2000179ES,Gerente Comercial,Comercial,2020-09-08,Oficina,107746
EI2500180ES,Desarrollador,IT,2025-07-30,Híbrido,53974
EI9700181ES,Asistente Comercial,Comercial,1997-10-12,Oficina,30496
EI0200182ES,Gerente Comercial,Comercial,2002-04-15,Híbrido,79256
EI2100183ES,Gerente de Riesgo,Riesgo,2021-03-27,Oficina,104243
EI0000184ES,Director IT,Dirección,2000-12-05,Híbrido,158141
EI9400185ES,Cajero,Atención al Cliente,1994-06-26,Oficina,28480
EI2400186ES,Analista de Operaciones,Operaciones,2024-11-19,Oficina,40169
EI9300187ES,Asistente de Plataforma,Atención al Cliente,1993-08-15,Oficina,23104
EI9800188ES,Cajero,Atención al Cliente,1998-01-18,Oficina,29586
EI2100189ES,Gerente de Área,Gerencia,2021-09-14,Híbrido,128910
EI2100190ES,Asistente de Plataforma,Atención al Cliente,2021-02-09,Oficina,30798
EI9500191ES,Supervisor de Sucursal,Atención al Cliente,1995-09-11,Oficina,41755
EI1800192ES,Gerente de Operaciones,Operaciones,2018-09-13,Híbrido,97756
EI0000193ES,Gerente de Área,Gerencia,2000-09-24,Oficina,101439
EI9800194ES,Asistente de Crédito,Crédito,1998-01-28,Oficina,33190
EI2500195ES,Supervisor de Sucursal,Atención al Cliente,2025-02-07,Oficina,44869
EI0800196ES,Analista de Crédito,Crédito,2008-10-14,Oficina,35149
EI9500197ES,Director de Riesgo,Dirección,1995-04-10,Oficina,154747
EI0600198ES,Soporte IT,IT,2006-03-27,Híbrido,44134
EI2400199ES,Asistente de Plataforma,Atención al Cliente,2024-07-22,Oficina,26409
EI9200200ES,Asistente de Plataforma,Atención al Cliente,1992-05-19,Oficina,26173
EI2500201ES,Gerente Comercial,Comercial,2025-09-25,Híbrido,79779
EI9700202ES,Asistente de Plataforma,Atención al Cliente,1997-11-28,Oficina,25617
EI9100203ES,Asistente de Crédito,Crédito,1991-12-08,Híbrido,25885
EI9900204ES,Analista de Crédito,Crédito,1999-05-27,Híbrido,49243
EI1700205ES,Analista de Crédito,Crédito,2017-09-01,Híbrido,59851
EI9400206ES,Gerente Comercial,Comercial,1994-09-07,Oficina,73437
EI2500207ES,Gerente Comercial,Comercial,2025-03-27,Híbrido,71904
EI9500208ES,Supervisor de Sucursal,Atención al Cliente,1995-03-17,Oficina,37321
EI2200209ES,Gerente Comercial,Comercial,2022-05-12,Híbrido,99151
EI9800210ES,Gerente de Área,Gerencia,1998-12-01,Oficina,111344
EI0400211ES,Gerente de Crédito,Crédito,2004-08-18,Oficina,84927
EI2300212ES,Gerente de Crédito,Crédito,2023-02-04,Oficina,97039
EI9900213ES,Analista de Operaciones,Operaciones,1999-11-25,Híbrido,37409
EI1100214ES,Asistente de Crédito,Crédito,2011-09-24,Híbrido,25890
EI9900215ES,Gerente Comercial,Comercial,1999-09-12,Híbrido,109939
EI0700216ES,Gerente Comercial,Comercial,2007-05-18,Oficina,94476
EI2200217ES,Ejecutivo Comercial,Comercial,2022-04-16,Híbrido,41362
EI9900218ES,Analista de Crédito,Crédito,1999-01-27,Oficina,46006
EI2100219ES,Gerente IT,IT,2021-01-19,Híbrido,127268
EI9600220ES,Ejecutivo Comercial,Comercial,1996-02-15,Híbrido,38640
EI0800221ES,Ejecutivo Comercial,Comercial,2008-10-05,Híbrido,40609
EI0300222ES,Gerente de Crédito,Crédito,2003-03-29,Oficina,109559
EI9700223ES,Soporte IT,IT,1997-08-16,Híbrido,39471
EI0800224ES,Gerente IT,IT,2008-06-20,Remoto,124194
EI1600225ES,Gerente de Operaciones,Operaciones,2016-07-15,Híbrido,111030
EI9000226ES,Analista de Operaciones,Operaciones,1990-08-26,Híbrido,58921
EI0100227ES,Asistente Comercial,Comercial,2001-01-24,Híbrido,29060
EI1500228ES,Gerente de Área,Gerencia,2015-12-29,Oficina,104575
EI9000229ES,Soporte IT,IT,1990-03-25,Híbrido,36844
EI1100230ES,Gerente de Operaciones,Operaciones,2011-02-11,Oficina,113044
EI1300231ES,Analista de Riesgo,Riesgo,2013-10-28,Híbrido,52921
EI1000232ES,Gerente IT,IT,2010-04-18,Híbrido,122459
EI1500233ES,Gerente de Operaciones,Operaciones,2015-01-20,Híbrido,80814
EI9500234ES,Gerente de Crédito,Crédito,1995-12-15,Híbrido,93488
EI1900235ES,Gerente de Operaciones,Operaciones,2019-01-19,Oficina,85946
EI2000236ES,Analista de Operaciones,Operaciones,2020-01-05,Oficina,44988
EI1500237ES,Analista de Operaciones,Operaciones,2015-08-03,Oficina,59487
EI1000238ES,Director IT,Dirección,2010-10-21,Híbrido,170582
EI0800239ES,Asistente de Crédito,Crédito,2008-03-08,Híbrido,28030
EI1000240ES,Asistente de Crédito,Crédito,2010-10-30,Oficina,25022
EI2000241ES,Especialista RRHH,Talento Humano,2020-12-26,Oficina,45908
EI0900242ES,Gerente de Área,Gerencia,2009-02-07,Oficina,107680
EI9300243ES,Asistente Comercial,Comercial,1993-08-19,Oficina,30500
EI9200244ES,Gerente de Área,Gerencia,1992-04-24,Híbrido,97272
EI1000245ES,Asistente de Plataforma,Atención al Cliente,2010-11-16,Oficina,23669
EI0600246ES,Analista de Operaciones,Operaciones,2006-06-09,Oficina,40743
EI2100247ES,Asistente de Crédito,Crédito,2021-10-26,Oficina,28354
EI0000248ES,Especialista RRHH,Talento Humano,2000-09-14,Oficina,52682
EI1100249ES,Asistente de Crédito,Crédito,2011-06-19,Oficina,34504
EI0400250ES,Gerente de Área,Gerencia,2004-05-17,Híbrido,113115
EI0200251ES,Analista de Riesgo,Riesgo,2002-06-07,Oficina,41784
EI0500252ES,Asistente de Plataforma,Atención al Cliente,2005-06-27,Oficina,30412
EI1200253ES,Analista de Crédito,Crédito,2012-06-29,Oficina,52258
EI2100254ES,Ejecutivo Comercial,Comercial,2021-11-03,Híbrido,52429
EI1700255ES,Analista de Crédito,Crédito,2017-11-08,Oficina,47063
EI1000256ES,Gerente de Crédito,Crédito,2010-07-16,Oficina,75721
EI9800257ES,Ejecutivo Comercial,Comercial,1998-01-08,Oficina,44449
EI9700258ES,Gerente de Operaciones,Operaciones,1997-05-23,Oficina,98084
EI1200259ES,Gerente de Operaciones,Operaciones,2012-04-06,Oficina,89863
EI1800260ES,Asistente Comercial,Comercial,2018-02-20,Híbrido,25371
EI2000261ES,Ejecutivo Comercial,Comercial,2020-08-11,Oficina,52741
EI0500262ES,Ejecutivo Comercial,Comercial,2005-07-21,Híbrido,48766
EI1800263ES,Supervisor de Sucursal,Atención al Cliente,2018-12-02,Oficina,35703
EI9800264ES,Director Comercial,Dirección,1998-06-25,Oficina,124125
EI1300265ES,Arquitecto de Software,IT,2013-04-23,Remoto,92012
EI0500266ES,Asistente Comercial,Comercial,2005-05-18,Híbrido,30346
EI1900267ES,Asistente de Crédito,Crédito,2019-11-14,Híbrido,33686
EI0300268ES,Analista de Crédito,Crédito,2003-08-23,Oficina,53587
EI9700269ES,Ejecutivo Comercial,Comercial,1997-09-14,Oficina,43519
EI0600270ES,Analista de Crédito,Crédito,2006-09-07,Oficina,44441
EI0500271ES,Gerente de Crédito,Crédito,2005-11-03,Híbrido,88637
EI1700272ES,Arquitecto de Software,IT,2017-10-01,Remoto,80537
EI9700273ES,Gerente de Crédito,Crédito,1997-11-13,Oficina,80058
EI9500274ES,Gerente de Crédito,Crédito,1995-03-31,Híbrido,72696
EI9500275ES,Supervisor de Sucursal,Atención al Cliente,1995-09-04,Oficina,49447
EI0600276ES,Asistente de Plataforma,Atención al Cliente,2006-08-01,Oficina,26022
EI1500277ES,Gerente Comercial,Comercial,2015-03-26,Híbrido,72273
EI9600278ES,Desarrollador,IT,1996-08-20,Remoto,64439
EI1300279ES,Gerente de Operaciones,Operaciones,2013-12-09,Oficina,99763
EI0800280ES,Gerente de Operaciones,Operaciones,2008-02-24,Oficina,112729
EI0400281ES,Analista de Datos,IT,2004-05-13,Híbrido,55227
EI1400282ES,Asistente Comercial,Comercial,2014-07-02,Híbrido,33313
EI2100283ES,Asistente Comercial,Comercial,2021-08-24,Híbrido,29842
EI2300284ES,Desarrollador,IT,2023-10-31,Remoto,49639
EI2000285ES,Analista de Crédito,Crédito,2020-11-29,Híbrido,38680
EI9600286ES,Cajero,Atención al Cliente,1996-04-03,Oficina,27554
EI0300287ES,Gerente de Riesgo,Riesgo,2003-10-27,Híbrido,81625
EI9900288ES,Supervisor de Sucursal,Atención al Cliente,1999-11-20,Oficina,49613
EI9400289ES,Asistente de Plataforma,Atención al Cliente,1994-02-24,Oficina,28347
EI1700290ES,Gerente Comercial,Comercial,2017-04-12,Oficina,82789
EI9800291ES,Ejecutivo Comercial,Comercial,1998-10-12,Oficina,35738
EI0900292ES,Asistente de Crédito,Crédito,2009-12-25,Híbrido,26431
EI1200293ES,Arquitecto de Software,IT,2012-01-01,Híbrido,90824
EI0600294ES,Asistente de Crédito,Crédito,2006-03-13,Oficina,31513
EI0600295ES,Analista de Operaciones,Operaciones,2006-08-01,Híbrido,47652
EI0200296ES,Gerente Comercial,Comercial,2002-10-08,Híbrido,92604
EI0900297ES,Analista de Operaciones,Operaciones,2009-12-27,Oficina,53383
EI2200298ES,Gerente de Área,Gerencia,2022-08-26,Híbrido,119112
EI0200299ES,Especialista RRHH,Talento Humano,2002-12-12,Híbrido,40367
EI9600300ES,Analista de Riesgo,Riesgo,1996-04-05,Oficina,67378
EI9900301ES,Cajero,Atención al Cliente,1999-04-28,Oficina,24484
EI1300302ES,Ejecutivo Comercial,Comercial,2013-07-25,Oficina,45990
EI2300303ES,Supervisor de Sucursal,Atención al Cliente,2023-12-02,Oficina,47313
EI9000304ES,Gerente IT,IT,1990-04-19,Remoto,116834
EI9700305ES,Analista de Datos,IT,1997-11-05,Híbrido,75285
EI9800306ES,Gerente Comercial,Comercial,1998-05-06,Híbrido,95019
EI1200307ES,Asistente de Crédito,Crédito,2012-01-03,Híbrido,25691
EI1200308ES,Analista de Operaciones,Operaciones,2012-03-01,Híbrido,53326
EI9100309ES,Gerente de Crédito,Crédito,1991-03-16,Oficina,70160
EI0300310ES,Analista de Riesgo,Riesgo,2003-06-19,Híbrido,60989
EI1900311ES,Gerente Comercial,Comercial,2019-05-01,Híbrido,88853
EI1200312ES,Arquitecto de Software,IT,2012-01-25,Híbrido,86039
EI2400313ES,Gerente de Área,Gerencia,2024-04-21,Híbrido,108167
EI1600314ES,Director Financiero,Dirección,2016-11-12,Híbrido,168861
EI1100315ES,Asistente de Crédito,Crédito,2011-07-22,Híbrido,34266
EI1800316ES,Especialista RRHH,Talento Humano,2018-03-04,Híbrido,57475
EI0600317ES,Gerente de Área,Gerencia,2006-09-28,Oficina,123588
EI9700318ES,Desarrollador,IT,1997-04-22,Híbrido,43834
EI1000319ES,Gerente de Área,Gerencia,2010-09-06,Híbrido,98879
EI9200320ES,Gerente de Operaciones,Operaciones,1992-05-16,Híbrido,97869
EI1800321ES,Gerente de Área,Gerencia,2018-07-17,Oficina,113329
EI0300322ES,Analista de Riesgo,Riesgo,2003-01-31,Oficina,57354
EI9800323ES,Supervisor de Sucursal,Atención al Cliente,1998-09-11,Oficina,41004
EI1600324ES,Gerente de Riesgo,Riesgo,2016-11-10,Híbrido,90953
EI2000325ES,Director Comercial,Dirección,2020-09-22,Híbrido,172420
EI2000326ES,Analista de Riesgo,Riesgo,2020-09-30,Híbrido,62870
EI1300327ES,Gerente de Crédito,Crédito,2013-12-21,Híbrido,108013
EI9000328ES,Gerente de Operaciones,Operaciones,1990-07-31,Híbrido,88975
EI2400329ES,Ejecutivo Comercial,Comercial,2024-12-07,Híbrido,50889
EI9700330ES,Ejecutivo Comercial,Comercial,1997-04-25,Oficina,38356
EI1200331ES,Gerente de Riesgo,Riesgo,2012-07-31,Oficina,94490
EI0800332ES,Director Financiero,Dirección,2008-09-20,Oficina,150178
EI2600333ES,Gerente Comercial,Comercial,2026-09-24,Oficina,78600
EI0500334ES,Analista de Riesgo,Riesgo,2005-08-15,Híbrido,50209
EI2600335ES,Gerente de Talento Humano,Talento Humano,2026-08-26,Híbrido,108962
EI2100336ES,Gerente Comercial,Comercial,2021-11-04,Oficina,89967
EI9900337ES,Gerente de Riesgo,Riesgo,1999-12-23,Oficina,88435
EI0000338ES,Supervisor de Sucursal,Atención al Cliente,2000-03-01,Oficina,45073
EI9900339ES,Gerente de Operaciones,Operaciones,1999-06-01,Oficina,88533
EI2000340ES,Analista de Crédito,Crédito,2020-12-27,Oficina,38660
EI2400341ES,Gerente Comercial,Comercial,2024-10-01,Híbrido,101736
EI9800342ES,Gerente de Área,Gerencia,1998-10-23,Oficina,97065
EI1300343ES,Asistente Comercial,Comercial,2013-01-12,Oficina,34718
EI9500344ES,Ejecutivo Comercial,Comercial,1995-05-03,Oficina,43290
EI0300345ES,Cajero,Atención al Cliente,2003-07-14,Oficina,27468
EI2300346ES,Gerente Comercial,Comercial,2023-11-06,Oficina,76324
EI9900347ES,Supervisor de Sucursal,Atención al Cliente,1999-03-20,Oficina,54254
EI9800348ES,Gerente de Riesgo,Riesgo,1998-04-16,Oficina,103038
EI9600349ES,Gerente de Talento Humano,Talento Humano,1996-07-12,Híbrido,98178
EI9700350ES,Analista de Operaciones,Operaciones,1997-03-15,Oficina,51404
EI9400351ES,Gerente de Operaciones,Operaciones,1994-06-12,Oficina,117888
EI2200352ES,Gerente de Área,Gerencia,2022-02-09,Híbrido,102553
EI2300353ES,Gerente Comercial,Comercial,2023-10-28,Oficina,105201
EI9900354ES,Gerente de Riesgo,Riesgo,1999-08-08,Híbrido,113042
EI2100355ES,Analista de Riesgo,Riesgo,2021-04-26,Oficina,59312
EI2000356ES,Analista de Crédito,Crédito,2020-03-19,Oficina,38516
EI0700357ES,Analista de Operaciones,Operaciones,2007-01-11,Oficina,48896
EI0800358ES,Director de Riesgo,Dirección,2008-04-13,Híbrido,127395
EI1000359ES,Cajero,Atención al Cliente,2010-11-25,Oficina,22903
EI9600360ES,Asistente de Crédito,Crédito,1996-02-05,Híbrido,33123
EI1400361ES,Analista de Operaciones,Operaciones,2014-12-29,Oficina,58662
