numero_empleado,periodo,horas_laborales_normales,horas_extras,ausencias_justificadas,ausencias_no_justificadas,llegadas_tardias,evaluacion_desempeno
EI9600015ES,2026-01,183,12,2,0,1,Meets
EI2200016ES,2025-02,156,3,0,0,1,Needs Improvement
EI2200016ES,2025-03,168,4,0,0,2,Meets
EI2200016ES,2025-04,151,2,0,0,1,Meets
EI2200016ES,2025-05,148,9,0,0,0,Outstanding
EI2200016ES,2025-06,166,1,0,0,1,Exceeds
EI2200016ES,2025-07,179,17,1,0,1,Meets
EI2200016ES,2025-08,154,14,1,0,0,Meets
EI2200016ES,2025-09,153,6,0,0,0,Meets
EI2200016ES,2025-10,164,6,1,0,0,Meets
EI2200016ES,2025-11,155,10,1,0,2,Meets
EI2200016ES,2025-12,166,2,3,0,1,Meets
EI2200016ES,2026-01,170,6,0,0,1,Exceeds
EI2200017ES,2025-02,172,15,0,0,3,Needs Improvement
EI2200017ES,2025-03,156,6,0,0,1,Exceeds
EI2200017ES,2025-04,151,13,1,1,0,Meets
EI2200017ES,2025-05,167,2,1,0,0,Meets
EI2200017ES,2025-06,168,6,1,0,1,Meets
EI2200017ES,2025-07,169,6,0,0,1,Meets
EI2200017ES,2025-08,161,4,1,1,1,Meets
EI2200017ES,2025-09,160,4,1,0,1,Meets
EI2200017ES,2025-10,162,16,1,1,0,Needs Improvement
EI2200017ES,2025-11,167,5,2,2,1,Meets
EI2200017ES,2025-12,157,0,2,1,2,Exceeds
EI2200017ES,2026-01,168,3,1,0,3,Exceeds
EI0300018ES,2025-02,163,2,0,0,0,Exceeds
EI0300018ES,2025-03,156,7,0,0,2,Meets
EI0300018ES,2025-04,176,13,1,0,2,Meets
EI0300018ES,2025-05,144,4,1,0,2,Meets
EI0300018ES,2025-06,163,6,0,1,3,Meets
EI0300018ES,2025-07,163,7,1,0,0,Meets
EI0300018ES,2025-08,168,10,0,0,0,Meets
EI0300018ES,2025-09,156,10,0,0,2,Meets
EI0300018ES,2025-10,145,11,0,0,0,Meets
EI0300018ES,2025-11,161,6,1,0,0,Outstanding
EI0300018ES,2025-12,159,6,1,0,0,Exceeds
EI0300018ES,2026-01,164,3,0,1,1,Meets
EI1000019ES,2025-02,169,4,1,1,2,Meets
EI1000019ES,2025-03,157,5,1,0,2,Meets
EI1000019ES,2025-04,149,1,0,0,1,Exceeds
EI1000019ES,2025-05,162,0,1,1,0,Meets
EI1000019ES,2025-06,166,10,0,0,2,Exceeds
EI1000019ES,2025-07,161,11,2,0,0,Meets
EI1000019ES,2025-08,158,2,1,0,0,Exceeds
EI1000019ES,2025-09,155,3,1,1,4,Meets
EI1000019ES,2025-10,156,6,0,0,1,Exceeds
EI1000019ES,2025-11,159,2,3,0,0,Exceeds
EI1000019ES,2025-12,163,9,0,0,0,Meets
EI1000019ES,2026-01,152,5,0,1,0,Outstanding
EI2400020ES,2025-02,146,5,0,0,1,Outstanding
EI2400020ES,2025-03,160,1,1,1,1,Outstanding
EI2400020ES,2025-04,162,0,0,0,1,Meets
EI2400020ES,2025-05,176,8,0,0,3,Needs Improvement
EI2400020ES,2025-06,166,6,1,0,0,Exceeds
EI2400020ES,2025-07,157,9,2,0,1,Needs Improvement
EI2400020ES,2025-08,162,6,1,0,1,Meets
EI2400020ES,2025-09,164,0,1,0,0,Outstanding
EI2400020ES,2025-10,149,18,2,0,0,Outstanding
EI2400020ES,2025-11,164,6,0,0,1,Meets
EI2400020ES,2025-12,159,6,0,0,1,Exceeds
EI2400020ES,2026-01,158,4,1,0,0,Exceeds
EI2400021ES,2025-02,165,3,0,0,0,Exceeds
EI2400021ES,2025-03,177,4,0,1,2,Exceeds
EI2400021ES,2025-04,165,3,0,0,1,Meets
EI2400021ES,2025-05,162,0,2,0,1,Meets
EI2400021ES,2025-06,157,0,0,0,1,Exceeds
EI2400021ES,2025-07,155,1,1,0,0,Meets
EI2400021ES,2025-08,159,7,1,0,2,Meets
EI2400021ES,2025-09,154,16,1,0,0,Meets
EI2400021ES,2025-10,154,2,1,0,0,Outstanding
EI2400021ES,2025-11,155,6,0,0,0,Outstanding
EI2400021ES,2025-12,158,5,0,1,2,Exceeds
EI2400021ES,2026-01,160,6,1,0,0,Exceeds
EI9800022ES,2025-02,147,4,2,0,0,Meets
EI9800022ES,2025-03,152,5,1,1,0,Meets
EI9800022ES,2025-04,166,3,2,1,2,Meets
EI9800022ES,2025-05,157,7,0,0,1,Exceeds
EI9800022ES,2025-06,151,7,1,1,1,Meets
EI9800022ES,2025-07,161,3,1,0,1,Exceeds
EI9800022ES,2025-08,158,1,0,0,2,Needs Improvement
EI9800022ES,2025-09,167,5,1,0,1,Meets
EI9800022ES,2025-10,164,2,2,2,0,Exceeds
EI9800022ES,2025-11,158,3,0,0,2,Outstanding
EI9800022ES,2025-12,161,4,1,1,2,Needs Improvement
EI9800022ES,2026-01,151,1,0,0,0,Outstanding
EI1300023ES,2025-02,155,3,1,1,0,Meets
EI1300023ES,2025-03,166,2,1,0,1,Meets
EI1300023ES,2025-04,167,3,0,0,3,Meets
EI1300023ES,2025-05,170,16,1,0,0,Outstanding
EI1300023ES,2025-06,154,4,1,0,1,Meets
EI1300023ES,2025-07,164,4,0,1,2,Meets
EI1300023ES,2025-08,144,17,1,0,0,Exceeds
EI1300023ES,2025-09,173,8,0,0,2,Exceeds
EI1300023ES,2025-10,155,2,1,0,1,Meets
EI1300023ES,2025-11,153,5,1,0,1,Meets
EI1300023ES,2025-12,160,2,1,1,2,Meets
EI1300023ES,2026-01,163,2,0,0,1,Outstanding
EI9500024ES,2025-02,158,4,0,1,2,Outstanding
EI9500024ES,2025-03,161,3,0,0,0,Meets
EI9500024ES,2025-04,166,0,0,0,2,Meets
EI9500024ES,2025-05,165,3,0,0,1,Exceeds
EI9500024ES,2025-06,149,3,0,0,1,Outstanding
EI9500024ES,2025-07,154,6,0,0,1,Exceeds
EI9500024ES,2025-08,163,4,1,1,1,Exceeds
EI9500024ES,2025-09,158,3,1,0,1,Exceeds
EI9500024ES,2025-10,144,5,0,0,0,Meets
EI9500024ES,2025-11,162,7,0,0,0,Exceeds
EI9500024ES,2025-12,155,6,1,0,3,Outstanding
EI9500024ES,2026-01,174,3,0,0,1,Exceeds
EI9700025ES,2025-02,163,3,1,0,0,Outstanding
EI9700025ES,2025-03,151,0,0,0,0,Outstanding
EI9700025ES,2025-04,152,3,0,0,4,Needs Improvement
EI9700025ES,2025-05,158,12,1,0,2,Meets
EI9700025ES,2025-06,154,11,0,1,2,Exceeds
EI9700025ES,2025-07,171,1,0,1,1,Meets
EI9700025ES,2025-08,163,5,0,0,1,Exceeds
EI9700025ES,2025-09,155,4,0,0,2,Meets
EI9700025ES,2025-10,153,3,0,0,0,Meets
EI9700025ES,2025-11,158,2,0,0,2,Exceeds
EI9700025ES,2025-12,146,18,0,1,0,Exceeds
EI9700025ES,2026-01,161,3,2,0,1,Meets
EI1700026ES,2025-02,150,7,0,0,0,Exceeds
EI1700026ES,2025-03,167,12,1,0,2,Meets
EI1700026ES,2025-04,166,11,0,1,0,Meets
EI1700026ES,2025-05,167,4,0,1,1,Exceeds
EI1700026ES,2025-06,160,3,3,0,2,Exceeds
EI1700026ES,2025-07,165,6,1,0,1,Meets
EI1700026ES,2025-08,152,11,2,0,1,Exceeds
EI1700026ES,2025-09,151,10,1,0,1,Meets
EI1700026ES,2025-10,171,4,3,0,0,Meets
EI1700026ES,2025-11,167,1,0,0,0,Exceeds
EI1700026ES,2025-12,152,17,1,0,1,Exceeds
EI1700026ES,2026-01,158,14,1,0,1,Meets
EI1400027ES,2025-02,155,8,0,0,1,Meets
EI1400027ES,2025-03,150,1,0,1,2,Meets
EI1400027ES,2025-04,170,15,0,1,1,Meets
EI1400027ES,2025-05,159,2,1,0,0,Outstanding
EI1400027ES,2025-06,155,2,1,0,0,Outstanding
EI1400027ES,2025-07,164,0,0,0,0,Exceeds
EI1400027ES,2025-08,146,3,1,0,2,Meets
EI1400027ES,2025-09,151,25,0,0,0,Outstanding
EI1400027ES,2025-10,167,4,0,0,1,Meets
EI1400027ES,2025-11,155,7,1,0,0,Meets
EI1400027ES,2025-12,165,5,0,1,1,Meets
EI1400027ES,2026-01,152,4,1,0,0,Meets
EI9600028ES,2025-02,163,13,1,0,3,Meets
EI9600028ES,2025-03,160,10,0,0,2,Meets
EI9600028ES,2025-04,160,1,1,0,1,Needs Improvement
EI9600028ES,2025-05,167,8,1,0,0,Meets
EI9600028ES,2025-06,159,7,0,0,2,Exceeds
EI9600028ES,2025-07,147,2,0,0,1,Exceeds
EI9600028ES,2025-08,162,8,1,0,3,Meets
EI9600028ES,2025-09,144,4,0,0,1,Exceeds
EI9600028ES,2025-10,154,3,1,0,1,Outstanding
EI9600028ES,2025-11,161,5,0,1,0,Exceeds
EI9600028ES,2025-12,177,8,1,0,1,Meets
EI9600028ES,2026-01,164,5,0,0,2,Exceeds
EI9700029ES,2025-02,163,4,0,0,1,Exceeds
EI9700029ES,2025-03,166,9,0,0,1,Outstanding
EI9700029ES,2025-04,159,2,0,0,1,Outstanding
EI9700029ES,2025-05,172,1,1,0,0,Meets
EI9700029ES,2025-06,162,12,1,0,0,Meets
EI9700029ES,2025-07,151,4,0,0,1,Exceeds
EI9700029ES,2025-08,162,4,1,0,0,Meets
EI9700029ES,2025-09,163,8,1,0,1,Meets
EI9700029ES,2025-10,172,1,1,0,0,Meets
EI9700029ES,2025-11,157,9,0,0,2,Exceeds
EI9700029ES,2025-12,171,2,0,0,0,Exceeds
EI9700029ES,2026-01,153,5,1,0,1,Meets
EI0500030ES,2025-02,134,3,1,0,2,Meets
EI0500030ES,2025-03,168,5,0,0,1,Exceeds
EI0500030ES,2025-04,157,0,1,0,1,Outstanding
EI0500030ES,2025-05,170,5,0,0,3,Outstanding
EI0500030ES,2025-06,164,16,1,0,0,Meets
EI0500030ES,2025-07,166,5,1,0,1,Meets
EI0500030ES,2025-08,169,1,0,0,0,Outstanding
EI0500030ES,2025-09,172,10,2,0,4,Needs Improvement
EI0500030ES,2025-10,159,4,0,0,3,Outstanding
EI0500030ES,2025-11,170,4,0,0,2,Meets
EI0500030ES,2025-12,158,8,0,1,1,Needs Improvement
EI0500030ES,2026-01,152,0,2,3,1,Needs Improvement
EI9500031ES,2025-02,165,2,0,0,1,Meets
EI9500031ES,2025-03,162,6,1,0,0,Exceeds
EI9500031ES,2025-04,158,9,0,0,0,Meets
EI9500031ES,2025-05,146,1,0,0,2,Meets
EI9500031ES,2025-06,155,1,1,0,1,Exceeds
EI9500031ES,2025-07,164,3,0,0,0,Exceeds
EI9500031ES,2025-08,159,8,0,0,0,Meets
EI9500031ES,2025-09,164,2,0,1,1,Meets
EI9500031ES,2025-10,157,0,0,2,0,Meets
EI9500031ES,2025-11,166,5,0,1,1,Meets
EI9500031ES,2025-12,160,4,1,0,1,Meets
EI9500031ES,2026-01,166,2,0,0,3,Meets
EI9200032ES,2025-02,162,4,1,0,1,Exceeds
EI9200032ES,2025-03,148,2,2,0,0,Meets
EI9200032ES,2025-04,159,6,2,1,1,Meets
EI9200032ES,2025-05,152,4,0,0,2,Meets
EI9200032ES,2025-06,159,9,1,0,1,Meets
EI9200032ES,2025-07,150,10,1,0,0,Meets
EI9200032ES,2025-08,164,3,0,0,1,Outstanding
EI9200032ES,2025-09,172,7,1,0,1,Meets
EI9200032ES,2025-10,165,20,1,1,0,Needs Improvement
EI9200032ES,2025-11,160,2,0,0,0,Meets
EI9200032ES,2025-12,159,3,1,0,1,Exceeds
EI9200032ES,2026-01,166,0,0,0,0,Meets
EI9300033ES,2025-02,165,2,3,1,0,Meets
EI9300033ES,2025-03,163,1,0,0,2,Meets
EI9300033ES,2025-04,153,10,0,1,0,Meets
EI9300033ES,2025-05,153,0,1,0,0,Exceeds
EI9300033ES,2025-06,163,7,1,1,1,Meets
EI9300033ES,2025-07,152,10,0,1,0,Exceeds
EI9300033ES,2025-08,163,5,1,1,0,Needs Improvement
EI9300033ES,2025-09,157,5,0,0,2,Meets
EI9300033ES,2025-10,159,6,1,0,2,Meets
EI9300033ES,2025-11,178,11,0,0,0,Outstanding
EI9300033ES,2025-12,161,6,0,0,0,Outstanding
EI9300033ES,2026-01,138,1,1,0,1,Needs Improvement
EI2100034ES,2025-02,146,7,1,2,0,Needs Improvement
EI2100034ES,2025-03,164,5,1,0,0,Outstanding
EI2100034ES,2025-04,159,2,0,0,1,Outstanding
EI2100034ES,2025-05,178,2,0,1,1,Exceeds
EI2100034ES,2025-06,146,2,1,0,0,Exceeds
EI2100034ES,2025-07,161,6,0,0,1,Meets
EI2100034ES,2025-08,160,2,0,0,2,Exceeds
EI2100034ES,2025-09,159,5,0,0,1,Meets
EI2100034ES,2025-10,167,8,1,1,1,Exceeds
EI2100034ES,2025-11,157,4,1,1,0,Exceeds
EI2100034ES,2025-12,161,5,1,0,0,Meets
EI2100034ES,2026-01,162,10,0,0,1,Exceeds
EI1700035ES,2025-02,168,3,3,0,2,Meets
EI1700035ES,2025-03,165,5,1,0,2,Exceeds
EI1700035ES,2025-04,163,7,3,0,0,Meets
EI1700035ES,2025-05,169,3,0,0,0,Outstanding
EI1700035ES,2025-06,154,16,3,1,1,Exceeds
EI1700035ES,2025-07,151,6,1,0,3,Meets
EI1700035ES,2025-08,169,2,0,0,2,Meets
EI1700035ES,2025-09,171,3,0,0,0,Exceeds
EI1700035ES,2025-10,147,10,2,0,1,Exceeds
EI1700035ES,2025-11,169,19,0,1,0,Exceeds
EI1700035ES,2025-12,162,1,0,0,2,Meets
EI1700035ES,2026-01,159,1,0,1,0,Meets
EI2600036ES,2025-02,145,2,0,0,0,Exceeds
EI2600036ES,2025-03,158,5,1,0,1,Exceeds
EI2600036ES,2025-04,161,1,0,0,0,Meets
EI2600036ES,2025-05,149,2,1,0,1,Needs Improvement
EI2600036ES,2025-06,166,1,0,2,1,Exceeds
EI2600036ES,2025-07,169,2,0,0,1,Outstanding
EI2600036ES,2025-08,146,3,0,0,2,Meets
EI2600036ES,2025-09,146,1,2,0,0,Meets
EI2600036ES,2025-10,147,7,0,0,0,Meets
EI2600036ES,2025-11,140,2,1,0,2,Meets
EI2600036ES,2025-12,170,4,0,0,2,Needs Improvement
EI2600036ES,2026-01,155,4,2,0,1,Meets
EI1500037ES,2025-02,151,11,0,1,1,Meets
EI1500037ES,2025-03,154,2,0,0,1,Outstanding
EI1500037ES,2025-04,161,5,0,0,1,Outstanding
EI1500037ES,2025-05,159,4,0,1,0,Exceeds
EI1500037ES,2025-06,161,1,1,0,0,Meets
EI1500037ES,2025-07,173,2,1,0,0,Exceeds
EI1500037ES,2025-08,162,12,0,0,1,Outstanding
EI1500037ES,2025-09,157,2,1,0,0,Meets
EI1500037ES,2025-10,154,5,1,2,3,Meets
EI1500037ES,2025-11,147,5,1,2,0,Meets
EI1500037ES,2025-12,155,4,0,0,1,Meets
EI1500037ES,2026-01,156,12,0,0,0,Exceeds
EI1100038ES,2025-02,166,4,0,1,1,Exceeds
EI1100038ES,2025-03,163,3,0,0,1,Meets
EI1100038ES,2025-04,154,2,0,0,0,Exceeds
EI1100038ES,2025-05,159,2,4,1,1,Meets
EI1100038ES,2025-06,146,5,1,0,2,Exceeds
EI1100038ES,2025-07,154,10,1,0,1,Exceeds
EI1100038ES,2025-08,159,16,1,0,0,Outstanding
EI1100038ES,2025-09,159,5,1,0,0,Exceeds
EI1100038ES,2025-10,166,7,1,0,2,Meets
EI1100038ES,2025-11,161,9,0,0,2,Outstanding
EI1100038ES,2025-12,160,4,0,0,3,Outstanding
EI1100038ES,2026-01,153,12,1,0,1,Meets
EI2000039ES,2025-02,155,3,2,0,3,Meets
EI2000039ES,2025-03,166,13,2,0,2,Meets
EI2000039ES,2025-04,161,6,1,0,1,Meets
EI2000039ES,2025-05,152,4,0,2,0,Meets
EI2000039ES,2025-06,166,2,1,0,0,Meets
EI2000039ES,2025-07,161,2,1,0,3,Meets
EI2000039ES,2025-08,161,11,2,0,0,Exceeds
EI2000039ES,2025-09,163,7,0,1,1,Meets
EI2000039ES,2025-10,152,3,0,0,1,Exceeds
EI2000039ES,2025-11,151,10,2,0,1,Exceeds
EI2000039ES,2025-12,169,5,0,0,0,Exceeds
EI2000039ES,2026-01,157,8,1,0,0,Exceeds
EI0000040ES,2025-02,161,1,0,0,1,Meets
EI0000040ES,2025-03,161,5,2,1,0,Meets
EI0000040ES,2025-04,165,8,0,0,0,Outstanding
EI0000040ES,2025-05,170,0,0,0,1,Exceeds
EI0000040ES,2025-06,167,9,2,0,0,Exceeds
EI0000040ES,2025-07,166,4,0,0,1,Exceeds
EI0000040ES,2025-08,162,13,1,0,1,Meets
EI0000040ES,2025-09,162,1,0,0,2,Outstanding
EI0000040ES,2025-10,167,0,1,0,1,Outstanding
EI0000040ES,2025-11,151,9,1,0,0,Outstanding
EI0000040ES,2025-12,161,2,1,0,0,Exceeds
EI0000040ES,2026-01,161,4,1,0,0,Meets
EI0100041ES,2025-02,156,12,0,0,2,Exceeds
EI0100041ES,2025-03,169,3,1,0,1,Meets
EI0100041ES,2025-04,166,2,0,1,1,Meets
EI0100041ES,2025-05,161,6,1,0,0,Outstanding
EI0100041ES,2025-06,170,0,0,1,2,Exceeds
EI0100041ES,2025-07,154,4,0,0,4,Exceeds
EI0100041ES,2025-08,172,3,0,0,2,Exceeds
EI0100041ES,2025-09,151,14,2,0,1,Meets
EI0100041ES,2025-10,170,6,1,0,2,Exceeds
EI0100041ES,2025-11,156,7,0,0,0,Exceeds
EI0100041ES,2025-12,167,8,0,0,2,Meets
EI0100041ES,2026-01,150,4,0,0,1,Meets
