numero_empleado,periodo,feedback_clientes,reconocimientos_desempeno_merito,apoyo_supervisor,apoyo_equipo
EI9206126ES,2026-01,1,5,4,5
EI2003364ES,2025-02,2,3,4,3
EI2003364ES,2025-03,2,3,4,4
EI2003364ES,2025-04,4,4,5,2
EI2003364ES,2025-05,4,5,5,2
EI2003364ES,2025-06,4,5,4,5
EI2003364ES,2025-07,3,5,5,5
EI2003364ES,2025-08,4,3,3,3
EI2003364ES,2025-09,4,2,5,1
EI2003364ES,2025-10,4,3,3,4
EI2003364ES,2025-11,4,2,2,4
EI2003364ES,2025-12,5,5,4,5
EI2003364ES,2026-01,3,4,1,4
EI0201590ES,2025-02,4,5,3,4
EI0201590ES,2025-03,4,4,3,4
EI0201590ES,2025-04,4,3,5,4
EI0201590ES,2025-05,3,5,4,5
EI0201590ES,2025-06,5,5,2,2
EI0201590ES,2025-07,1,4,5,4
EI0201590ES,2025-08,3,4,4,3
EI0201590ES,2025-09,4,1,4,4
EI0201590ES,2025-10,5,2,5,5
EI0201590ES,2025-11,2,4,4,3
EI0201590ES,2025-12,4,4,2,3
EI0201590ES,2026-01,4,1,4,4
EI1803146ES,2025-02,4,4,2,4
EI1803146ES,2025-03,4,3,4,5
EI1803146ES,2025-04,4,5,1,5
EI1803146ES,2025-05,5,2,3,4
EI1803146ES,2025-06,4,5,5,4
EI1803146ES,2025-07,4,4,2,2
EI1803146ES,2025-08,5,4,3,4
EI1803146ES,2025-09,5,4,5,4
EI1803146ES,2025-10,5,4,3,5
EI1803146ES,2025-11,2,5,4,2
EI1803146ES,2025-12,4,3,2,4
EI1803146ES,2026-01,5,3,4,4
EI0904885ES,2025-02,4,5,5,4
EI0904885ES,2025-03,4,5,3,2
EI0904885ES,2025-04,3,4,2,3
EI0904885ES,2025-05,4,5,2,5
EI0904885ES,2025-06,1,5,4,4
EI0904885ES,2025-07,5,3,4,4
EI0904885ES,2025-08,5,5,5,2
EI0904885ES,2025-09,4,3,2,1
EI0904885ES,2025-10,4,4,5,1
EI0904885ES,2025-11,4,5,3,4
EI0904885ES,2025-12,3,4,5,5
EI0904885ES,2026-01,5,2,4,4
EI1002720ES,2025-02,5,3,3,2
EI1002720ES,2025-03,4,4,4,5
EI1002720ES,2025-04,5,4,5,1
EI1002720ES,2025-05,1,5,5,3
EI1002720ES,2025-06,5,4,5,5
EI1002720ES,2025-07,5,5,4,4
EI1002720ES,2025-08,2,4,4,5
EI1002720ES,2025-09,3,5,2,4
EI1002720ES,2025-10,4,4,4,2
EI1002720ES,2025-11,5,3,5,4
EI1002720ES,2025-12,5,4,3,5
EI1002720ES,2026-01,4,4,5,5
EI9505982ES,2025-02,3,4,4,4
EI9505982ES,2025-03,4,4,4,5
EI9505982ES,2025-04,3,5,5,5
EI9505982ES,2025-05,4,4,4,1
EI9505982ES,2025-06,4,3,5,2
EI9505982ES,2025-07,3,3,3,5
EI9505982ES,2025-08,2,2,3,4
EI9505982ES,2025-09,3,3,5,5
EI9505982ES,2025-10,4,5,5,4
EI9505982ES,2025-11,3,4,5,4
EI9505982ES,2025-12,3,5,4,4
EI9505982ES,2026-01,5,3,4,3
EI0001570ES,2025-02,5,4,2,4
EI0001570ES,2025-03,5,5,5,4
EI0001570ES,2025-04,5,5,4,4
EI0001570ES,2025-05,4,4,4,5
EI0001570ES,2025-06,5,4,5,2
EI0001570ES,2025-07,4,5,4,4
EI0001570ES,2025-08,5,4,5,3
EI0001570ES,2025-09,5,3,3,3
EI0001570ES,2025-10,3,4,3,4
EI0001570ES,2025-11,4,2,5,4
EI0001570ES,2025-12,3,4,3,4
EI0001570ES,2026-01,4,3,4,5
EI1205492ES,2025-02,3,5,3,5
EI1205492ES,2025-03,5,4,5,5
EI1205492ES,2025-04,5,5,5,1
EI1205492ES,2025-05,5,2,2,3
EI1205492ES,2025-06,5,2,4,4
EI1205492ES,2025-07,3,3,1,4
EI1205492ES,2025-08,1,5,4,3
EI1205492ES,2025-09,4,5,3,5
EI1205492ES,2025-10,3,4,3,4
EI1205492ES,2025-11,3,4,5,2
EI1205492ES,2025-12,5,4,2,3
EI1205492ES,2026-01,4,5,5,2
EI0905511ES,2025-02,3,4,5,4
EI0905511ES,2025-03,4,5,3,5
EI0905511ES,2025-04,5,4,4,4
EI0905511ES,2025-05,2,4,3,2
EI0905511ES,2025-06,4,4,2,2
EI0905511ES,2025-07,4,4,5,4
EI0905511ES,2025-08,3,1,1,3
EI0905511ES,2025-09,3,5,5,4
EI0905511ES,2025-10,4,2,2,4
EI0905511ES,2025-11,4,3,5,4
EI0905511ES,2025-12,4,1,5,3
EI0905511ES,2026-01,4,5,3,5
EI9501075ES,2025-02,4,3,5,2
EI9501075ES,2025-03,2,3,5,3
EI9501075ES,2025-04,4,2,4,5
EI9501075ES,2025-05,2,2,2,3
EI9501075ES,2025-06,2,3,3,4
EI9501075ES,2025-07,2,4,4,4
EI9501075ES,2025-08,5,4,5,5
EI9501075ES,2025-09,4,3,4,3
EI9501075ES,2025-10,4,2,3,4
EI9501075ES,2025-11,1,3,5,5
EI9501075ES,2025-12,3,3,5,5
EI9501075ES,2026-01,3,5,5,4
EI1205797ES,2025-02,4,5,5,2
EI1205797ES,2025-03,4,4,3,4
EI1205797ES,2025-04,4,2,3,4
EI1205797ES,2025-05,5,4,4,5
EI1205797ES,2025-06,4,5,4,5
EI1205797ES,2025-07,4,4,2,4
EI1205797ES,2025-08,4,5,4,4
EI1205797ES,2025-09,4,2,5,3
EI1205797ES,2025-10,3,4,5,4
EI1205797ES,2025-11,5,4,2,4
EI1205797ES,2025-12,4,3,2,2
EI1205797ES,2026-01,3,4,4,2
EI2100189ES,2025-02,5,4,4,5
EI2100189ES,2025-03,3,5,5,4
EI2100189ES,2025-04,4,2,3,5
EI2100189ES,2025-05,3,3,4,3
EI2100189ES,2025-06,5,4,3,1
EI2100189ES,2025-07,4,3,3,5
EI2100189ES,2025-08,4,2,5,4
EI2100189ES,2025-09,3,3,4,5
EI2100189ES,2025-10,4,5,4,5
EI2100189ES,2025-11,3,2,5,5
EI2100189ES,2025-12,3,5,3,5
EI2100189ES,2026-01,4,3,5,5
EI2002755ES,2025-02,4,4,4,5
EI2002755ES,2025-03,5,3,2,4
EI2002755ES,2025-04,4,5,5,2
EI2002755ES,2025-05,5,4,4,5
EI2002755ES,2025-06,5,5,3,4
EI2002755ES,2025-07,3,2,4,5
EI2002755ES,2025-08,4,5,4,5
EI2002755ES,2025-09,5,4,2,4
EI2002755ES,2025-10,2,5,4,3
EI2002755ES,2025-11,5,4,3,3
EI2002755ES,2025-12,2,4,4,1
EI2002755ES,2026-01,4,4,2,3
EI9002640ES,2025-02,4,5,5,2
EI9002640ES,2025-03,4,3,5,4
EI9002640ES,2025-04,3,4,2,4
EI9002640ES,2025-05,5,4,4,5
EI9002640ES,2025-06,3,5,5,3
EI9002640ES,2025-07,4,4,4,2
EI9002640ES,2025-08,4,1,3,5
EI9002640ES,2025-09,3,3,3,4
EI9002640ES,2025-10,3,5,5,5
EI9002640ES,2025-11,4,3,5,4
EI9002640ES,2025-12,5,4,2,5
EI9002640ES,2026-01,5,5,2,3
EI0302149ES,2025-02,4,5,3,5
EI0302149ES,2025-03,2,4,4,4
EI0302149ES,2025-04,3,2,5,3
EI0302149ES,2025-05,5,3,5,5
EI0302149ES,2025-06,3,4,5,3
EI0302149ES,2025-07,3,5,2,3
EI0302149ES,2025-08,4,3,5,5
EI0302149ES,2025-09,3,4,3,5
EI0302149ES,2025-10,4,4,4,4
EI0302149ES,2025-11,4,1,5,2
EI0302149ES,2025-12,3,5,2,5
EI0302149ES,2026-01,5,5,4,2
EI9600926ES,2025-02,5,5,4,4
EI9600926ES,2025-03,5,4,2,3
EI9600926ES,2025-04,5,5,3,5
EI9600926ES,2025-05,4,4,5,5
EI9600926ES,2025-06,1,5,4,4
EI9600926ES,2025-07,4,5,5,3
EI9600926ES,2025-08,3,2,3,5
EI9600926ES,2025-09,3,2,5,2
EI9600926ES,2025-10,5,4,5,3
EI9600926ES,2025-11,3,3,4,5
EI9600926ES,2025-12,4,4,4,5
EI9600926ES,2026-01,5,4,3,4
EI9603997ES,2025-02,3,4,4,5
EI9603997ES,2025-03,5,5,2,5
EI9603997ES,2025-04,2,5,4,5
EI9603997ES,2025-05,4,2,4,2
EI9603997ES,2025-06,4,4,5,3
EI9603997ES,2025-07,4,4,5,5
EI9603997ES,2025-08,4,5,5,4
EI9603997ES,2025-09,3,5,1,1
EI9603997ES,2025-10,3,3,5,4
EI9603997ES,2025-11,5,4,4,4
EI9603997ES,2025-12,4,5,3,4
EI9603997ES,2026-01,3,5,5,5
EI0405240ES,2025-02,5,4,1,5
EI0405240ES,2025-03,2,3,2,4
EI0405240ES,2025-04,5,5,5,4
EI0405240ES,2025-05,4,4,4,3
EI0405240ES,2025-06,3,3,4,4
EI0405240ES,2025-07,5,3,5,3
EI0405240ES,2025-08,5,5,1,5
EI0405240ES,2025-09,4,5,1,5
EI0405240ES,2025-10,2,5,4,2
EI0405240ES,2025-11,4,4,4,5
EI0405240ES,2025-12,4,5,4,5
EI0405240ES,2026-01,4,2,5,4
EI9405561ES,2025-02,4,5,4,2
EI9405561ES,2025-03,4,4,5,5
EI9405561ES,2025-04,3,5,4,4
EI9405561ES,2025-05,4,4,2,3
EI9405561ES,2025-06,4,4,5,4
EI9405561ES,2025-07,3,3,4,3
EI9405561ES,2025-08,4,4,3,5
EI9405561ES,2025-09,3,4,4,4
EI9405561ES,2025-10,5,5,5,4
EI9405561ES,2025-11,5,4,3,5
EI9405561ES,2025-12,3,1,5,3
EI9405561ES,2026-01,4,3,3,5
EI1604536ES,2025-02,4,5,5,5
EI1604536ES,2025-03,5,4,4,4
EI1604536ES,2025-04,4,5,1,3
EI1604536ES,2025-05,4,5,4,3
EI1604536ES,2025-06,4,3,5,2
EI1604536ES,2025-07,3,3,5,4
EI1604536ES,2025-08,5,5,4,4
EI1604536ES,2025-09,5,3,4,5
EI1604536ES,2025-10,5,5,3,5
EI1604536ES,2025-11,5,2,5,3
EI1604536ES,2025-12,3,3,5,2
EI1604536ES,2026-01,5,4,3,5
EI9104764ES,2025-02,4,4,3,2
EI9104764ES,2025-03,4,5,4,5
EI9104764ES,2025-04,4,1,4,5
EI9104764ES,2025-05,4,3,5,5
EI9104764ES,2025-06,2,4,5,5
EI9104764ES,2025-07,2,4,5,4
EI9104764ES,2025-08,4,4,4,5
EI9104764ES,2025-09,5,4,5,4
EI9104764ES,2025-10,4,2,2,4
EI9104764ES,2025-11,3,4,2,3
EI9104764ES,2025-12,5,3,5,5
EI9104764ES,2026-01,4,2,4,3
EI0300310ES,2025-02,5,4,4,4
EI0300310ES,2025-03,5,5,3,5
EI0300310ES,2025-04,4,5,4,4
EI0300310ES,2025-05,3,4,4,5
EI0300310ES,2025-06,3,5,5,5
EI0300310ES,2025-07,5,5,3,4
EI0300310ES,2025-08,5,3,5,5
EI0300310ES,2025-09,5,4,5,3
EI0300310ES,2025-10,5,3,3,3
EI0300310ES,2025-11,5,5,4,4
EI0300310ES,2025-12,5,3,2,4
EI0300310ES,2026-01,5,4,1,5
EI1802237ES,2025-02,5,5,3,4
EI1802237ES,2025-03,4,5,4,5
EI1802237ES,2025-04,4,4,2,5
EI1802237ES,2025-05,3,4,4,4
EI1802237ES,2025-06,4,4,5,4
EI1802237ES,2025-07,4,5,3,4
EI1802237ES,2025-08,3,3,5,4
EI1802237ES,2025-09,4,4,4,3
EI1802237ES,2025-10,5,3,5,5
EI1802237ES,2025-11,5,3,4,5
EI1802237ES,2025-12,4,4,3,4
EI1802237ES,2026-01,3,2,3,4
EI1403765ES,2025-02,4,2,5,3
EI1403765ES,2025-03,3,3,3,5
EI1403765ES,2025-04,3,3,5,5
EI1403765ES,2025-05,4,4,4,5
EI1403765ES,2025-06,5,3,1,3
EI1403765ES,2025-07,4,5,3,4
EI1403765ES,2025-08,5,3,3,5
EI1403765ES,2025-09,4,4,4,5
EI1403765ES,2025-10,5,4,4,2
EI1403765ES,2025-11,3,4,4,3
EI1403765ES,2025-12,4,4,5,3
EI1403765ES,2026-01,3,4,5,5
EI1505865ES,2025-02,3,5,4,5
EI1505865ES,2025-03,5,5,5,1
EI1505865ES,2025-04,4,3,3,4
EI1505865ES,2025-05,4,3,4,5
EI1505865ES,2025-06,2,4,4,4
EI1505865ES,2025-07,4,3,4,4
EI1505865ES,2025-08,4,2,4,3
EI1505865ES,2025-09,3,5,4,4
EI1505865ES,2025-10,5,3,5,4
EI1505865ES,2025-11,5,2,4,1
EI1505865ES,2025-12,5,4,4,3
EI1505865ES,2026-01,3,2,3,4
EI1706824ES,2025-02,3,4,4,3
EI1706824ES,2025-03,5,1,5,4
EI1706824ES,2025-04,5,4,4,1
EI1706824ES,2025-05,4,4,5,3
EI1706824ES,2025-06,5,4,4,4
EI1706824ES,2025-07,5,5,5,1
EI1706824ES,2025-08,2,4,4,4
EI1706824ES,2025-09,5,4,4,2
EI1706824ES,2025-10,5,4,5,4
EI1706824ES,2025-11,1,5,4,4
EI1706824ES,2025-12,3,5,5,5
EI1706824ES,2026-01,4,5,5,5
EI1103224ES,2025-02,4,4,3,4
EI1103224ES,2025-03,4,3,5,4
EI1103224ES,2025-04,4,4,4,5
EI1103224ES,2025-05,2,4,4,3
EI1103224ES,2025-06,5,4,1,1
EI1103224ES,2025-07,4,2,2,4
EI1103224ES,2025-08,5,4,4,3
EI1103224ES,2025-09,4,4,4,5
EI1103224ES,2025-10,5,3,3,4
EI1103224ES,2025-11,4,4,4,5
EI1103224ES,2025-12,5,5,4,5
EI1103224ES,2026-01,4,3,4,3
EI1905709ES,2025-02,4,5,4,4
EI1905709ES,2025-03,4,4,3,3
EI1905709ES,2025-04,4,5,3,4
EI1905709ES,2025-05,2,3,5,4
EI1905709ES,2025-06,4,4,4,4
EI1905709ES,2025-07,4,3,5,4
EI1905709ES,2025-08,1,3,4,3
EI1905709ES,2025-09,4,3,4,5
EI1905709ES,2025-10,5,4,4,4
EI1905709ES,2025-11,5,5,4,3
EI1905709ES,2025-12,5,3,5,5
EI1905709ES,2026-01,4,5,5,2
EI9402144ES,2025-02,3,5,5,4
EI9402144ES,2025-03,4,4,3,2
EI9402144ES,2025-04,2,4,4,4
EI9402144ES,2025-05,4,4,4,2
EI9402144ES,2025-06,4,4,4,4
EI9402144ES,2025-07,5,4,5,4
EI9402144ES,2025-08,5,3,1,5
EI9402144ES,2025-09,5,4,4,4
EI9402144ES,2025-10,4,3,3,4
EI9402144ES,2025-11,4,3,1,5
EI9402144ES,2025-12,1,3,4,5
EI9402144ES,2026-01,4,1,5,3
EI0401718ES,2025-02,1,4,3,5
EI0401718ES,2025-03,4,4,5,1
EI0401718ES,2025-04,3,3,5,4
EI0401718ES,2025-05,4,2,5,5
EI0401718ES,2025-06,4,3,2,1
EI0401718ES,2025-07,1,4,2,4
EI0401718ES,2025-08,4,5,5,4
EI0401718ES,2025-09,4,4,3,2
EI0401718ES,2025-10,1,2,2,4
EI0401718ES,2025-11,1,5,4,4
EI0401718ES,2025-12,2,2,3,3
EI0401718ES,2026-01,4,5,5,4
EI2100885ES,2025-02,4,3,3,5
EI2100885ES,2025-03,4,5,3,3
EI2100885ES,2025-04,4,2,5,3
EI2100885ES,2025-05,3,5,5,4
EI2100885ES,2025-06,5,4,4,5
EI2100885ES,2025-07,3,5,4,4
EI2100885ES,2025-08,2,4,5,4
EI2100885ES,2025-09,2,4,4,3
EI2100885ES,2025-10,5,4,3,2
EI2100885ES,2025-11,2,5,3,4
EI2100885ES,2025-12,4,4,4,5
EI2100885ES,2026-01,5,2,5,3
EI0603228ES,2025-02,3,1,4,5
EI0603228ES,2025-03,3,1,4,5
EI0603228ES,2025-04,4,5,3,3
EI0603228ES,2025-05,5,4,3,2
EI0603228ES,2025-06,5,5,3,1
EI0603228ES,2025-07,4,4,4,4
EI0603228ES,2025-08,3,3,3,4
EI0603228ES,2025-09,3,5,4,5
EI0603228ES,2025-10,3,5,5,3
EI0603228ES,2025-11,5,4,3,5
EI0603228ES,2025-12,3,4,3,5
EI0603228ES,2026-01,2,4,5,3
EI0606265ES,2025-02,5,3,4,4
EI0606265ES,2025-03,4,3,5,4
EI0606265ES,2025-04,4,5,4,5
EI0606265ES,2025-05,4,4,2,4
EI0606265ES,2025-06,4,3,2,4
EI0606265ES,2025-07,5,4,5,3
EI0606265ES,2025-08,5,3,2,5
EI0606265ES,2025-09,4,5,4,2
EI0606265ES,2025-10,3,5,2,4
EI0606265ES,2025-11,4,3,5,4
EI0606265ES,2025-12,4,4,4,4
EI0606265ES,2026-01,4,4,5,3
EI1103618ES,2025-02,5,5,4,4
EI1103618ES,2025-03,2,3,5,2
EI1103618ES,2025-04,2,4,2,5
EI1103618ES,2025-05,3,4,4,4
EI1103618ES,2025-06,5,5,3,3
EI1103618ES,2025-07,4,4,5,2
EI1103618ES,2025-08,4,4,4,4
EI1103618ES,2025-09,5,3,3,5
EI1103618ES,2025-10,2,2,5,4
EI1103618ES,2025-11,5,5,3,3
EI1103618ES,2025-12,4,5,5,5
EI1103618ES,2026-01,3,5,5,3
EI0506939ES,2025-02,4,3,4,4
EI0506939ES,2025-03,4,2,4,4
EI0506939ES,2025-04,4,4,4,4
EI0506939ES,2025-05,1,5,5,1
EI0506939ES,2025-06,4,3,3,5
EI0506939ES,2025-07,3,2,5,4
EI0506939ES,2025-08,5,4,5,5
EI0506939ES,2025-09,4,1,2,5
EI0506939ES,2025-10,2,4,4,3
EI0506939ES,2025-11,4,4,4,2
EI0506939ES,2025-12,4,2,3,4
EI0506939ES,2026-01,4,4,5,3
EI0701127ES,2025-02,5,4,4,3
EI0701127ES,2025-03,4,5,4,4
EI0701127ES,2025-04,5,5,3,4
EI0701127ES,2025-05,5,4,1,4
EI0701127ES,2025-06,3,3,3,2
EI0701127ES,2025-07,4,3,5,4
EI0701127ES,2025-08,4,5,4,3
EI0701127ES,2025-09,4,5,4,2
EI0701127ES,2025-10,5,4,5,5
EI0701127ES,2025-11,5,5,3,5
EI0701127ES,2025-12,4,5,5,1
EI0701127ES,2026-01,4,4,1,4
EI0100452ES,2025-02,5,2,3,4
EI0100452ES,2025-03,4,4,2,4
EI0100452ES,2025-04,4,5,5,4
EI0100452ES,2025-05,5,5,5,4
EI0100452ES,2025-06,3,4,4,4
EI0100452ES,2025-07,4,4,3,5
EI0100452ES,2025-08,1,4,4,3
EI0100452ES,2025-09,5,4,4,4
EI0100452ES,2025-10,4,3,3,3
EI0100452ES,2025-11,3,5,4,3
EI0100452ES,2025-12,1,4,2,4
EI0100452ES,2026-01,4,4,1,5
EI0706332ES,2025-02,5,3,3,5
EI0706332ES,2025-03,4,5,4,3
EI0706332ES,2025-04,5,4,2,4
EI0706332ES,2025-05,5,3,4,5
EI0706332ES,2025-06,3,5,3,5
EI0706332ES,2025-07,4,4,5,4
EI0706332ES,2025-08,4,5,5,3
EI0706332ES,2025-09,5,4,4,4
EI0706332ES,2025-10,4,2,5,4
EI0706332ES,2025-11,1,3,4,4
EI0706332ES,2025-12,3,4,4,4
EI0706332ES,2026-01,3,5,3,4
EI0103660ES,2025-02,4,2,5,3
EI0103660ES,2025-03,3,3,4,5
EI0103660ES,2025-04,4,3,4,3
EI0103660ES,2025-05,4,5,5,4
EI0103660ES,2025-06,4,2,5,4
EI0103660ES,2025-07,4,4,5,5
EI0103660ES,2025-08,5,3,4,2
EI0103660ES,2025-09,5,3,5,2
EI0103660ES,2025-10,4,3,4,5
EI0103660ES,2025-11,3,2,5,4
EI0103660ES,2025-12,2,4,5,4
EI0103660ES,2026-01,2,4,4,3
EI2205292ES,2025-02,4,3,4,4
EI2205292ES,2025-03,3,5,4,5
EI2205292ES,2025-04,2,5,4,5
EI2205292ES,2025-05,3,4,1,3
EI2205292ES,2025-06,4,5,3,4
EI2205292ES,2025-07,3,3,2,2
EI2205292ES,2025-08,3,4,2,3
EI2205292ES,2025-09,5,3,4,5
EI2205292ES,2025-10,4,5,5,2
EI2205292ES,2025-11,5,4,3,3
EI2205292ES,2025-12,2,5,3,5
EI2205292ES,2026-01,4,5,3,4
EI9906861ES,2025-02,4,5,3,4
EI9906861ES,2025-03,3,4,3,5
EI9906861ES,2025-04,5,4,4,3
EI9906861ES,2025-05,2,5,4,2
EI9906861ES,2025-06,3,2,4,4
EI9906861ES,2025-07,3,1,4,4
EI9906861ES,2025-08,4,2,4,4
EI9906861ES,2025-09,5,4,5,3
EI9906861ES,2025-10,5,4,3,5
EI9906861ES,2025-11,5,4,4,2
EI9906861ES,2025-12,4,3,3,4
EI9906861ES,2026-01,5,3,5,4
EI1604870ES,2025-02,1,4,5,5
EI1604870ES,2025-03,4,2,4,3
EI1604870ES,2025-04,5,4,1,4
EI1604870ES,2025-05,2,5,5,5
EI1604870ES,2025-06,3,4,3,5
EI1604870ES,2025-07,4,5,5,4
EI1604870ES,2025-08,4,3,4,5
EI1604870ES,2025-09,5,5,4,2
EI1604870ES,2025-10,5,4,3,5
EI1604870ES,2025-11,5,2,5,2
EI1604870ES,2025-12,4,3,4,3
EI1604870ES,2026-01,4,4,3,4
EI1102019ES,2025-02,4,3,3,4
EI1102019ES,2025-03,3,2,5,5
EI1102019ES,2025-04,5,4,3,5
EI1102019ES,2025-05,4,1,4,5
EI1102019ES,2025-06,5,3,4,2
EI1102019ES,2025-07,2,3,4,1
EI1102019ES,2025-08,5,5,4,4
EI1102019ES,2025-09,5,4,5,4
EI1102019ES,2025-10,5,5,5,5
EI1102019ES,2025-11,4,5,5,3
EI1102019ES,2025-12,4,4,5,2
EI1102019ES,2026-01,1,3,5,3
EI1903608ES,2025-02,4,4,5,3
EI1903608ES,2025-03,5,5,4,5
EI1903608ES,2025-04,2,5,4,5
EI1903608ES,2025-05,2,4,5,5
EI1903608ES,2025-06,5,4,5,2
EI1903608ES,2025-07,4,5,4,4
EI1903608ES,2025-08,4,5,5,3
EI1903608ES,2025-09,3,4,2,5
EI1903608ES,2025-10,5,3,3,4
EI1903608ES,2025-11,4,5,5,5
EI1903608ES,2025-12,5,3,4,2
EI1903608ES,2026-01,3,5,4,5
EI9206362ES,2025-02,4,3,4,4
EI9206362ES,2025-03,4,5,2,2
EI9206362ES,2025-04,4,4,5,5
EI9206362ES,2025-05,2,3,1,3
EI9206362ES,2025-06,4,4,4,3
EI9206362ES,2025-07,4,4,5,1
EI9206362ES,2025-08,4,5,4,3
EI9206362ES,2025-09,3,4,3,5
EI9206362ES,2025-10,4,4,3,4
EI9206362ES,2025-11,4,3,3,3
EI9206362ES,2025-12,3,5,4,4
EI9206362ES,2026-01,5,3,5,2
EI1301928ES,2025-02,2,4,5,5
EI1301928ES,2025-03,1,3,5,3
EI1301928ES,2025-04,5,5,4,2
EI1301928ES,2025-05,4,3,5,3
EI1301928ES,2025-06,4,4,4,4
EI1301928ES,2025-07,3,3,4,3
EI1301928ES,2025-08,4,3,5,2
EI1301928ES,2025-09,4,4,5,4
EI1301928ES,2025-10,4,5,1,4
EI1301928ES,2025-11,3,4,4,1
EI1301928ES,2025-12,2,5,5,3
EI1301928ES,2026-01,4,5,4,4
EI1004730ES,2025-02,4,4,3,5
EI1004730ES,2025-03,3,5,5,4
EI1004730ES,2025-04,4,5,3,3
EI1004730ES,2025-05,3,4,5,4
EI1004730ES,2025-06,4,4,5,3
EI1004730ES,2025-07,3,4,4,2
EI1004730ES,2025-08,3,3,1,3
EI1004730ES,2025-09,5,3,4,5
EI1004730ES,2025-10,5,3,2,2
EI1004730ES,2025-11,4,5,3,3
EI1004730ES,2025-12,2,5,5,3
EI1004730ES,2026-01,4,5,5,2
EI0202836ES,2025-02,3,3,5,4
EI0202836ES,2025-03,3,3,3,4
EI0202836ES,2025-04,4,5,4,5
EI0202836ES,2025-05,5,3,2,4
EI0202836ES,2025-06,3,3,3,4
EI0202836ES,2025-07,1,3,3,5
EI0202836ES,2025-08,4,2,4,3
EI0202836ES,2025-09,4,5,3,3
EI0202836ES,2025-10,5,3,5,4
EI0202836ES,2025-11,5,4,5,5
EI0202836ES,2025-12,5,5,1,3
EI0202836ES,2026-01,4,3,3,4
EI9503478ES,2025-02,1,4,5,5
