numero_empleado,cbi_item_1,cbi_item_2,cbi_item_3,cbi_item_4,cbi_item_5,cbi_item_6,cbi_item_7,cbi_item_8,cbi_item_9,cbi_item_10,cbi_item_11,cbi_item_12,cbi_item_13,cbi_item_14,cbi_item_15,cbi_item_16,cbi_item_17,cbi_item_18,cbi_item_19,timestamp_respuesta
EI9400133ES,Siempre,A veces,Raramente,Nunca,A veces,A veces,Siempre,Raramente,A veces,Nunca,A veces,Siempre,A menudo,Raramente,A menudo,Siempre,Siempre,Raramente,Nunca,2026-07-23 02:01:01
EI2606407ES,Nunca,A menudo,A veces,Siempre,Nunca,A veces,Nunca,Raramente,Raramente,Raramente,A veces,Raramente,Siempre,A veces,A veces,Raramente,A veces,A veces,Raramente,2026-09-04 19:27:45
EI1404280ES,Raramente,Nunca,Raramente,Siempre,A veces,A veces,Nunca,A menudo,Raramente,A veces,Raramente,A veces,Raramente,Siempre,Nunca,A menudo,A menudo,A menudo,Raramente,2026-06-24 10:38:39
EI9902399ES,A menudo,A menudo,A menudo,Siempre,A veces,A menudo,Raramente,Raramente,A menudo,A veces,A menudo,Siempre,Siempre,A menudo,Raramente,Raramente,Siempre,A veces,A menudo,2026-10-05 06:52:05
EI0605713ES,A menudo,A menudo,A veces,A menudo,Siempre,Nunca,A veces,Siempre,A menudo,A veces,A veces,A menudo,Nunca,Nunca,A menudo,A veces,Siempre,Siempre,A veces,2026-04-14 00:29:15
EI1303255ES,A menudo,A veces,Raramente,Siempre,Siempre,A veces,A veces,A menudo,A veces,Raramente,A veces,Raramente,A veces,Raramente,Raramente,A menudo,A veces,Raramente,A menudo,2026-10-21 13:33:39
EI9806027ES,A menudo,Nunca,Siempre,Raramente,Siempre,A veces,A veces,A menudo,A veces,A menudo,A menudo,Siempre,Siempre,Nunca,Siempre,A veces,Raramente,Raramente,Raramente,2026-09-17 17:57:52
EI2502265ES,A veces,Siempre,Siempre,Siempre,Raramente,A menudo,A menudo,A veces,A veces,A veces,Raramente,A menudo,Siempre,Siempre,A menudo,Siempre,A veces,Nunca,Nunca,2026-03-14 08:39:43
EI9101942ES,A veces,A menudo,Nunca,A menudo,A menudo,A veces,A veces,A veces,A menudo,A veces,Siempre,A veces,A veces,A menudo,Raramente,A menudo,Raramente,Raramente,A menudo,2026-12-19 20:13:16
EI1700764ES,A menudo,Nunca,A menudo,A menudo,A menudo,A menudo,Siempre,A veces,A menudo,A veces,A veces,Siempre,Siempre,Siempre,A menudo,Raramente,A veces,A veces,Raramente,2026-04-21 14:29:13
EI9203177ES,A veces,A menudo,Nunca,Nunca,Raramente,A menudo,Nunca,A veces,Raramente,A menudo,A menudo,A menudo,Nunca,Raramente,Siempre,Raramente,Siempre,A menudo,Raramente,2026-10-01 23:27:24
EI1703046ES,Siempre,Siempre,A menudo,A veces,A menudo,A menudo,A veces,A veces,Nunca,A veces,Siempre,Nunca,Raramente,A menudo,A menudo,Raramente,Raramente,A veces,A menudo,2026-01-06 15:31:08
EI1103065ES,A menudo,A veces,A menudo,Nunca,A menudo,Siempre,Nunca,A menudo,Nunca,A veces,A menudo,A veces,A veces,A veces,A menudo,A veces,Nunca,A menudo,Siempre,2026-01-26 03:12:04
EI0100102ES,A menudo,Raramente,Raramente,Nunca,A veces,A veces,Raramente,A veces,A veces,A menudo,A veces,Raramente,Nunca,A menudo,A veces,A veces,Raramente,A veces,A menudo,2026-05-13 12:13:04
EI0006238ES,A veces,A veces,A veces,A veces,A menudo,A menudo,A menudo,Raramente,Raramente,A veces,Raramente,A veces,A menudo,Nunca,Siempre,A veces,A menudo,Raramente,A menudo,2026-08-17 21:38:31
EI2601372ES,Raramente,Nunca,A veces,A menudo,A veces,Raramente,A menudo,A veces,Siempre,A veces,A veces,A menudo,Raramente,A veces,Raramente,Nunca,Nunca,A veces,Raramente,2026-03-20 08:20:31
EI1900626ES,A menudo,A veces,A veces,A menudo,A menudo,Siempre,Nunca,A veces,Raramente,Nunca,Nunca,Raramente,Raramente,Raramente,Raramente,Nunca,Nunca,Nunca,Raramente,2026-03-10 14:36:43
EI2603917ES,A veces,Siempre,Raramente,A menudo,A menudo,Siempre,Raramente,A veces,A veces,Siempre,Raramente,Siempre,A veces,A veces,A menudo,Siempre,Raramente,Nunca,Raramente,2026-09-06 02:44:52
EI1401076ES,A veces,Nunca,A menudo,Raramente,Raramente,Raramente,A menudo,Siempre,Raramente,Siempre,A menudo,Nunca,A menudo,A veces,A veces,Nunca,A veces,A veces,Raramente,2026-05-18 19:21:08
EI0303257ES,Siempre,A veces,A veces,Siempre,Raramente,Siempre,Siempre,A veces,Siempre,A menudo,A menudo,A menudo,A veces,A menudo,Raramente,Raramente,A menudo,Raramente,A menudo,2026-06-25 18:12:37
EI0102317ES,A veces,A menudo,A menudo,Siempre,Raramente,Siempre,A veces,Siempre,Raramente,Nunca,A menudo,Nunca,Nunca,A menudo,Nunca,A veces,A menudo,A menudo,Nunca,2026-12-27 03:37:50
EI9900562ES,A menudo,A veces,A veces,A veces,Raramente,A menudo,A menudo,A veces,A veces,Raramente,A menudo,Raramente,Siempre,A menudo,Siempre,A menudo,A veces,Siempre,Raramente,2026-11-14 23:05:34
EI2105445ES,Siempre,A menudo,A menudo,A veces,A veces,Raramente,A menudo,A veces,A menudo,A veces,A veces,A menudo,A menudo,A menudo,Raramente,A veces,Raramente,Raramente,Nunca,2026-08-24 00:15:13
EI0805104ES,Nunca,Siempre,A menudo,A veces,A veces,Raramente,Raramente,Siempre,A menudo,Siempre,Siempre,A menudo,A veces,A veces,Siempre,Raramente,A menudo,A veces,A veces,2026-02-18 13:17:18
EI2403008ES,Nunca,Siempre,A veces,A menudo,A veces,A menudo,A veces,A veces,A menudo,A veces,A veces,Siempre,A veces,A veces,Siempre,Siempre,A veces,Nunca,A menudo,2026-01-23 03:53:26
EI9301116ES,Raramente,A veces,Siempre,Raramente,Raramente,A veces,A veces,Raramente,A veces,Raramente,A veces,A menudo,A menudo,A veces,Siempre,A veces,A veces,Siempre,A veces,2026-10-17 15:44:20
EI0603909ES,A menudo,Raramente,Siempre,A veces,A veces,A veces,Nunca,A menudo,A menudo,Raramente,A veces,A veces,Raramente,Raramente,A veces,A menudo,Raramente,Raramente,A veces,2026-09-12 22:11:02
EI2102154ES,Siempre,A veces,A veces,Siempre,Siempre,Nunca,A veces,Nunca,A veces,A menudo,A veces,A veces,Nunca,A menudo,A menudo,A menudo,Siempre,A menudo,Raramente,2026-09-05 04:48:52
EI9606224ES,A veces,Nunca,A veces,Raramente,Raramente,Siempre,Raramente,Nunca,Raramente,Nunca,Raramente,A veces,Siempre,A veces,Siempre,Siempre,Raramente,A veces,A menudo,2026-01-15 22:28:47
EI2205292ES,A veces,A menudo,Raramente,Nunca,Raramente,Raramente,A menudo,Raramente,Nunca,Siempre,A veces,Siempre,Nunca,A veces,A veces,Nunca,Raramente,A veces,A veces,2026-03-08 12:45:27
EI1803510ES,Siempre,A menudo,A veces,Siempre,Raramente,A menudo,A menudo,Raramente,A menudo,A menudo,Nunca,Siempre,A menudo,Siempre,A veces,Siempre,Raramente,Siempre,Siempre,2026-02-07 20:48:22
EI1101288ES,A veces,A menudo,Siempre,A menudo,A menudo,A menudo,Siempre,A veces,Siempre,Raramente,Raramente,A veces,A menudo,A menudo,Raramente,Raramente,A veces,Raramente,A veces,2026-03-08 01:40:58
EI0600246ES,Siempre,A menudo,A veces,A veces,A menudo,A menudo,A menudo,A veces,A menudo,A veces,A veces,Raramente,Siempre,Siempre,A veces,A veces,A menudo,Siempre,A veces,2026-03-03 20:28:28
EI1101796ES,Nunca,A menudo,Siempre,Siempre,A menudo,Raramente,Nunca,Nunca,Siempre,Raramente,A menudo,A menudo,A veces,Raramente,A veces,Raramente,A veces,Nunca,A menudo,2026-03-21 20:00:51
EI1005254ES,A menudo,Raramente,Raramente,Raramente,A veces,A veces,Nunca,A menudo,Raramente,Nunca,Siempre,A menudo,Nunca,A menudo,A menudo,A veces,A menudo,A veces,A veces,2026-06-30 04:35:58
EI0803033ES,A veces,Nunca,Nunca,A menudo,Siempre,A veces,Raramente,Siempre,A veces,A veces,Siempre,A menudo,A menudo,A veces,Siempre,Nunca,A veces,A menudo,A menudo,2026-05-02 08:15:32
EI0302863ES,A menudo,Nunca,A veces,Raramente,A menudo,A veces,A veces,A menudo,A veces,A menudo,A menudo,A veces,A veces,A veces,Raramente,A veces,A menudo,A veces,A veces,2026-12-27 05:26:21
EI2602674ES,A veces,A menudo,A veces,A veces,A menudo,A veces,Raramente,Raramente,A menudo,A veces,A menudo,A veces,A menudo,Nunca,A menudo,A veces,A veces,Nunca,Raramente,2026-10-17 16:22:57
EI1905988ES,A veces,Raramente,A menudo,A veces,A menudo,Raramente,A veces,A menudo,Raramente,A veces,Raramente,A veces,Siempre,Raramente,A menudo,Nunca,Raramente,Raramente,A veces,2026-01-02 09:46:52
EI2600178ES,A menudo,A menudo,A veces,A menudo,Raramente,A menudo,Siempre,A menudo,Nunca,Raramente,A menudo,Raramente,Nunca,Siempre,Raramente,A menudo,A menudo,A menudo,Raramente,2026-10-22 23:34:21
EI0206468ES,Nunca,Siempre,Raramente,A menudo,Raramente,A veces,A veces,Raramente,A veces,A veces,A menudo,A veces,Raramente,A menudo,Siempre,A menudo,A menudo,A menudo,A menudo,2026-04-12 17:21:11
EI1100038ES,Raramente,Raramente,A menudo,Siempre,Siempre,A menudo,A veces,A veces,Nunca,Raramente,Siempre,A menudo,Raramente,Siempre,A menudo,A veces,A veces,Siempre,A veces,2026-10-27 12:23:45
EI0103397ES,Nunca,A veces,A menudo,A menudo,A veces,A veces,A menudo,A veces,Siempre,Nunca,A veces,A menudo,A veces,Siempre,A veces,Siempre,A veces,Raramente,A veces,2026-09-16 05:52:51
EI1203810ES,Raramente,A menudo,A veces,A menudo,Siempre,Raramente,A menudo,A menudo,Siempre,Raramente,A veces,A veces,Siempre,Siempre,A veces,Raramente,A menudo,A menudo,A menudo,2026-10-31 03:45:18
EI1604709ES,A veces,A veces,Raramente,Raramente,Siempre,A veces,A menudo,A menudo,Nunca,Raramente,Raramente,Raramente,A menudo,A menudo,A menudo,A veces,A menudo,Raramente,A menudo,2026-06-25 19:29:52
EI9603367ES,Nunca,A menudo,A menudo,A menudo,Raramente,Raramente,A veces,Siempre,Raramente,A veces,A veces,Raramente,A menudo,A menudo,Siempre,Raramente,A menudo,Siempre,A menudo,2026-11-20 13:32:32
EI9804673ES,Siempre,Raramente,Nunca,Raramente,Raramente,A menudo,Siempre,A veces,A menudo,A veces,Siempre,A menudo,Nunca,A menudo,A veces,Nunca,A menudo,Raramente,A veces,2026-06-15 04:32:49
EI1200586ES,A menudo,A veces,Siempre,A veces,Raramente,A veces,Raramente,Raramente,A menudo,Nunca,Siempre,Siempre,A veces,Raramente,A menudo,Nunca,A veces,A veces,Raramente,2026-02-09 15:37:56
EI1501439ES,Siempre,Nunca,A menudo,Raramente,A veces,A menudo,A veces,Raramente,A veces,A veces,A menudo,Raramente,A veces,Raramente,A menudo,A veces,Siempre,Raramente,A veces,2026-04-19 22:00:14
EI0401023ES,A menudo,Siempre,Raramente,Nunca,Raramente,Nunca,A menudo,A menudo,Raramente,Raramente,Siempre,A menudo,A veces,A menudo,A menudo,A menudo,Nunca,A veces,A veces,2026-11-27 16:09:07
EI2300545ES,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Raramente,Raramente,Raramente,A veces,Raramente,Raramente,Nunca,A veces,A veces,A veces,Nunca,A menudo,Raramente,2026-02-12 10:16:57
EI2603881ES,A menudo,A veces,A veces,Raramente,A menudo,A veces,A veces,Siempre,Siempre,A veces,Siempre,A veces,A menudo,A menudo,Siempre,Raramente,Raramente,A veces,A menudo,2026-11-04 06:00:10
EI9501075ES,Raramente,A veces,A menudo,A veces,Siempre,Raramente,A menudo,Siempre,A veces,A veces,A menudo,A veces,A menudo,A menudo,Siempre,A menudo,Raramente,A menudo,A menudo,2026-01-10 16:59:24
EI9203967ES,A menudo,A menudo,Siempre,Raramente,Raramente,Nunca,Raramente,Raramente,A veces,Raramente,A veces,Siempre,A menudo,A veces,A menudo,A menudo,A veces,Siempre,Raramente,2026-06-21 16:43:46
EI2302550ES,A menudo,Raramente,Siempre,A veces,A menudo,A veces,A menudo,A menudo,A veces,A veces,A menudo,A veces,Raramente,A menudo,A veces,A menudo,A menudo,Raramente,Siempre,2026-06-04 04:01:49
EI2604928ES,A veces,Raramente,Nunca,A veces,A menudo,A menudo,Raramente,Raramente,A veces,A menudo,Nunca,Raramente,Raramente,A veces,A veces,Nunca,A veces,Raramente,A veces,2026-06-08 06:40:54
EI9200753ES,Siempre,Nunca,A veces,A menudo,A veces,A veces,A veces,Siempre,A veces,A menudo,Raramente,A veces,A veces,Siempre,A menudo,Siempre,Siempre,Siempre,A veces,2026-06-03 20:26:09
EI9904813ES,Raramente,Raramente,Raramente,Siempre,Siempre,A menudo,A menudo,Siempre,A menudo,A veces,Raramente,A veces,A menudo,A veces,A veces,A menudo,A menudo,Nunca,A veces,2026-08-28 08:40:24
EI9404304ES,Siempre,Raramente,A menudo,A veces,Siempre,A veces,A veces,A veces,A veces,A menudo,A menudo,Raramente,A menudo,Raramente,A menudo,A veces,A veces,A menudo,Raramente,2026-10-26 15:00:07
EI0204939ES,Nunca,A veces,A veces,Nunca,Siempre,Nunca,A menudo,A menudo,A menudo,A veces,Siempre,A veces,A menudo,Raramente,Raramente,A veces,Nunca,Raramente,A veces,2026-03-23 14:02:05
EI9703434ES,Raramente,Raramente,A veces,Raramente,Siempre,Siempre,Siempre,Siempre,Siempre,Raramente,A menudo,Raramente,Nunca,Siempre,A veces,Siempre,Nunca,Siempre,Raramente,2026-03-08 12:35:28
EI1701607ES,A menudo,A menudo,Nunca,A menudo,A veces,A veces,Siempre,A veces,A menudo,Nunca,A menudo,Siempre,Nunca,A veces,A veces,A menudo,Raramente,A veces,A menudo,2026-11-04 02:54:10
EI1603916ES,Siempre,A menudo,Raramente,Raramente,A veces,Raramente,A menudo,A menudo,Siempre,A veces,Siempre,Raramente,A veces,A veces,A veces,A veces,A veces,A menudo,A menudo,2026-09-22 19:51:28
EI0506964ES,Raramente,A menudo,Raramente,Raramente,A menudo,Siempre,Raramente,Raramente,A veces,Siempre,Siempre,A menudo,A menudo,Nunca,Siempre,Nunca,A menudo,A veces,Nunca,2026-05-02 02:33:06
EI1206650ES,Raramente,A veces,Siempre,A menudo,A menudo,A veces,Raramente,Raramente,Siempre,A veces,A veces,A menudo,Raramente,A menudo,A menudo,A menudo,A veces,A menudo,A menudo,2026-04-02 10:56:11
EI0902118ES,Raramente,A menudo,A veces,Siempre,Raramente,Raramente,Raramente,A veces,A veces,A veces,A menudo,Siempre,A veces,A menudo,A veces,Siempre,Nunca,A veces,A menudo,2026-12-01 20:56:20
EI9202441ES,Raramente,Nunca,A veces,Siempre,A veces,Nunca,A menudo,A menudo,Nunca,A menudo,A veces,Raramente,Siempre,Siempre,Siempre,Nunca,Raramente,Siempre,A veces,2026-08-29 16:22:01
EI1404344ES,Siempre,A menudo,Nunca,Raramente,A veces,A veces,A veces,A veces,Siempre,A menudo,A veces,Siempre,A menudo,A menudo,Siempre,A veces,A veces,Nunca,Nunca,2026-05-01 23:30:41
EI1401935ES,A menudo,Siempre,A menudo,Raramente,A veces,Siempre,A menudo,Raramente,A menudo,A menudo,Nunca,Nunca,A veces,Raramente,A veces,Siempre,Raramente,Raramente,Raramente,2026-08-11 16:47:15
EI1902200ES,Siempre,A veces,A menudo,A menudo,A menudo,Siempre,A veces,Siempre,A veces,A veces,Raramente,A veces,Nunca,A veces,A veces,A veces,Raramente,Siempre,A veces,2026-09-03 06:15:24
EI1100051ES,Raramente,Siempre,A veces,A menudo,Nunca,A veces,Raramente,A menudo,A menudo,A menudo,A menudo,A veces,A veces,A veces,Siempre,Raramente,A veces,Nunca,A veces,2026-05-13 10:48:57
EI9203640ES,A veces,Siempre,A menudo,Raramente,A veces,Siempre,Siempre,Raramente,A veces,A menudo,A veces,Raramente,A menudo,Raramente,Raramente,Raramente,A veces,Nunca,Nunca,2026-04-08 23:07:57
EI0304767ES,A menudo,A menudo,Siempre,Nunca,Siempre,Siempre,Nunca,A veces,A menudo,Raramente,A veces,A menudo,A menudo,A menudo,Raramente,A menudo,A veces,A veces,Raramente,2026-06-06 07:11:33
EI2406953ES,Siempre,A veces,Raramente,Raramente,A veces,Raramente,Raramente,A veces,A menudo,Raramente,Raramente,Raramente,Siempre,Nunca,A menudo,A menudo,Siempre,A menudo,Siempre,2026-11-19 12:28:26
EI9302861ES,A menudo,A veces,A veces,A veces,A menudo,Raramente,Raramente,Siempre,Raramente,Siempre,A veces,Nunca,Raramente,Raramente,A veces,Raramente,A menudo,Raramente,A veces,2026-06-05 22:40:10
EI2603083ES,A menudo,Raramente,Raramente,A menudo,A menudo,Raramente,A veces,Raramente,A menudo,A menudo,Siempre,A menudo,Siempre,Siempre,Raramente,A menudo,Siempre,Raramente,Nunca,2026-08-25 18:53:32
EI0105434ES,Raramente,Raramente,Raramente,A veces,Nunca,Siempre,Raramente,Siempre,A menudo,A veces,A menudo,Raramente,Siempre,A veces,Raramente,Raramente,Raramente,A veces,A menudo,2026-09-11 05:59:59
EI2300430ES,A veces,A veces,A menudo,A menudo,Raramente,A menudo,Nunca,Raramente,A menudo,Siempre,A veces,Raramente,A veces,Raramente,A menudo,Siempre,A veces,Raramente,Raramente,2026-11-06 13:42:14
EI9506892ES,Raramente,A menudo,A veces,Raramente,A menudo,Raramente,Raramente,Siempre,A menudo,A veces,Nunca,A veces,A menudo,A menudo,A menudo,A veces,A veces,Raramente,A veces,2026-07-05 17:21:02
EI0804155ES,A veces,A menudo,Siempre,A menudo,A menudo,Raramente,A menudo,Raramente,A menudo,A menudo,Raramente,A menudo,A menudo,Nunca,A veces,Nunca,Siempre,Raramente,Siempre,2026-02-26 12:17:24
EI1803890ES,Siempre,Raramente,Nunca,Raramente,Raramente,Raramente,A veces,A menudo,A menudo,A menudo,A menudo,A veces,A veces,Raramente,A menudo,A veces,Siempre,Nunca,Raramente,2026-07-27 11:11:29
EI0501413ES,Raramente,Siempre,A veces,A menudo,A menudo,Nunca,A menudo,A veces,A veces,A menudo,Raramente,A menudo,Raramente,Raramente,A veces,A menudo,A menudo,Raramente,A veces,2026-04-25 18:52:44
EI9701733ES,Raramente,Siempre,A menudo,Raramente,A veces,Raramente,Nunca,Raramente,Raramente,A menudo,A veces,A veces,A menudo,Siempre,Siempre,A veces,A menudo,A veces,Siempre,2026-12-13 23:34:40
EI2002250ES,A veces,Raramente,A menudo,A menudo,A veces,A veces,Nunca,Siempre,A veces,Raramente,A veces,Nunca,Nunca,Siempre,A veces,A menudo,A veces,Raramente,Raramente,2026-01-23 05:42:17
EI9106649ES,Raramente,A veces,A veces,A veces,A veces,A menudo,A veces,A menudo,A veces,Raramente,A menudo,A menudo,A veces,A veces,Raramente,Nunca,A menudo,A menudo,A veces,2026-11-11 20:48:08
EI0702782ES,A veces,Siempre,A menudo,A veces,Raramente,A veces,Raramente,Nunca,Raramente,Nunca,A veces,A veces,Nunca,A veces,Nunca,A menudo,A veces,A menudo,A veces,2026-01-25 08:14:33
EI9704355ES,A veces,A menudo,A menudo,Siempre,Raramente,A veces,Nunca,A menudo,Nunca,A veces,A veces,A menudo,A veces,Siempre,A veces,A menudo,A veces,A menudo,A veces,2026-05-19 19:26:24
EI9003947ES,A veces,Nunca,Raramente,Nunca,Nunca,A menudo,A menudo,Raramente,A veces,A veces,A menudo,A veces,A veces,Raramente,A veces,A veces,Siempre,A veces,A menudo,2026-11-28 00:40:59
EI0604519ES,Siempre,Raramente,Raramente,A veces,A menudo,Raramente,A veces,Siempre,Nunca,A menudo,Raramente,Siempre,Nunca,Raramente,A menudo,Raramente,A veces,A veces,Siempre,2026-11-25 10:48:25
EI0703797ES,Siempre,Raramente,A menudo,A veces,Raramente,Siempre,A veces,A veces,A veces,A veces,A menudo,Raramente,A veces,A veces,A menudo,A veces,A menudo,A menudo,Raramente,2026-03-06 10:40:05
EI0104247ES,Siempre,A veces,A veces,Raramente,Siempre,Raramente,Raramente,Siempre,Raramente,Nunca,A veces,A veces,Siempre,A veces,A menudo,A menudo,Raramente,A veces,A veces,2026-08-30 21:09:36
EI1904109ES,A veces,A veces,Raramente,Raramente,A menudo,Siempre,A menudo,Raramente,A veces,Siempre,A menudo,A menudo,A veces,A veces,Raramente,A veces,A menudo,A veces,Raramente,2026-08-03 01:50:27
EI2305649ES,A menudo,Nunca,Siempre,A veces,Siempre,A veces,Raramente,A menudo,Raramente,A veces,Siempre,A veces,A menudo,Siempre,A veces,A menudo,A menudo,A menudo,A veces,2026-11-17 01:06:47
EI9302274ES,A veces,Nunca,Raramente,Nunca,A veces,Raramente,A veces,A veces,A veces,Siempre,A menudo,Raramente,A menudo,Siempre,A menudo,Siempre,Raramente,Siempre,Siempre,2026-01-26 20:39:59
EI2203393ES,Nunca,A menudo,A menudo,Siempre,Siempre,Siempre,Siempre,A menudo,A veces,Raramente,A veces,Siempre,Raramente,Raramente,Raramente,Nunca,Raramente,Siempre,A veces,2026-05-27 00:20:43
EI9605774ES,A menudo,Raramente,A veces,Siempre,Raramente,A veces,Siempre,A veces,A veces,A veces,Raramente,Nunca,A veces,A veces,Siempre,A veces,A veces,A veces,Siempre,2026-11-04 02:23:46
EI0302307ES,A veces,A menudo,A veces,A veces,A veces,A menudo,Siempre,A menudo,Raramente,Raramente,A veces,A veces,A menudo,A veces,A veces,A veces,A menudo,Nunca,A veces,2026-08-03 12:54:03
EI9604560ES,Raramente,A menudo,A veces,A menudo,Siempre,Raramente,Siempre,A menudo,Nunca,Siempre,A menudo,Raramente,Siempre,A veces,Raramente,Raramente,A veces,A veces,A menudo,2026-09-05 08:18:11
EI9903625ES,A menudo,A veces,Raramente,A veces,Raramente,Raramente,A veces,A veces,A menudo,Nunca,A menudo,Raramente,A veces,A menudo,Siempre,A veces,A veces,A veces,Nunca,2026-09-02 15:07:01
EI0605815ES,Siempre,A veces,Siempre,A menudo,Raramente,Nunca,A veces,A menudo,A veces,Siempre,A veces,Siempre,A menudo,Siempre,Siempre,A veces,Siempre,Siempre,A menudo,2026-03-07 10:29:06
EI2201741ES,A menudo,Nunca,A menudo,A veces,A veces,Raramente,Siempre,Raramente,Siempre,A menudo,A veces,Raramente,Siempre,Raramente,Siempre,Raramente,A menudo,Nunca,Raramente,2026-03-27 14:45:51
EI1905611ES,A menudo,Siempre,A veces,Raramente,Siempre,Raramente,A veces,Raramente,Siempre,A menudo,Siempre,Raramente,Siempre,A veces,Nunca,A veces,Raramente,Raramente,A veces,2026-07-15 05:02:23
EI2402119ES,Nunca,A veces,Raramente,A veces,Raramente,A menudo,A veces,A veces,Nunca,Siempre,Raramente,Siempre,A veces,Siempre,A veces,Nunca,A veces,A veces,A menudo,2026-03-06 13:19:28
EI0606045ES,Raramente,Nunca,A menudo,Nunca,Raramente,A menudo,Siempre,Siempre,A veces,A menudo,Siempre,Nunca,A veces,Siempre,Siempre,A menudo,Siempre,Raramente,Raramente,2026-05-14 21:37:23
EI1402685ES,A veces,Nunca,Raramente,Raramente,A menudo,A veces,A veces,A veces,A menudo,A veces,A veces,A veces,A menudo,Siempre,A veces,Siempre,Raramente,A veces,Nunca,2026-03-20 01:12:12
EI9605621ES,Raramente,A menudo,A menudo,A menudo,A menudo,A veces,Raramente,Siempre,A veces,Raramente,A menudo,A menudo,Raramente,Siempre,A menudo,Siempre,Raramente,A veces,Siempre,2026-04-24 15:01:19
EI1104368ES,Raramente,A menudo,A menudo,A menudo,A veces,Raramente,Siempre,Raramente,A veces,Raramente,A veces,Siempre,Raramente,A menudo,Siempre,Raramente,A veces,A veces,Raramente,2026-11-03 08:24:28
EI0301551ES,A menudo,A veces,Raramente,A menudo,Raramente,A menudo,Siempre,A menudo,A menudo,A veces,Raramente,A veces,A veces,A menudo,Nunca,Nunca,A menudo,A menudo,Raramente,2026-01-28 21:40:44
EI1300231ES,Raramente,A menudo,Siempre,Raramente,A menudo,Siempre,Nunca,Siempre,A menudo,A menudo,A menudo,Siempre,A menudo,A menudo,A menudo,Siempre,Siempre,Raramente,Raramente,2026-02-13 09:46:23
EI2300535ES,A veces,Nunca,A veces,Siempre,Siempre,A veces,Raramente,A menudo,A veces,Siempre,Raramente,A menudo,A veces,A veces,Raramente,Nunca,Raramente,A menudo,A menudo,2026-11-19 02:08:07
EI1000240ES,Raramente,Nunca,Siempre,A menudo,Raramente,A menudo,A veces,Nunca,A menudo,A veces,Siempre,Nunca,Raramente,A menudo,Raramente,Nunca,A veces,Nunca,Raramente,2026-02-21 12:05:27
EI9906098ES,Raramente,A menudo,A menudo,Nunca,Siempre,A veces,A veces,Raramente,Siempre,Raramente,Nunca,Raramente,Siempre,A veces,A veces,Raramente,Raramente,Nunca,Siempre,2026-03-17 16:59:39
EI9905442ES,A menudo,Siempre,A veces,A veces,Nunca,A veces,Raramente,A menudo,A menudo,A veces,A menudo,A veces,A veces,Raramente,Nunca,Raramente,A veces,A menudo,Siempre,2026-05-04 03:57:31
