numero_empleado,titulo,departamento,fecha_ingreso,modalidad_trabajo,salario_bruto_anual_eur
EI2600061ES,Cajero,Atencion al Cliente,8/26/2026,Oficina,23138
EI2300062ES,Asistente de Credito,Credito,11/13/2023,Oficina,25003
EI1000063ES,Director de Riesgo,Direccion,4/27/2010,Hibrido,154816
EI1700064ES,Ejecutivo Comercial,Comercial,8/12/2017,Hibrido,53937
EI9900065ES,Gerente Comercial,Comercial,3/24/1999,Hibrido,90748
EI2500066ES,Asistente Comercial,Comercial,8/19/2025,Hibrido,29989
EI0500067ES,Asistente Comercial,Comercial,6/11/2005,Oficina,26462
EI1200068ES,Soporte IT,IT,11/23/2012,Hibrido,36622
EI9200069ES,Analista de Riesgo,Riesgo,10/19/1992,Oficina,52098
EI2100070ES,Gerente de Talento Humano,Talento Humano,7/20/2021,Hibrido,116702
EI0200071ES,Gerente Comercial,Comercial,8/29/2002,Oficina,72043
EI2100072ES,Asistente de Plataforma,Atencion al Cliente,7/2/2021,Oficina,29459
EI0400073ES,Analista RRHH,Talento Humano,4/9/2004,Hibrido,42543
EI0900074ES,Ejecutivo Comercial,Comercial,7/10/2009,Oficina,52862
EI9700075ES,Asistente de Credito,Credito,10/12/1997,Oficina,32780
EI1400076ES,Director de Riesgo,Direccion,12/1/2014,Hibrido,145204
EI9600077ES,Analista de Riesgo,Riesgo,12/2/1996,Oficina,49452
EI9000078ES,Arquitecto de Software,IT,7/10/1990,Hibrido,74701
EI2200079ES,Gerente de Credito,Credito,5/11/2022,Hibrido,101896
EI9300080ES,Gerente de Operaciones,Operaciones,10/19/1993,Hibrido,88992
EI2500081ES,Asistente de Plataforma,Atencion al Cliente,5/22/2025,Oficina,29974
EI9800082ES,Asistente Comercial,Comercial,1/24/1998,Hibrido,32444
EI2600083ES,Supervisor de Sucursal,Atencion al Cliente,10/15/2026,Oficina,49747
EI0500084ES,Analista de Riesgo,Riesgo,12/9/2005,Oficina,47397
EI1700085ES,Analista de Credito,Credito,2/13/2017,Hibrido,35243
EI0000086ES,Asistente de Credito,Credito,8/14/2000,Hibrido,33220
EI1400087ES,Gerente de Area,Gerencia,7/2/2014,Hibrido,127771
EI9100088ES,Gerente IT,IT,9/13/1991,Remoto,127234
EI9500089ES,Desarrollador,IT,1/29/1995,Hibrido,71557
EI2200090ES,Gerente de Credito,Credito,10/3/2022,Hibrido,104498
EI1300091ES,Analista de Operaciones,Operaciones,3/10/2013,Oficina,37563
EI1100092ES,Gerente de Credito,Credito,3/12/2011,Hibrido,75117
EI9200093ES,Soporte IT,IT,5/14/1992,Remoto,44804
EI1100094ES,Gerente de Operaciones,Operaciones,1/12/2011,Hibrido,109755
EI2200095ES,Supervisor de Sucursal,Atencion al Cliente,12/1/2022,Oficina,45863
EI0500096ES,Director IT,Direccion,10/31/2005,Remoto,172312
EI9700097ES,Desarrollador,IT,7/7/1997,Remoto,42315
EI9200098ES,Analista de Operaciones,Operaciones,10/3/1992,Hibrido,55620
EI1500099ES,Director de Riesgo,Direccion,9/12/2015,Hibrido,123382
EI1800100ES,Asistente de Credito,Credito,1/2/2018,Hibrido,25447
EI9300101ES,Gerente de Area,Gerencia,9/13/1993,Oficina,98311
EI0100102ES,Analista de Operaciones,Operaciones,4/22/2001,Hibrido,39343
EI0100103ES,Analista de Operaciones,Operaciones,7/11/2001,Oficina,35465
EI1600104ES,Gerente de Operaciones,Operaciones,7/18/2016,Hibrido,89904
EI2600105ES,Analista de Credito,Credito,3/28/2026,Hibrido,40747
EI0000106ES,Asistente de Credito,Credito,8/5/2000,Oficina,32944
EI0500107ES,Gerente de Area,Gerencia,5/19/2005,Oficina,95531
EI2600108ES,Soporte IT,IT,11/11/2026,Remoto,32525
EI2400109ES,Analista de Datos,IT,7/22/2024,Hibrido,70111
EI0900110ES,Supervisor de Sucursal,Atencion al Cliente,9/29/2009,Oficina,40481
EI1500111ES,Arquitecto de Software,IT,12/1/2015,Hibrido,92614
EI0100112ES,Asistente de Credito,Credito,11/10/2001,Oficina,26900
EI1000113ES,Gerente de Riesgo,Riesgo,10/25/2010,Hibrido,106132
EI1100114ES,Desarrollador,IT,5/14/2011,Hibrido,74899
EI2000115ES,Analista de Operaciones,Operaciones,8/29/2020,Hibrido,58121
EI0100116ES,Ejecutivo Comercial,Comercial,10/12/2001,Hibrido,39756
EI0200117ES,Gerente de Operaciones,Operaciones,12/15/2002,Hibrido,109413
EI1300118ES,Analista de Riesgo,Riesgo,10/14/2013,Oficina,62376
EI1300119ES,Gerente IT,IT,10/31/2013,Remoto,113188
EI0500120ES,Gerente de Area,Gerencia,1/10/2005,Hibrido,107716
EI0100121ES,Gerente de Operaciones,Operaciones,6/15/2001,Hibrido,118284
EI2400122ES,Ejecutivo Comercial,Comercial,9/6/2024,Oficina,57127
EI2000123ES,Asistente de Credito,Credito,2/21/2020,Oficina,34645
EI0500124ES,Soporte IT,IT,2/19/2005,Hibrido,41103
EI1400125ES,Desarrollador,IT,7/26/2014,Hibrido,40693
EI9000126ES,Gerente Comercial,Comercial,7/15/1990,Oficina,96951
EI9400127ES,Soporte IT,IT,8/30/1994,Remoto,41231
EI9900128ES,Ejecutivo Comercial,Comercial,11/4/1999,Hibrido,58765
EI9800129ES,Analista de Operaciones,Operaciones,8/30/1998,Oficina,36115
EI9400130ES,Asistente Comercial,Comercial,2/15/1994,Oficina,25931
EI1800131ES,Asistente Comercial,Comercial,8/16/2018,Oficina,26995
EI1700132ES,Director Financiero,Direccion,2/15/2017,Hibrido,128513
EI9400133ES,Director de Riesgo,Direccion,12/22/1994,Oficina,165590
EI0300134ES,Desarrollador,IT,3/20/2003,Hibrido,70602
EI1000135ES,Asistente Comercial,Comercial,5/5/2010,Hibrido,29528
EI1900136ES,Asistente Comercial,Comercial,12/12/2019,Hibrido,30298
EI2500137ES,Gerente de Credito,Credito,1/8/2025,Hibrido,74849
EI0700138ES,Gerente de Operaciones,Operaciones,3/4/2007,Hibrido,105466
EI0100139ES,Gerente de Riesgo,Riesgo,8/1/2001,Oficina,97345
EI9300140ES,Analista de Riesgo,Riesgo,2/11/1993,Oficina,56112
EI9800141ES,Analista de Operaciones,Operaciones,1/2/1998,Hibrido,56151
EI9600142ES,Cajero,Atencion al Cliente,6/15/1996,Oficina,26428
EI9900143ES,Ejecutivo Comercial,Comercial,10/19/1999,Oficina,55118
EI2200144ES,Analista de Datos,IT,2/3/2022,Hibrido,61973
EI9300145ES,Gerente de Riesgo,Riesgo,4/9/1993,Hibrido,84614
EI9000146ES,Analista de Datos,IT,11/4/1990,Hibrido,77617
EI1800147ES,Asistente de Credito,Credito,9/22/2018,Oficina,25014
EI0100148ES,Analista de Operaciones,Operaciones,12/14/2001,Hibrido,39967
EI1500149ES,Analista de Datos,IT,10/11/2015,Remoto,45242
EI0900150ES,Analista de Credito,Credito,7/24/2009,Oficina,48235
EI0000151ES,Asistente Comercial,Comercial,2/18/2000,Hibrido,25054
EI9500152ES,Analista de Operaciones,Operaciones,6/9/1995,Hibrido,53587
EI2000153ES,Desarrollador,IT,8/2/2020,Remoto,59846
EI1800154ES,Gerente de Riesgo,Riesgo,5/13/2018,Hibrido,85941
EI0500155ES,Asistente Comercial,Comercial,4/3/2005,Hibrido,26318
EI1900156ES,Desarrollador,IT,1/22/2019,Hibrido,53311
EI9100157ES,Soporte IT,IT,10/7/1991,Hibrido,36294
EI2100158ES,Ejecutivo Comercial,Comercial,3/20/2021,Oficina,47782
EI2000159ES,Asistente de Credito,Credito,11/24/2020,Hibrido,30886
EI1800160ES,Gerente Comercial,Comercial,5/21/2018,Oficina,98703
EI9100161ES,Gerente de Riesgo,Riesgo,8/8/1991,Oficina,92654
EI1100162ES,Gerente de Operaciones,Operaciones,12/12/2011,Oficina,105478
EI1800163ES,Supervisor de Sucursal,Atencion al Cliente,11/11/2018,Oficina,45083
EI1300164ES,Gerente de Area,Gerencia,12/14/2013,Oficina,119445
EI0500165ES,Gerente de Operaciones,Operaciones,3/21/2005,Hibrido,83673
EI9100166ES,Supervisor de Sucursal,Atencion al Cliente,12/3/1991,Oficina,48287
EI9900167ES,Gerente de Operaciones,Operaciones,7/1/1999,Hibrido,114283
EI1400168ES,Supervisor de Sucursal,Atencion al Cliente,1/26/2014,Oficina,39880
EI1500169ES,Asistente Comercial,Comercial,12/28/2015,Oficina,28817
EI2200170ES,Cajero,Atencion al Cliente,12/28/2022,Oficina,23159
EI1900171ES,Ejecutivo Comercial,Comercial,5/1/2019,Hibrido,35624
EI9200172ES,Supervisor de Sucursal,Atencion al Cliente,1/21/1992,Oficina,42952
EI1900173ES,Asistente de Credito,Credito,2/7/2019,Oficina,27138
EI1800174ES,Gerente de Riesgo,Riesgo,5/19/2018,Hibrido,83274
EI1000175ES,Gerente Comercial,Comercial,6/19/2010,Oficina,81186
EI9500176ES,Gerente Comercial,Comercial,2/14/1995,Oficina,102580
EI2600177ES,Gerente de Operaciones,Operaciones,2/1/2026,Hibrido,93280
EI2600178ES,Desarrollador,IT,5/27/2026,Remoto,66346
EI2000179ES,Gerente Comercial,Comercial,9/8/2020,Oficina,107746
EI2500180ES,Desarrollador,IT,7/30/2025,Hibrido,53974
EI9700181ES,Asistente Comercial,Comercial,10/12/1997,Oficina,30496
EI0200182ES,Gerente Comercial,Comercial,4/15/2002,Hibrido,79256
EI2100183ES,Gerente de Riesgo,Riesgo,3/27/2021,Oficina,104243
EI0000184ES,Director IT,Direccion,12/5/2000,Hibrido,158141
EI9400185ES,Cajero,Atencion al Cliente,6/26/1994,Oficina,28480
EI2400186ES,Analista de Operaciones,Operaciones,11/19/2024,Oficina,40169
EI9300187ES,Asistente de Plataforma,Atencion al Cliente,8/15/1993,Oficina,23104
EI9800188ES,Cajero,Atencion al Cliente,1/18/1998,Oficina,29586
EI2100189ES,Gerente de Area,Gerencia,9/14/2021,Hibrido,128910
EI2100190ES,Asistente de Plataforma,Atencion al Cliente,2/9/2021,Oficina,30798
EI9500191ES,Supervisor de Sucursal,Atencion al Cliente,9/11/1995,Oficina,41755
EI1800192ES,Gerente de Operaciones,Operaciones,9/13/2018,Hibrido,97756
EI0000193ES,Gerente de Area,Gerencia,9/24/2000,Oficina,101439
EI9800194ES,Asistente de Credito,Credito,1/28/1998,Oficina,33190
EI2500195ES,Supervisor de Sucursal,Atencion al Cliente,2/7/2025,Oficina,44869
EI0800196ES,Analista de Credito,Credito,10/14/2008,Oficina,35149
EI9500197ES,Director de Riesgo,Direccion,4/10/1995,Oficina,154747
EI0600198ES,Soporte IT,IT,3/27/2006,Hibrido,44134
EI2400199ES,Asistente de Plataforma,Atencion al Cliente,7/22/2024,Oficina,26409
EI9200200ES,Asistente de Plataforma,Atencion al Cliente,5/19/1992,Oficina,26173
EI2500201ES,Gerente Comercial,Comercial,9/25/2025,Hibrido,79779
EI9700202ES,Asistente de Plataforma,Atencion al Cliente,11/28/1997,Oficina,25617
EI9100203ES,Asistente de Credito,Credito,12/8/1991,Hibrido,25885
EI9900204ES,Analista de Credito,Credito,5/27/1999,Hibrido,49243
EI1700205ES,Analista de Credito,Credito,9/1/2017,Hibrido,59851
EI9400206ES,Gerente Comercial,Comercial,9/7/1994,Oficina,73437
EI2500207ES,Gerente Comercial,Comercial,3/27/2025,Hibrido,71904
EI9500208ES,Supervisor de Sucursal,Atencion al Cliente,3/17/1995,Oficina,37321
EI2200209ES,Gerente Comercial,Comercial,5/12/2022,Hibrido,99151
EI9800210ES,Gerente de Area,Gerencia,12/1/1998,Oficina,111344
EI0400211ES,Gerente de Credito,Credito,8/18/2004,Oficina,84927
EI2300212ES,Gerente de Credito,Credito,2/4/2023,Oficina,97039
EI9900213ES,Analista de Operaciones,Operaciones,11/25/1999,Hibrido,37409
EI1100214ES,Asistente de Credito,Credito,9/24/2011,Hibrido,25890
EI9900215ES,Gerente Comercial,Comercial,9/12/1999,Hibrido,109939
EI0700216ES,Gerente Comercial,Comercial,5/18/2007,Oficina,94476
EI2200217ES,Ejecutivo Comercial,Comercial,4/16/2022,Hibrido,41362
EI9900218ES,Analista de Credito,Credito,1/27/1999,Oficina,46006
EI2100219ES,Gerente IT,IT,1/19/2021,Hibrido,127268
EI9600220ES,Ejecutivo Comercial,Comercial,2/15/1996,Hibrido,38640
EI0800221ES,Ejecutivo Comercial,Comercial,10/5/2008,Hibrido,40609
EI0300222ES,Gerente de Credito,Credito,3/29/2003,Oficina,109559
EI9700223ES,Soporte IT,IT,8/16/1997,Hibrido,39471
EI0800224ES,Gerente IT,IT,6/20/2008,Remoto,124194
EI1600225ES,Gerente de Operaciones,Operaciones,7/15/2016,Hibrido,111030
EI9000226ES,Analista de Operaciones,Operaciones,8/26/1990,Hibrido,58921
EI0100227ES,Asistente Comercial,Comercial,1/24/2001,Hibrido,29060
EI1500228ES,Gerente de Area,Gerencia,12/29/2015,Oficina,104575
EI9000229ES,Soporte IT,IT,3/25/1990,Hibrido,36844
EI1100230ES,Gerente de Operaciones,Operaciones,2/11/2011,Oficina,113044
EI1300231ES,Analista de Riesgo,Riesgo,10/28/2013,Hibrido,52921
EI1000232ES,Gerente IT,IT,4/18/2010,Hibrido,122459
EI1500233ES,Gerente de Operaciones,Operaciones,1/20/2015,Hibrido,80814
EI9500234ES,Gerente de Credito,Credito,12/15/1995,Hibrido,93488
EI1900235ES,Gerente de Operaciones,Operaciones,1/19/2019,Oficina,85946
EI2000236ES,Analista de Operaciones,Operaciones,1/5/2020,Oficina,44988
EI1500237ES,Analista de Operaciones,Operaciones,8/3/2015,Oficina,59487
EI1000238ES,Director IT,Direccion,10/21/2010,Hibrido,170582
EI0800239ES,Asistente de Credito,Credito,3/8/2008,Hibrido,28030
EI1000240ES,Asistente de Credito,Credito,10/30/2010,Oficina,25022
EI2000241ES,Especialista RRHH,Talento Humano,12/26/2020,Oficina,45908
EI0900242ES,Gerente de Area,Gerencia,2/7/2009,Oficina,107680
EI9300243ES,Asistente Comercial,Comercial,8/19/1993,Oficina,30500
EI9200244ES,Gerente de Area,Gerencia,4/24/1992,Hibrido,97272
EI1000245ES,Asistente de Plataforma,Atencion al Cliente,11/16/2010,Oficina,23669
EI0600246ES,Analista de Operaciones,Operaciones,6/9/2006,Oficina,40743
EI2100247ES,Asistente de Credito,Credito,10/26/2021,Oficina,28354
EI0000248ES,Especialista RRHH,Talento Humano,9/14/2000,Oficina,52682
EI1100249ES,Asistente de Credito,Credito,6/19/2011,Oficina,34504
EI0400250ES,Gerente de Area,Gerencia,5/17/2004,Hibrido,113115
EI0200251ES,Analista de Riesgo,Riesgo,6/7/2002,Oficina,41784
EI0500252ES,Asistente de Plataforma,Atencion al Cliente,6/27/2005,Oficina,30412
EI1200253ES,Analista de Credito,Credito,6/29/2012,Oficina,52258
EI2100254ES,Ejecutivo Comercial,Comercial,11/3/2021,Hibrido,52429
EI1700255ES,Analista de Credito,Credito,11/8/2017,Oficina,47063
EI1000256ES,Gerente de Credito,Credito,7/16/2010,Oficina,75721
EI9800257ES,Ejecutivo Comercial,Comercial,1/8/1998,Oficina,44449
EI9700258ES,Gerente de Operaciones,Operaciones,5/23/1997,Oficina,98084
EI1200259ES,Gerente de Operaciones,Operaciones,4/6/2012,Oficina,89863
EI1800260ES,Asistente Comercial,Comercial,2/20/2018,Hibrido,25371
EI2000261ES,Ejecutivo Comercial,Comercial,8/11/2020,Oficina,52741
EI0500262ES,Ejecutivo Comercial,Comercial,7/21/2005,Hibrido,48766
EI1800263ES,Supervisor de Sucursal,Atencion al Cliente,12/2/2018,Oficina,35703
EI9800264ES,Director Comercial,Direccion,6/25/1998,Oficina,124125
EI1300265ES,Arquitecto de Software,IT,4/23/2013,Remoto,92012
EI0500266ES,Asistente Comercial,Comercial,5/18/2005,Hibrido,30346
EI1900267ES,Asistente de Credito,Credito,11/14/2019,Hibrido,33686
EI0300268ES,Analista de Credito,Credito,8/23/2003,Oficina,53587
EI9700269ES,Ejecutivo Comercial,Comercial,9/14/1997,Oficina,43519
EI0600270ES,Analista de Credito,Credito,9/7/2006,Oficina,44441
EI0500271ES,Gerente de Credito,Credito,11/3/2005,Hibrido,88637
EI1700272ES,Arquitecto de Software,IT,10/1/2017,Remoto,80537
EI9700273ES,Gerente de Credito,Credito,11/13/1997,Oficina,80058
EI9500274ES,Gerente de Credito,Credito,3/31/1995,Hibrido,72696
EI9500275ES,Supervisor de Sucursal,Atencion al Cliente,9/4/1995,Oficina,49447
EI0600276ES,Asistente de Plataforma,Atencion al Cliente,8/1/2006,Oficina,26022
EI1500277ES,Gerente Comercial,Comercial,3/26/2015,Hibrido,72273
EI9600278ES,Desarrollador,IT,8/20/1996,Remoto,64439
EI1300279ES,Gerente de Operaciones,Operaciones,12/9/2013,Oficina,99763
EI0800280ES,Gerente de Operaciones,Operaciones,2/24/2008,Oficina,112729
EI0400281ES,Analista de Datos,IT,5/13/2004,Hibrido,55227
EI1400282ES,Asistente Comercial,Comercial,7/2/2014,Hibrido,33313
EI2100283ES,Asistente Comercial,Comercial,8/24/2021,Hibrido,29842
EI2300284ES,Desarrollador,IT,10/31/2023,Remoto,49639
EI2000285ES,Analista de Credito,Credito,11/29/2020,Hibrido,38680
EI9600286ES,Cajero,Atencion al Cliente,4/3/1996,Oficina,27554
EI0300287ES,Gerente de Riesgo,Riesgo,10/27/2003,Hibrido,81625
EI9900288ES,Supervisor de Sucursal,Atencion al Cliente,11/20/1999,Oficina,49613
EI9400289ES,Asistente de Plataforma,Atencion al Cliente,2/24/1994,Oficina,28347
EI1700290ES,Gerente Comercial,Comercial,4/12/2017,Oficina,82789
EI9800291ES,Ejecutivo Comercial,Comercial,10/12/1998,Oficina,35738
EI0900292ES,Asistente de Credito,Credito,12/25/2009,Hibrido,26431
EI1200293ES,Arquitecto de Software,IT,1/1/2012,Hibrido,90824
EI0600294ES,Asistente de Credito,Credito,3/13/2006,Oficina,31513
EI0600295ES,Analista de Operaciones,Operaciones,8/1/2006,Hibrido,47652
EI0200296ES,Gerente Comercial,Comercial,10/8/2002,Hibrido,92604
EI0900297ES,Analista de Operaciones,Operaciones,12/27/2009,Oficina,53383
EI2200298ES,Gerente de Area,Gerencia,8/26/2022,Hibrido,119112
EI0200299ES,Especialista RRHH,Talento Humano,12/12/2002,Hibrido,40367
EI9600300ES,Analista de Riesgo,Riesgo,4/5/1996,Oficina,67378
EI9900301ES,Cajero,Atencion al Cliente,4/28/1999,Oficina,24484
EI1300302ES,Ejecutivo Comercial,Comercial,7/25/2013,Oficina,45990
EI2300303ES,Supervisor de Sucursal,Atencion al Cliente,12/2/2023,Oficina,47313
EI9000304ES,Gerente IT,IT,4/19/1990,Remoto,116834
EI9700305ES,Analista de Datos,IT,11/5/1997,Hibrido,75285
EI9800306ES,Gerente Comercial,Comercial,5/6/1998,Hibrido,95019
EI1200307ES,Asistente de Credito,Credito,1/3/2012,Hibrido,25691
EI1200308ES,Analista de Operaciones,Operaciones,3/1/2012,Hibrido,53326
EI9100309ES,Gerente de Credito,Credito,3/16/1991,Oficina,70160
EI0300310ES,Analista de Riesgo,Riesgo,6/19/2003,Hibrido,60989
EI1900311ES,Gerente Comercial,Comercial,5/1/2019,Hibrido,88853
EI1200312ES,Arquitecto de Software,IT,1/25/2012,Hibrido,86039
EI2400313ES,Gerente de Area,Gerencia,4/21/2024,Hibrido,108167
EI1600314ES,Director Financiero,Direccion,11/12/2016,Hibrido,168861
EI1100315ES,Asistente de Credito,Credito,7/22/2011,Hibrido,34266
EI1800316ES,Especialista RRHH,Talento Humano,3/4/2018,Hibrido,57475
EI0600317ES,Gerente de Area,Gerencia,9/28/2006,Oficina,123588
EI9700318ES,Desarrollador,IT,4/22/1997,Hibrido,43834
EI1000319ES,Gerente de Area,Gerencia,9/6/2010,Hibrido,98879
EI9200320ES,Gerente de Operaciones,Operaciones,5/16/1992,Hibrido,97869
EI1800321ES,Gerente de Area,Gerencia,7/17/2018,Oficina,113329
EI0300322ES,Analista de Riesgo,Riesgo,1/31/2003,Oficina,57354
EI9800323ES,Supervisor de Sucursal,Atencion al Cliente,9/11/1998,Oficina,41004
EI1600324ES,Gerente de Riesgo,Riesgo,11/10/2016,Hibrido,90953
EI2000325ES,Director Comercial,Direccion,9/22/2020,Hibrido,172420
EI2000326ES,Analista de Riesgo,Riesgo,9/30/2020,Hibrido,62870
EI1300327ES,Gerente de Credito,Credito,12/21/2013,Hibrido,108013
EI9000328ES,Gerente de Operaciones,Operaciones,7/31/1990,Hibrido,88975
EI2400329ES,Ejecutivo Comercial,Comercial,12/7/2024,Hibrido,50889
EI9700330ES,Ejecutivo Comercial,Comercial,4/25/1997,Oficina,38356
EI1200331ES,Gerente de Riesgo,Riesgo,7/31/2012,Oficina,94490
EI0800332ES,Director Financiero,Direccion,9/20/2008,Oficina,150178
EI2600333ES,Gerente Comercial,Comercial,9/24/2026,Oficina,78600
EI0500334ES,Analista de Riesgo,Riesgo,8/15/2005,Hibrido,50209
EI2600335ES,Gerente de Talento Humano,Talento Humano,8/26/2026,Hibrido,108962
EI2100336ES,Gerente Comercial,Comercial,11/4/2021,Oficina,89967
EI9900337ES,Gerente de Riesgo,Riesgo,12/23/1999,Oficina,88435
EI0000338ES,Supervisor de Sucursal,Atencion al Cliente,3/1/2000,Oficina,45073
EI9900339ES,Gerente de Operaciones,Operaciones,6/1/1999,Oficina,88533
EI2000340ES,Analista de Credito,Credito,12/27/2020,Oficina,38660
EI2400341ES,Gerente Comercial,Comercial,10/1/2024,Hibrido,101736
EI9800342ES,Gerente de Area,Gerencia,10/23/1998,Oficina,97065
EI1300343ES,Asistente Comercial,Comercial,1/12/2013,Oficina,34718
EI9500344ES,Ejecutivo Comercial,Comercial,5/3/1995,Oficina,43290
EI0300345ES,Cajero,Atencion al Cliente,7/14/2003,Oficina,27468
EI2300346ES,Gerente Comercial,Comercial,11/6/2023,Oficina,76324
EI9900347ES,Supervisor de Sucursal,Atencion al Cliente,3/20/1999,Oficina,54254
EI9800348ES,Gerente de Riesgo,Riesgo,4/16/1998,Oficina,103038
EI9600349ES,Gerente de Talento Humano,Talento Humano,7/12/1996,Hibrido,98178
EI9700350ES,Analista de Operaciones,Operaciones,3/15/1997,Oficina,51404
EI9400351ES,Gerente de Operaciones,Operaciones,6/12/1994,Oficina,117888
EI2200352ES,Gerente de Area,Gerencia,2/9/2022,Hibrido,102553
EI2300353ES,Gerente Comercial,Comercial,10/28/2023,Oficina,105201
EI9900354ES,Gerente de Riesgo,Riesgo,8/8/1999,Hibrido,113042
EI2100355ES,Analista de Riesgo,Riesgo,4/26/2021,Oficina,59312
EI2000356ES,Analista de Credito,Credito,3/19/2020,Oficina,38516
EI0700357ES,Analista de Operaciones,Operaciones,1/11/2007,Oficina,48896
EI0800358ES,Director de Riesgo,Direccion,4/13/2008,Hibrido,127395
EI1000359ES,Cajero,Atencion al Cliente,11/25/2010,Oficina,22903
EI9600360ES,Asistente de Credito,Credito,2/5/1996,Hibrido,33123
EI1400361ES,Analista de Operaciones,Operaciones,12/29/2014,Oficina,58662
EI0400362ES,Gerente de Operaciones,Operaciones,9/19/2004,Oficina,112355
EI0200363ES,Analista de Credito,Credito,9/21/2002,Hibrido,49973
