numero_empleado,mes,feedback,reconocimiento,apoyo_supervisor,apoyo_equipo
IE9101784,2025-10,5,3,5,5
IE9101784,2025-11,4,3,3,4
IE9101784,2025-12,5,5,3,5
IE9101784,2026-01,4,4,5,2
IE9101784,2026-02,3,2,4,5
IE1603760,2025-03,5,3,5,4
IE1603760,2025-04,4,5,5,4
IE1603760,2025-05,1,4,3,1
IE1603760,2025-06,5,3,3,4
IE1603760,2025-07,4,5,4,4
IE1603760,2025-08,4,5,5,4
IE1603760,2025-09,3,5,4,4
IE1603760,2025-10,4,5,4,4
IE1603760,2025-11,5,3,5,4
IE1603760,2025-12,3,5,3,5
IE1603760,2026-01,2,3,4,4
IE1603760,2026-02,3,4,1,5
IE1603909,2025-03,3,2,3,5
IE1603909,2025-04,1,4,3,5
IE1603909,2025-05,4,3,5,1
IE1603909,2025-06,4,4,4,4
IE1603909,2025-07,3,4,3,5
IE1603909,2025-08,4,5,4,1
IE1603909,2025-09,4,4,5,5
IE1603909,2025-10,5,3,5,5
IE1603909,2025-11,4,5,3,5
IE1603909,2025-12,2,3,4,4
IE1603909,2026-01,4,4,4,5
IE1603909,2026-02,5,5,3,4
IE0301582,2025-03,4,5,5,3
IE0301582,2025-04,4,3,1,3
IE0301582,2025-05,4,5,3,2
IE0301582,2025-06,4,5,1,5
IE0301582,2025-07,1,5,3,3
IE0301582,2025-08,4,5,5,2
IE0301582,2025-09,4,4,5,3
IE0301582,2025-10,5,3,2,4
IE0301582,2025-11,2,3,5,3
IE0301582,2025-12,5,2,3,4
IE0301582,2026-01,3,2,2,4
IE0301582,2026-02,4,4,2,4
IE2504715,2025-03,4,4,4,3
IE2504715,2025-04,5,5,3,4
IE2504715,2025-05,2,5,5,2
IE2504715,2025-06,3,2,4,5
IE2504715,2025-07,5,5,4,2
IE2504715,2025-08,5,5,5,5
IE2504715,2025-09,1,5,5,4
IE2504715,2025-10,1,3,4,3
IE2504715,2025-11,3,4,4,4
IE2504715,2025-12,3,5,5,4
IE2504715,2026-01,4,2,1,4
IE2504715,2026-02,3,2,5,5
IE9903755,2025-03,4,4,4,5
IE9903755,2025-04,5,4,5,5
IE9903755,2025-05,5,4,5,4
IE9903755,2025-06,1,2,5,4
IE9903755,2025-07,5,4,5,5
IE9903755,2025-08,5,5,4,3
IE9903755,2025-09,3,4,4,4
IE9903755,2025-10,4,2,3,2
IE9903755,2025-11,3,2,2,3
IE9903755,2025-12,4,4,1,5
IE9903755,2026-01,5,1,5,4
IE9903755,2026-02,4,4,3,5
IE9902678,2025-03,4,5,4,3
IE9902678,2025-04,2,4,5,5
IE9902678,2025-05,3,4,5,5
IE9902678,2025-06,5,5,2,3
IE9902678,2025-07,2,2,3,4
IE9902678,2025-08,3,2,4,4
IE9902678,2025-09,3,5,5,4
IE9902678,2025-10,5,3,5,4
IE9902678,2025-11,2,4,4,4
IE9902678,2025-12,4,4,1,4
IE9902678,2026-01,4,5,4,4
IE9902678,2026-02,4,5,5,4
IE1401002,2025-03,5,3,5,4
IE1401002,2025-04,4,5,1,3
IE1401002,2025-05,5,4,4,5
IE1401002,2025-06,3,3,5,1
IE1401002,2025-07,5,2,4,2
IE1401002,2025-08,5,3,5,4
IE1401002,2025-09,3,3,3,4
IE1401002,2025-10,5,5,3,4
IE1401002,2025-11,4,4,4,3
IE1401002,2025-12,4,1,5,4
IE1401002,2026-01,1,4,2,4
IE1401002,2026-02,4,4,4,4
IE9405465,2025-03,3,5,2,4
IE9405465,2025-04,5,4,1,3
IE9405465,2025-05,4,2,5,4
IE9405465,2025-06,2,3,1,4
IE9405465,2025-07,3,4,4,5
IE9405465,2025-08,4,5,4,1
IE9405465,2025-09,5,3,4,4
IE9405465,2025-10,5,3,4,5
IE9405465,2025-11,3,5,4,4
IE9405465,2025-12,5,5,2,5
IE9405465,2026-01,4,3,4,5
IE9405465,2026-02,1,5,5,5
IE0704960,2025-03,4,3,2,3
IE0704960,2025-04,4,5,5,4
IE0704960,2025-05,2,2,2,3
IE0704960,2025-06,5,4,3,2
IE0704960,2025-07,4,3,4,5
IE0704960,2025-08,5,3,3,1
IE0704960,2025-09,4,3,5,4
IE0704960,2025-10,4,4,2,5
IE0704960,2025-11,4,5,5,2
IE0704960,2025-12,2,3,3,5
IE0704960,2026-01,4,4,4,5
IE0704960,2026-02,2,4,4,3
IE0704588,2025-03,4,5,2,4
IE0704588,2025-04,5,2,3,4
IE0704588,2025-05,3,5,4,2
IE0704588,2025-06,4,2,2,5
IE0704588,2025-07,4,4,4,2
IE0704588,2025-08,5,4,4,5
IE0704588,2025-09,4,5,4,3
IE0704588,2025-10,2,1,4,4
IE0704588,2025-11,4,5,5,5
IE0704588,2025-12,5,1,1,4
IE0704588,2026-01,1,4,3,5
IE0704588,2026-02,1,4,1,5
IE9801267,2025-03,4,5,5,5
IE9801267,2025-04,4,3,4,4
IE9801267,2025-05,5,5,4,5
IE9801267,2025-06,3,3,3,2
IE9801267,2025-07,4,5,4,4
IE9801267,2025-08,1,4,5,3
IE9801267,2025-09,4,4,4,4
IE9801267,2025-10,3,4,5,5
IE9801267,2025-11,4,5,3,4
IE9801267,2025-12,5,4,4,5
IE9801267,2026-01,2,3,2,5
IE9801267,2026-02,5,4,5,4
IE1103536,2025-03,4,4,5,3
IE1103536,2025-04,5,4,4,4
IE1103536,2025-05,4,5,4,4
IE1103536,2025-06,4,4,3,2
IE1103536,2025-07,5,3,3,4
IE1103536,2025-08,2,5,3,5
IE1103536,2025-09,4,3,4,5
IE1103536,2025-10,3,4,2,1
IE1103536,2025-11,5,5,4,5
IE1103536,2025-12,5,4,4,3
IE1103536,2026-01,4,4,3,5
IE1103536,2026-02,3,5,3,3
IE1403209,2025-03,5,3,5,4
IE1403209,2025-04,5,4,4,5
IE1403209,2025-05,3,4,4,4
IE1403209,2025-06,2,1,5,2
IE1403209,2025-07,4,4,4,4
IE1403209,2025-08,4,5,2,1
IE1403209,2025-09,4,4,5,2
IE1403209,2025-10,3,4,5,3
IE1403209,2025-11,4,5,4,4
IE1403209,2025-12,5,3,3,5
IE1403209,2026-01,5,2,2,5
IE1403209,2026-02,5,3,4,3
IE1400731,2025-03,4,3,4,3
IE1400731,2025-04,4,5,2,4
IE1400731,2025-05,5,3,4,4
IE1400731,2025-06,3,5,3,2
IE1400731,2025-07,5,4,3,4
IE1400731,2025-08,5,2,3,5
IE1400731,2025-09,2,5,4,3
IE1400731,2025-10,2,4,3,5
IE1400731,2025-11,5,5,2,2
IE1400731,2025-12,3,4,3,5
IE1400731,2026-01,3,5,5,4
IE1400731,2026-02,4,5,4,2
IE0402469,2025-03,4,5,3,4
IE0402469,2025-04,4,4,3,3
IE0402469,2025-05,2,3,5,4
IE0402469,2025-06,2,4,3,4
IE0402469,2025-07,4,3,3,3
IE0402469,2025-08,4,5,5,4
IE0402469,2025-09,4,3,5,3
IE0402469,2025-10,1,5,4,5
IE0402469,2025-11,5,4,3,5
IE0402469,2025-12,5,1,4,4
IE0402469,2026-01,4,3,4,3
IE0402469,2026-02,4,4,4,2
IE0302664,2025-03,1,5,1,4
IE0302664,2025-04,3,1,3,2
IE0302664,2025-05,1,5,3,5
IE0302664,2025-06,1,4,3,4
IE0302664,2025-07,4,5,3,4
IE0302664,2025-08,2,4,4,4
IE0302664,2025-09,5,4,4,3
IE0302664,2025-10,3,4,4,5
IE0302664,2025-11,4,3,5,3
IE0302664,2025-12,5,3,5,5
IE0302664,2026-01,4,5,5,5
IE0302664,2026-02,5,5,4,5
IE9901985,2025-03,5,5,3,2
IE9901985,2025-04,4,4,2,3
IE9901985,2025-05,3,4,4,4
IE9901985,2025-06,2,4,5,5
IE9901985,2025-07,2,4,5,5
IE9901985,2025-08,4,3,4,5
IE9901985,2025-09,4,5,5,4
IE9901985,2025-10,5,5,2,5
IE9901985,2025-11,5,3,5,4
IE9901985,2025-12,4,3,5,1
IE9901985,2026-01,2,5,3,5
IE9901985,2026-02,2,5,5,3
IE0204950,2025-03,4,5,4,3
IE0204950,2025-04,5,5,4,5
IE0204950,2025-05,4,5,5,5
IE0204950,2025-06,4,5,4,1
IE0204950,2025-07,4,3,4,5
IE0204950,2025-08,4,4,4,4
IE0204950,2025-09,4,4,2,4
IE0204950,2025-10,4,4,5,5
IE0204950,2025-11,4,5,5,5
IE0204950,2025-12,5,5,3,2
IE0204950,2026-01,4,5,5,5
IE0204950,2026-02,4,3,3,1
IE2405291,2025-03,3,4,5,2
IE2405291,2025-04,5,5,4,5
IE2405291,2025-05,3,3,5,2
IE2405291,2025-06,3,1,5,4
IE2405291,2025-07,5,2,4,4
IE2405291,2025-08,5,4,4,4
IE2405291,2025-09,1,4,5,4
IE2405291,2025-10,5,3,5,4
IE2405291,2025-11,3,5,4,3
IE2405291,2025-12,3,3,3,4
IE2405291,2026-01,5,5,2,5
IE2405291,2026-02,4,4,5,2
IE0205201,2025-03,5,4,5,5
IE0205201,2025-04,3,2,4,3
IE0205201,2025-05,3,4,3,4
IE0205201,2025-06,4,4,4,4
IE0205201,2025-07,4,3,5,4
IE0205201,2025-08,5,3,3,5
IE0205201,2025-09,5,5,5,4
IE0205201,2025-10,5,5,4,1
IE0205201,2025-11,1,5,3,4
IE0205201,2025-12,3,5,1,5
IE0205201,2026-01,5,4,3,5
IE0205201,2026-02,5,5,5,5
IE1303567,2025-03,4,4,4,2
IE1303567,2025-04,5,4,3,3
IE1303567,2025-05,3,4,3,5
IE1303567,2025-06,4,4,5,1
IE1303567,2025-07,2,5,4,5
IE1303567,2025-08,5,2,3,3
IE1303567,2025-09,5,5,3,4
IE1303567,2025-10,5,5,4,1
IE1303567,2025-11,5,5,5,4
IE1303567,2025-12,4,4,4,4
IE1303567,2026-01,4,5,5,2
IE1303567,2026-02,4,4,3,4
IE2604223,2025-03,5,4,4,4
IE2604223,2025-04,4,4,3,4
IE2604223,2025-05,4,3,4,3
IE2604223,2025-06,4,3,3,3
IE2604223,2025-07,4,5,4,5
IE2604223,2025-08,5,3,4,5
IE2604223,2025-09,4,5,4,5
IE2604223,2025-10,1,2,4,1
IE2604223,2025-11,3,5,4,4
IE2604223,2025-12,5,4,5,5
IE2604223,2026-01,5,4,3,4
IE2604223,2026-02,4,5,4,3
IE9400715,2025-03,3,5,1,3
IE9400715,2025-04,5,3,2,4
IE9400715,2025-05,5,4,5,3
IE9400715,2025-06,4,4,3,4
IE9400715,2025-07,4,4,5,5
IE9400715,2025-08,4,5,4,4
IE9400715,2025-09,4,5,5,3
IE9400715,2025-10,1,4,5,2
IE9400715,2025-11,5,3,4,3
IE9400715,2025-12,4,4,3,3
IE9400715,2026-01,4,3,4,2
IE9400715,2026-02,5,5,4,1
IE0901374,2025-03,3,3,4,1
IE0901374,2025-04,4,3,4,4
IE0901374,2025-05,4,4,4,3
IE0901374,2025-06,5,4,5,5
IE0901374,2025-07,4,5,4,4
IE0901374,2025-08,2,4,5,5
IE0901374,2025-09,3,4,2,3
IE0901374,2025-10,4,3,4,4
IE0901374,2025-11,4,3,4,4
IE0901374,2025-12,3,4,3,5
IE0901374,2026-01,5,3,4,4
IE0901374,2026-02,4,5,3,5
IE0000994,2025-03,4,4,5,3
IE0000994,2025-04,4,3,4,4
IE0000994,2025-05,5,5,3,4
IE0000994,2025-06,4,5,3,4
IE0000994,2025-07,5,2,4,4
IE0000994,2025-08,3,4,3,3
IE0000994,2025-09,5,3,3,4
IE0000994,2025-10,3,4,5,2
IE0000994,2025-11,4,5,5,4
IE0000994,2025-12,5,5,5,5
IE0000994,2026-01,3,4,4,3
IE0000994,2026-02,2,3,4,1
IE0802187,2025-03,3,4,4,3
IE0802187,2025-04,5,3,3,4
IE0802187,2025-05,4,3,5,4
IE0802187,2025-06,3,4,5,2
IE0802187,2025-07,5,4,3,4
IE0802187,2025-08,4,5,4,2
IE0802187,2025-09,3,4,4,3
IE0802187,2025-10,1,3,3,3
IE0802187,2025-11,5,5,4,4
IE0802187,2025-12,5,5,4,5
IE0802187,2026-01,5,5,2,4
IE0802187,2026-02,5,3,3,4
IE9505475,2025-03,2,5,5,5
IE9505475,2025-04,3,4,1,5
IE9505475,2025-05,3,5,4,3
IE9505475,2025-06,4,5,5,4
IE9505475,2025-07,2,4,4,3
IE9505475,2025-08,2,2,4,4
IE9505475,2025-09,5,3,4,3
IE9505475,2025-10,4,3,3,5
IE9505475,2025-11,2,2,5,4
IE9505475,2025-12,3,3,5,5
IE9505475,2026-01,4,4,1,3
IE9505475,2026-02,5,4,3,3
IE0800096,2025-03,5,2,4,4
IE0800096,2025-04,5,2,5,5
IE0800096,2025-05,5,3,4,5
IE0800096,2025-06,4,5,4,4
IE0800096,2025-07,4,3,1,4
IE0800096,2025-08,4,4,4,4
IE0800096,2025-09,1,3,3,4
IE0800096,2025-10,4,5,3,4
IE0800096,2025-11,5,3,2,4
IE0800096,2025-12,3,5,5,5
IE0800096,2026-01,5,4,3,3
IE0800096,2026-02,4,5,3,4
IE1204191,2025-03,5,4,2,2
IE1204191,2025-04,4,4,4,5
IE1204191,2025-05,3,5,5,1
IE1204191,2025-06,3,2,4,4
IE1204191,2025-07,4,5,2,4
IE1204191,2025-08,5,3,5,5
IE1204191,2025-09,3,4,5,1
IE1204191,2025-10,4,2,5,5
IE1204191,2025-11,5,4,4,4
IE1204191,2025-12,2,1,4,3
IE1204191,2026-01,4,1,4,4
IE1204191,2026-02,4,4,3,2
IE1503247,2025-03,4,5,3,4
IE1503247,2025-04,5,2,4,3
IE1503247,2025-05,5,4,4,4
IE1503247,2025-06,4,5,3,5
IE1503247,2025-07,3,4,3,5
IE1503247,2025-08,4,1,4,4
IE1503247,2025-09,5,4,5,4
IE1503247,2025-10,3,2,4,4
IE1503247,2025-11,4,3,3,4
IE1503247,2025-12,1,3,4,5
IE1503247,2026-01,5,2,4,2
IE1503247,2026-02,5,5,2,5
IE9400723,2025-03,4,5,3,2
IE9400723,2025-04,4,5,4,4
IE9400723,2025-05,4,5,4,3
IE9400723,2025-06,3,3,5,5
IE9400723,2025-07,5,4,4,4
IE9400723,2025-08,5,5,3,4
IE9400723,2025-09,4,4,4,2
IE9400723,2025-10,2,4,4,4
IE9400723,2025-11,3,5,5,2
IE9400723,2025-12,5,5,3,2
IE9400723,2026-01,3,4,5,4
IE9400723,2026-02,1,1,2,4
IE1305174,2025-03,4,5,3,3
IE1305174,2025-04,4,2,5,3
IE1305174,2025-05,4,5,5,5
IE1305174,2025-06,4,5,4,5
IE1305174,2025-07,4,4,5,5
IE1305174,2025-08,4,4,4,4
IE1305174,2025-09,2,4,4,4
IE1305174,2025-10,5,5,3,3
IE1305174,2025-11,4,5,3,1
IE1305174,2025-12,4,5,4,2
IE1305174,2026-01,3,4,2,3
IE1305174,2026-02,4,5,3,2
IE1704955,2025-03,4,4,2,5
IE1704955,2025-04,5,3,3,5
IE1704955,2025-05,5,3,4,3
IE1704955,2025-06,3,4,4,4
IE1704955,2025-07,1,5,4,5
IE1704955,2025-08,5,5,4,3
IE1704955,2025-09,4,4,5,4
IE1704955,2025-10,5,5,2,5
IE1704955,2025-11,2,5,5,4
IE1704955,2025-12,2,4,2,5
IE1704955,2026-01,4,4,5,3
IE1704955,2026-02,5,5,1,5
IE9404409,2025-03,4,5,3,4
IE9404409,2025-04,4,4,5,5
IE9404409,2025-05,3,2,5,4
IE9404409,2025-06,3,5,4,4
IE9404409,2025-07,1,4,4,4
IE9404409,2025-08,4,2,4,4
IE9404409,2025-09,2,5,5,5
IE9404409,2025-10,5,5,5,5
IE9404409,2025-11,5,4,3,2
IE9404409,2025-12,3,5,3,5
IE9404409,2026-01,5,4,5,4
IE9404409,2026-02,4,4,3,5
IE9504832,2025-03,4,4,5,5
IE9504832,2025-04,5,4,4,4
IE9504832,2025-05,5,5,4,3
IE9504832,2025-06,3,4,3,4
IE9504832,2025-07,5,3,5,3
IE9504832,2025-08,1,5,4,5
IE9504832,2025-09,3,5,5,4
IE9504832,2025-10,4,5,3,4
IE9504832,2025-11,4,3,4,5
IE9504832,2025-12,2,5,3,2
IE9504832,2026-01,5,4,5,3
IE9504832,2026-02,3,4,5,1
IE2305225,2025-03,4,5,5,4
IE2305225,2025-04,4,2,5,3
IE2305225,2025-05,4,3,4,4
IE2305225,2025-06,5,5,4,5
IE2305225,2025-07,5,1,3,5
IE2305225,2025-08,2,5,2,3
IE2305225,2025-09,3,5,4,4
IE2305225,2025-10,5,3,4,5
IE2305225,2025-11,2,3,5,4
IE2305225,2025-12,5,4,4,2
IE2305225,2026-01,4,4,3,4
IE2305225,2026-02,2,4,3,4
IE1304252,2025-03,4,1,3,3
IE1304252,2025-04,4,4,5,4
IE1304252,2025-05,4,2,5,2
IE1304252,2025-06,5,4,4,4
IE1304252,2025-07,3,5,4,5
IE1304252,2025-08,4,4,4,3
IE1304252,2025-09,3,5,3,2
IE1304252,2025-10,5,5,2,5
IE1304252,2025-11,3,4,5,4
IE1304252,2025-12,3,3,3,3
IE1304252,2026-01,5,4,4,4
IE1304252,2026-02,4,4,4,3
IE2300974,2025-03,5,2,3,4
IE2300974,2025-04,5,3,3,2
IE2300974,2025-05,4,4,4,2
IE2300974,2025-06,5,3,3,5
IE2300974,2025-07,4,4,4,4
IE2300974,2025-08,3,2,4,4
IE2300974,2025-09,2,3,1,4
IE2300974,2025-10,4,4,2,5
IE2300974,2025-11,4,4,2,4
IE2300974,2025-12,4,2,4,4
IE2300974,2026-01,4,3,4,4
IE2300974,2026-02,5,3,4,5
IE2101476,2025-03,5,4,4,3
IE2101476,2025-04,3,4,3,3
IE2101476,2025-05,5,4,5,5
IE2101476,2025-06,5,3,3,5
IE2101476,2025-07,5,1,4,3
IE2101476,2025-08,2,4,4,3
IE2101476,2025-09,4,5,2,1
IE2101476,2025-10,4,3,4,5
IE2101476,2025-11,5,4,5,5
IE2101476,2025-12,4,4,4,5
IE2101476,2026-01,3,5,5,4
IE2101476,2026-02,5,5,5,5
IE1802702,2025-03,2,2,4,3
IE1802702,2025-04,4,5,3,4
IE1802702,2025-05,5,1,5,3
IE1802702,2025-06,4,3,3,4
IE1802702,2025-07,5,5,5,5
IE1802702,2025-08,3,5,1,4
IE1802702,2025-09,4,4,5,3
IE1802702,2025-10,3,5,3,3
IE1802702,2025-11,2,4,5,4
IE1802702,2025-12,1,4,5,5
IE1802702,2026-01,4,5,4,4
IE1802702,2026-02,1,3,2,5
IE0303346,2025-03,4,4,5,3
IE0303346,2025-04,2,5,1,4
IE0303346,2025-05,5,2,3,3
IE0303346,2025-06,4,4,3,5
IE0303346,2025-07,4,3,5,4
IE0303346,2025-08,4,4,5,5
IE0303346,2025-09,4,2,3,4
IE0303346,2025-10,2,2,5,4
IE0303346,2025-11,4,5,5,5
IE0303346,2025-12,3,3,4,2
IE0303346,2026-01,4,5,4,1
IE0303346,2026-02,3,4,5,3
IE9304131,2025-03,4,2,3,4
IE9304131,2025-04,5,3,4,2
IE9304131,2025-05,3,5,1,5
IE9304131,2025-06,4,5,4,5
IE9304131,2025-07,4,4,4,4
IE9304131,2025-08,4,3,3,3
IE9304131,2025-09,5,4,4,5
IE9304131,2025-10,5,1,3,5
IE9304131,2025-11,4,5,4,5
IE9304131,2025-12,4,2,5,4
IE9304131,2026-01,4,3,3,4
IE9304131,2026-02,5,5,3,4
IE9504188,2025-03,2,4,2,3
IE9504188,2025-04,5,5,4,2
IE9504188,2025-05,2,3,4,1
IE9504188,2025-06,5,3,4,5
IE9504188,2025-07,5,2,2,2
IE9504188,2025-08,5,3,5,3
IE9504188,2025-09,2,3,5,1
IE9504188,2025-10,5,5,4,4
IE9504188,2025-11,5,4,4,3
IE9504188,2025-12,2,4,2,5
IE9504188,2026-01,2,2,5,5
IE9504188,2026-02,3,5,2,4
IE1501075,2025-03,5,3,4,4
IE1501075,2025-04,3,1,2,3
IE1501075,2025-05,4,4,3,5
IE1501075,2025-06,4,1,5,3
IE1501075,2025-07,4,5,5,4
IE1501075,2025-08,4,3,4,5
IE1501075,2025-09,3,4,4,5
IE1501075,2025-10,5,4,4,4
IE1501075,2025-11,2,5,4,5
IE1501075,2025-12,4,3,5,3
IE1501075,2026-01,5,5,5,3
IE1501075,2026-02,5,5,3,5
IE2304945,2025-03,3,5,3,5
IE2304945,2025-04,3,4,4,5
IE2304945,2025-05,5,5,3,3
IE2304945,2025-06,5,4,4,4
IE2304945,2025-07,3,4,3,2
IE2304945,2025-08,5,4,4,4
IE2304945,2025-09,4,4,5,3
IE2304945,2025-10,4,2,4,3
IE2304945,2025-11,1,4,5,3
IE2304945,2025-12,4,4,3,4
IE2304945,2026-01,4,4,3,4
IE2304945,2026-02,4,3,3,4
IE1700245,2025-03,3,5,4,5
IE1700245,2025-04,1,3,4,5
IE1700245,2025-05,5,3,4,2
IE1700245,2025-06,5,2,5,4
IE1700245,2025-07,5,4,5,4
IE1700245,2025-08,4,3,5,5
IE1700245,2025-09,5,5,3,4
IE1700245,2025-10,4,5,5,5
IE1700245,2025-11,4,5,4,5
IE1700245,2025-12,5,3,3,4
IE1700245,2026-01,4,4,4,4
IE1700245,2026-02,4,4,5,3
IE1602905,2025-03,5,5,4,4
IE1602905,2025-04,2,4,4,3
IE1602905,2025-05,4,5,3,4
IE1602905,2025-06,2,4,5,4
IE1602905,2025-07,2,1,5,4
IE1602905,2025-08,2,1,5,5
IE1602905,2025-09,3,4,4,2
IE1602905,2025-10,5,5,4,5
IE1602905,2025-11,2,5,5,4
IE1602905,2025-12,4,5,5,2
IE1602905,2026-01,4,5,1,5
IE1602905,2026-02,3,4,2,3
IE0702515,2025-03,4,5,4,3
IE0702515,2025-04,2,3,4,3
IE0702515,2025-05,5,4,5,3
IE0702515,2025-06,3,2,1,4
IE0702515,2025-07,4,5,4,4
IE0702515,2025-08,3,5,5,3
IE0702515,2025-09,4,3,4,5
IE0702515,2025-10,5,5,5,3
IE0702515,2025-11,3,2,3,5
IE0702515,2025-12,5,5,4,4
IE0702515,2026-01,5,4,5,3
IE0702515,2026-02,3,3,4,2
