numero_empleado,mes,horas_trabajadas,ausencias_justificadas,ausencias_no_justificadas,rating_desempeno
IE9600007,2026-02,145,1,1,Meets
IE2300008,2025-03,155,1,0,Exceeds
IE2300008,2025-04,141,0,0,Needs Improvement
IE2300008,2025-05,173,1,0,Meets
IE2300008,2025-06,169,1,1,Meets
IE2300008,2025-07,169,0,0,Meets
IE2300008,2025-08,178,1,0,Meets
IE2300008,2025-09,186,2,0,Meets
IE2300008,2025-10,148,0,0,Exceeds
IE2300008,2025-11,151,1,0,Meets
IE2300008,2025-12,169,0,0,Meets
IE2300008,2026-01,173,1,0,Meets
IE2300008,2026-02,167,2,0,Meets
IE9000009,2025-03,175,1,0,Needs Improvement
IE9000009,2025-04,176,1,0,Needs Improvement
IE9000009,2025-05,167,1,0,Meets
IE9000009,2025-06,178,2,0,Exceeds
IE9000009,2025-07,184,1,0,Meets
IE9000009,2025-08,159,1,0,Meets
IE9000009,2025-09,178,0,1,Meets
IE9000009,2025-10,172,1,0,Meets
IE9000009,2025-11,153,1,0,Meets
IE9000009,2025-12,172,0,0,Exceeds
IE9000009,2026-01,164,1,1,Meets
IE9000009,2026-02,160,1,0,Meets
IE9500010,2025-03,176,0,0,Exceeds
IE9500010,2025-04,174,1,1,Meets
IE9500010,2025-05,171,4,0,Needs Improvement
IE9500010,2025-06,180,0,0,Meets
IE9500010,2025-07,147,3,0,Needs Improvement
IE9500010,2025-08,186,0,0,Meets
IE9500010,2025-09,158,1,1,Meets
IE9500010,2025-10,170,1,0,Meets
IE9500010,2025-11,177,1,0,Meets
IE9500010,2025-12,174,0,0,Exceeds
IE9500010,2026-01,187,0,0,Exceeds
IE9500010,2026-02,177,0,0,Meets
IE2500011,2025-03,187,1,0,Meets
IE2500011,2025-04,176,1,0,Needs Improvement
IE2500011,2025-05,171,1,0,Exceeds
IE2500011,2025-06,171,0,0,Meets
IE2500011,2025-07,164,0,0,Needs Improvement
IE2500011,2025-08,154,0,0,Exceeds
IE2500011,2025-09,176,4,0,Needs Improvement
IE2500011,2025-10,166,3,0,Needs Improvement
IE2500011,2025-11,162,0,0,Needs Improvement
IE2500011,2025-12,151,1,1,Meets
IE2500011,2026-01,145,0,0,Meets
IE2500011,2026-02,172,2,0,Meets
IE9800012,2025-03,182,1,0,Exceeds
IE9800012,2025-04,176,2,1,Needs Improvement
IE9800012,2025-05,184,0,1,Meets
IE9800012,2025-06,154,1,0,Meets
IE9800012,2025-07,154,1,0,Meets
IE9800012,2025-08,170,1,1,Meets
IE9800012,2025-09,181,1,0,Meets
IE9800012,2025-10,163,2,1,Meets
IE9800012,2025-11,155,0,0,Meets
IE9800012,2025-12,162,1,0,Needs Improvement
IE9800012,2026-01,155,0,0,Meets
IE9800012,2026-02,170,1,1,Meets
IE1700013,2025-03,157,1,0,Meets
IE1700013,2025-04,188,1,1,Meets
IE1700013,2025-05,180,1,0,Exceeds
IE1700013,2025-06,172,0,0,Meets
IE1700013,2025-07,177,0,1,Meets
IE1700013,2025-08,158,0,0,Exceeds
IE1700013,2025-09,176,1,0,Meets
IE1700013,2025-10,161,1,1,Meets
IE1700013,2025-11,153,1,0,Exceeds
IE1700013,2025-12,173,1,0,Meets
IE1700013,2026-01,171,1,0,Meets
IE1700013,2026-02,159,0,1,Meets
IE9700014,2025-03,176,1,0,Meets
IE9700014,2025-04,167,0,4,Meets
IE9700014,2025-05,164,3,1,Needs Improvement
IE9700014,2025-06,178,1,0,Meets
IE9700014,2025-07,157,1,1,Meets
IE9700014,2025-08,165,1,0,Meets
IE9700014,2025-09,154,0,0,Exceeds
IE9700014,2025-10,157,0,1,Meets
IE9700014,2025-11,140,1,0,Needs Improvement
IE9700014,2025-12,164,0,0,Exceeds
IE9700014,2026-01,161,0,1,Meets
IE9700014,2026-02,161,1,0,Meets
IE0700015,2025-03,184,0,0,Exceeds
IE0700015,2025-04,155,0,0,Meets
IE0700015,2025-05,169,1,0,Meets
IE0700015,2025-06,155,0,0,Meets
IE0700015,2025-07,168,0,0,Meets
IE0700015,2025-08,173,0,0,Exceeds
IE0700015,2025-09,179,0,0,Meets
IE0700015,2025-10,185,0,1,Needs Improvement
IE0700015,2025-11,170,0,0,Meets
IE0700015,2025-12,170,0,0,Exceeds
IE0700015,2026-01,151,1,1,Meets
IE0700015,2026-02,177,2,0,Needs Improvement
IE0800016,2025-03,171,1,0,Exceeds
IE0800016,2025-04,144,0,0,Meets
IE0800016,2025-05,173,2,0,Needs Improvement
IE0800016,2025-06,164,1,0,Meets
IE0800016,2025-07,160,0,0,Meets
IE0800016,2025-08,169,1,0,Meets
IE0800016,2025-09,163,2,1,Needs Improvement
IE0800016,2025-10,165,1,0,Meets
IE0800016,2025-11,169,0,0,Exceeds
IE0800016,2025-12,172,3,0,Meets
IE0800016,2026-01,147,0,0,Exceeds
IE0800016,2026-02,163,1,0,Meets
IE9200017,2025-03,165,1,0,Meets
IE9200017,2025-04,182,0,0,Exceeds
IE9200017,2025-05,169,1,0,Needs Improvement
IE9200017,2025-06,181,0,0,Meets
IE9200017,2025-07,177,1,0,Meets
IE9200017,2025-08,172,0,1,Meets
IE9200017,2025-09,165,1,1,Needs Improvement
IE9200017,2025-10,167,2,1,Needs Improvement
IE9200017,2025-11,160,0,0,Exceeds
IE9200017,2025-12,179,2,1,Needs Improvement
IE9200017,2026-01,174,0,0,Exceeds
IE9200017,2026-02,163,0,0,Meets
IE0500018,2025-03,186,0,0,Outstanding
IE0500018,2025-04,162,0,0,Exceeds
IE0500018,2025-05,161,0,0,Exceeds
IE0500018,2025-06,163,0,1,Meets
IE0500018,2025-07,154,0,0,Exceeds
IE0500018,2025-08,185,1,0,Meets
IE0500018,2025-09,167,0,0,Meets
IE0500018,2025-10,171,1,0,Meets
IE0500018,2025-11,182,1,0,Meets
IE0500018,2025-12,174,0,1,Needs Improvement
IE0500018,2026-01,177,1,0,Meets
IE0500018,2026-02,170,1,0,Exceeds
IE9500019,2025-03,175,1,1,Meets
IE9500019,2025-04,161,0,0,Meets
IE9500019,2025-05,164,1,0,Needs Improvement
IE9500019,2025-06,166,2,0,Meets
IE9500019,2025-07,167,1,0,Exceeds
IE9500019,2025-08,179,1,0,Meets
IE9500019,2025-09,155,1,1,Needs Improvement
IE9500019,2025-10,162,0,0,Meets
IE9500019,2025-11,195,0,0,Meets
IE9500019,2025-12,177,2,0,Meets
IE9500019,2026-01,166,2,1,Meets
IE9500019,2026-02,162,1,0,Meets
IE9700020,2025-03,155,0,0,Exceeds
IE9700020,2025-04,166,1,0,Meets
IE9700020,2025-05,165,0,0,Exceeds
IE9700020,2025-06,165,1,1,Meets
IE9700020,2025-07,156,0,0,Meets
IE9700020,2025-08,186,0,0,Meets
IE9700020,2025-09,161,1,0,Meets
IE9700020,2025-10,165,1,0,Meets
IE9700020,2025-11,179,1,0,Meets
IE9700020,2025-12,158,3,0,Meets
IE9700020,2026-01,177,2,1,Meets
IE9700020,2026-02,169,3,0,Needs Improvement
IE2200021,2025-03,169,1,0,Meets
IE2200021,2025-04,159,1,0,Exceeds
IE2200021,2025-05,184,1,2,Meets
IE2200021,2025-06,164,1,0,Meets
IE2200021,2025-07,162,0,0,Exceeds
IE2200021,2025-08,177,0,1,Meets
IE2200021,2025-09,168,0,1,Meets
IE2200021,2025-10,155,1,1,Meets
IE2200021,2025-11,175,1,0,Meets
IE2200021,2025-12,176,0,0,Exceeds
IE2200021,2026-01,167,0,0,Exceeds
IE2200021,2026-02,154,0,0,Meets
IE2300022,2025-03,173,0,0,Exceeds
IE2300022,2025-04,137,0,1,Meets
IE2300022,2025-05,142,3,0,Needs Improvement
IE2300022,2025-06,177,0,0,Meets
IE2300022,2025-07,176,0,0,Exceeds
IE2300022,2025-08,178,0,0,Exceeds
IE2300022,2025-09,166,1,0,Meets
IE2300022,2025-10,191,1,1,Meets
IE2300022,2025-11,171,2,0,Needs Improvement
IE2300022,2025-12,161,0,0,Exceeds
IE2300022,2026-01,154,2,0,Meets
IE2300022,2026-02,177,0,0,Meets
IE0700023,2025-03,172,2,1,Needs Improvement
IE0700023,2025-04,147,3,0,Needs Improvement
IE0700023,2025-05,156,0,0,Exceeds
IE0700023,2025-06,165,3,0,Meets
IE0700023,2025-07,167,1,2,Meets
IE0700023,2025-08,161,1,0,Meets
IE0700023,2025-09,159,0,1,Meets
IE0700023,2025-10,194,1,1,Needs Improvement
IE0700023,2025-11,165,1,0,Meets
IE0700023,2025-12,149,0,0,Needs Improvement
IE0700023,2026-01,157,0,0,Exceeds
IE0700023,2026-02,172,1,0,Meets
IE0000024,2025-03,186,2,0,Needs Improvement
IE0000024,2025-04,181,0,0,Meets
IE0000024,2025-05,170,1,0,Exceeds
IE0000024,2025-06,139,1,1,Exceeds
IE0000024,2025-07,172,2,0,Needs Improvement
IE0000024,2025-08,172,2,0,Needs Improvement
IE0000024,2025-09,175,0,0,Exceeds
IE0000024,2025-10,158,0,1,Meets
IE0000024,2025-11,181,0,0,Exceeds
IE0000024,2025-12,161,0,0,Exceeds
IE0000024,2026-01,191,0,1,Meets
IE0000024,2026-02,181,0,0,Exceeds
IE9600025,2025-03,175,0,0,Exceeds
IE9600025,2025-04,181,3,0,Needs Improvement
IE9600025,2025-05,162,0,0,Exceeds
IE9600025,2025-06,153,0,0,Meets
IE9600025,2025-07,155,0,0,Exceeds
IE9600025,2025-08,162,0,1,Exceeds
IE9600025,2025-09,179,2,0,Needs Improvement
IE9600025,2025-10,185,2,0,Meets
IE9600025,2025-11,151,0,1,Exceeds
IE9600025,2025-12,160,1,0,Exceeds
IE9600025,2026-01,172,1,0,Meets
IE9600025,2026-02,168,2,0,Exceeds
IE0500026,2025-03,161,0,0,Exceeds
IE0500026,2025-04,153,1,1,Meets
IE0500026,2025-05,194,2,0,Meets
IE0500026,2025-06,171,1,0,Needs Improvement
IE0500026,2025-07,170,0,0,Meets
IE0500026,2025-08,178,0,1,Meets
IE0500026,2025-09,170,0,0,Meets
IE0500026,2025-10,159,0,0,Exceeds
IE0500026,2025-11,155,0,0,Exceeds
IE0500026,2025-12,153,1,0,Meets
IE0500026,2026-01,179,1,0,Meets
IE0500026,2026-02,149,0,0,Meets
IE0400027,2025-03,163,1,0,Meets
IE0400027,2025-04,152,0,0,Exceeds
IE0400027,2025-05,172,2,0,Needs Improvement
IE0400027,2025-06,186,1,1,Needs Improvement
IE0400027,2025-07,157,0,0,Meets
IE0400027,2025-08,188,2,0,Meets
IE0400027,2025-09,166,1,0,Meets
IE0400027,2025-10,175,0,0,Meets
IE0400027,2025-11,165,0,1,Meets
IE0400027,2025-12,182,2,0,Needs Improvement
IE0400027,2026-01,173,0,0,Meets
IE0400027,2026-02,177,0,0,Exceeds
IE0000028,2025-03,167,0,0,Meets
IE0000028,2025-04,167,0,0,Exceeds
IE0000028,2025-05,181,2,0,Meets
IE0000028,2025-06,158,2,0,Meets
IE0000028,2025-07,187,1,1,Needs Improvement
IE0000028,2025-08,172,2,0,Exceeds
IE0000028,2025-09,168,1,0,Exceeds
IE0000028,2025-10,153,0,0,Exceeds
IE0000028,2025-11,163,0,0,Meets
IE0000028,2025-12,156,0,0,Exceeds
IE0000028,2026-01,169,2,0,Meets
IE0000028,2026-02,167,0,1,Meets
IE0000029,2025-03,158,1,0,Meets
IE0000029,2025-04,164,0,0,Exceeds
IE0000029,2025-05,173,3,1,Meets
IE0000029,2025-06,175,2,0,Needs Improvement
IE0000029,2025-07,162,0,0,Exceeds
IE0000029,2025-08,175,0,0,Exceeds
IE0000029,2025-09,179,0,0,Needs Improvement
IE0000029,2025-10,167,0,2,Meets
IE0000029,2025-11,152,0,0,Exceeds
IE0000029,2025-12,181,0,0,Meets
IE0000029,2026-01,167,1,0,Exceeds
IE0000029,2026-02,149,1,0,Meets
IE0000030,2025-03,169,1,2,Meets
IE0000030,2025-04,162,0,0,Exceeds
IE0000030,2025-05,147,0,0,Meets
IE0000030,2025-06,178,0,0,Exceeds
IE0000030,2025-07,178,1,0,Meets
IE0000030,2025-08,171,1,0,Meets
IE0000030,2025-09,186,1,0,Meets
IE0000030,2025-10,161,0,1,Exceeds
IE0000030,2025-11,170,2,0,Meets
IE0000030,2025-12,170,0,0,Exceeds
IE0000030,2026-01,165,0,1,Needs Improvement
IE0000030,2026-02,186,0,0,Meets
IE9200031,2025-03,160,0,0,Meets
IE9200031,2025-04,181,1,0,Meets
IE9200031,2025-05,165,1,0,Meets
IE9200031,2025-06,175,0,0,Exceeds
IE9200031,2025-07,164,2,1,Meets
IE9200031,2025-08,195,1,0,Exceeds
IE9200031,2025-09,157,0,0,Meets
IE9200031,2025-10,169,2,0,Meets
IE9200031,2025-11,157,1,0,Meets
IE9200031,2025-12,170,2,0,Meets
IE9200031,2026-01,176,1,1,Meets
IE9200031,2026-02,144,0,0,Exceeds
IE1400032,2025-03,158,2,1,Meets
IE1400032,2025-04,173,0,0,Meets
IE1400032,2025-05,144,0,0,Meets
IE1400032,2025-06,165,1,0,Meets
IE1400032,2025-07,169,0,1,Meets
IE1400032,2025-08,153,0,0,Meets
IE1400032,2025-09,175,0,0,Exceeds
IE1400032,2025-10,189,0,1,Exceeds
IE1400032,2025-11,169,1,0,Needs Improvement
IE1400032,2025-12,147,2,0,Meets
IE1400032,2026-01,170,2,0,Meets
IE1400032,2026-02,152,0,0,Exceeds
IE9700033,2025-03,170,0,1,Meets
IE9700033,2025-04,144,0,0,Exceeds
IE9700033,2025-05,150,0,0,Meets
IE9700033,2025-06,176,0,0,Exceeds
IE9700033,2025-07,158,0,0,Exceeds
IE9700033,2025-08,170,3,2,Needs Improvement
IE9700033,2025-09,159,0,0,Exceeds
IE9700033,2025-10,160,1,1,Meets
IE9700033,2025-11,152,1,0,Needs Improvement
IE9700033,2025-12,173,1,0,Exceeds
IE9700033,2026-01,169,0,0,Meets
IE9700033,2026-02,162,0,0,Exceeds
IE0700034,2025-03,173,3,0,Needs Improvement
IE0700034,2025-04,194,0,0,Meets
IE0700034,2025-05,164,0,0,Exceeds
IE0700034,2025-06,166,0,0,Meets
IE0700034,2025-07,176,1,0,Meets
IE0700034,2025-08,184,2,1,Meets
IE0700034,2025-09,159,0,0,Needs Improvement
IE0700034,2025-10,161,1,0,Meets
IE0700034,2025-11,175,0,1,Meets
IE0700034,2025-12,153,1,1,Exceeds
IE0700034,2026-01,175,1,0,Exceeds
IE0700034,2026-02,174,1,0,Exceeds
IE2500035,2025-03,179,2,0,Meets
IE2500035,2025-04,177,2,0,Exceeds
IE2500035,2025-05,180,1,0,Meets
IE2500035,2025-06,186,1,1,Needs Improvement
IE2500035,2025-07,178,0,0,Meets
IE2500035,2025-08,160,0,0,Meets
IE2500035,2025-09,172,0,1,Meets
IE2500035,2025-10,146,0,0,Meets
IE2500035,2025-11,189,2,2,Needs Improvement
IE2500035,2025-12,171,1,0,Exceeds
IE2500035,2026-01,151,0,0,Exceeds
IE2500035,2026-02,173,1,0,Exceeds
IE1500036,2025-03,172,0,1,Meets
IE1500036,2025-04,172,0,0,Meets
IE1500036,2025-05,175,0,0,Exceeds
IE1500036,2025-06,175,0,0,Meets
IE1500036,2025-07,165,0,0,Meets
IE1500036,2025-08,178,2,0,Needs Improvement
IE1500036,2025-09,164,0,1,Meets
IE1500036,2025-10,165,0,0,Exceeds
IE1500036,2025-11,170,0,0,Exceeds
IE1500036,2025-12,158,0,1,Needs Improvement
IE1500036,2026-01,148,1,0,Meets
IE1500036,2026-02,182,0,1,Meets
IE2600037,2025-03,160,1,0,Meets
IE2600037,2025-04,153,0,0,Meets
IE2600037,2025-05,149,1,0,Needs Improvement
IE2600037,2025-06,198,0,2,Needs Improvement
IE2600037,2025-07,178,0,0,Meets
IE2600037,2025-08,157,1,0,Meets
IE2600037,2025-09,169,1,0,Meets
IE2600037,2025-10,155,3,0,Needs Improvement
IE2600037,2025-11,151,1,0,Meets
IE2600037,2025-12,177,0,0,Meets
IE2600037,2026-01,161,0,0,Exceeds
IE2600037,2026-02,180,1,0,Meets
IE1600038,2025-03,167,0,2,Meets
IE1600038,2025-04,175,1,0,Meets
IE1600038,2025-05,168,3,2,Needs Improvement
IE1600038,2025-06,153,0,1,Meets
IE1600038,2025-07,181,0,0,Meets
IE1600038,2025-08,161,0,0,Exceeds
IE1600038,2025-09,188,1,1,Exceeds
IE1600038,2025-10,176,1,0,Meets
IE1600038,2025-11,172,0,0,Exceeds
IE1600038,2025-12,175,1,1,Meets
IE1600038,2026-01,171,0,1,Meets
IE1600038,2026-02,183,0,0,Exceeds
IE1800039,2025-03,155,1,0,Meets
IE1800039,2025-04,148,2,2,Needs Improvement
IE1800039,2025-05,163,0,0,Exceeds
IE1800039,2025-06,177,2,0,Needs Improvement
IE1800039,2025-07,158,0,0,Meets
IE1800039,2025-08,156,0,0,Exceeds
IE1800039,2025-09,188,0,0,Meets
IE1800039,2025-10,183,0,0,Meets
IE1800039,2025-11,158,5,0,Meets
IE1800039,2025-12,159,0,0,Needs Improvement
IE1800039,2026-01,178,1,0,Meets
IE1800039,2026-02,176,0,0,Exceeds
IE0600040,2025-03,183,0,1,Meets
IE0600040,2025-04,145,1,0,Meets
IE0600040,2025-05,158,0,0,Exceeds
IE0600040,2025-06,157,1,0,Meets
IE0600040,2025-07,153,1,0,Meets
IE0600040,2025-08,166,0,0,Meets
IE0600040,2025-09,165,3,0,Needs Improvement
IE0600040,2025-10,165,1,0,Exceeds
IE0600040,2025-11,187,3,1,Needs Improvement
IE0600040,2025-12,158,0,0,Meets
IE0600040,2026-01,168,4,0,Needs Improvement
IE0600040,2026-02,153,0,1,Meets
IE9700041,2025-03,178,0,0,Exceeds
IE9700041,2025-04,162,1,0,Meets
IE9700041,2025-05,166,1,0,Exceeds
IE9700041,2025-06,154,2,0,Exceeds
IE9700041,2025-07,168,0,0,Outstanding
IE9700041,2025-08,176,1,0,Exceeds
IE9700041,2025-09,174,0,1,Exceeds
IE9700041,2025-10,168,2,0,Meets
IE9700041,2025-11,149,0,1,Meets
IE9700041,2025-12,173,2,0,Needs Improvement
IE9700041,2026-01,158,0,0,Exceeds
IE9700041,2026-02,176,2,0,Meets
IE9000042,2025-03,163,1,1,Needs Improvement
IE9000042,2025-04,176,0,1,Needs Improvement
IE9000042,2025-05,162,0,0,Meets
IE9000042,2025-06,168,0,0,Exceeds
IE9000042,2025-07,177,0,0,Meets
IE9000042,2025-08,170,0,0,Exceeds
IE9000042,2025-09,172,1,0,Meets
IE9000042,2025-10,164,0,0,Exceeds
IE9000042,2025-11,164,0,0,Exceeds
IE9000042,2025-12,164,0,1,Meets
IE9000042,2026-01,173,0,0,Exceeds
IE9000042,2026-02,165,1,0,Exceeds
IE2600043,2025-03,168,0,0,Exceeds
IE2600043,2025-04,156,0,1,Needs Improvement
IE2600043,2025-05,164,0,0,Meets
IE2600043,2025-06,169,0,0,Needs Improvement
IE2600043,2025-07,161,0,0,Meets
IE2600043,2025-08,157,0,0,Meets
IE2600043,2025-09,156,0,0,Exceeds
IE2600043,2025-10,177,0,0,Meets
IE2600043,2025-11,160,1,0,Meets
IE2600043,2025-12,171,2,1,Meets
IE2600043,2026-01,158,1,0,Meets
IE2600043,2026-02,173,0,0,Meets
IE0500044,2025-03,136,0,1,Exceeds
IE0500044,2025-04,159,1,0,Meets
IE0500044,2025-05,185,0,0,Exceeds
IE0500044,2025-06,154,1,0,Meets
IE0500044,2025-07,172,0,0,Outstanding
IE0500044,2025-08,162,1,0,Meets
IE0500044,2025-09,177,2,1,Meets
IE0500044,2025-10,192,2,1,Needs Improvement
IE0500044,2025-11,173,1,1,Needs Improvement
IE0500044,2025-12,169,1,1,Needs Improvement
IE0500044,2026-01,178,1,0,Exceeds
IE0500044,2026-02,176,1,0,Meets
IE9700045,2025-03,150,1,0,Needs Improvement
IE9700045,2025-04,165,1,1,Needs Improvement
IE9700045,2025-05,175,0,1,Exceeds
IE9700045,2025-06,159,0,0,Meets
IE9700045,2025-07,198,3,0,Needs Improvement
IE9700045,2025-08,162,3,0,Needs Improvement
IE9700045,2025-09,177,0,0,Meets
IE9700045,2025-10,161,0,1,Meets
IE9700045,2025-11,195,0,0,Meets
IE9700045,2025-12,164,0,0,Meets
IE9700045,2026-01,162,1,0,Exceeds
IE9700045,2026-02,174,0,0,Meets
IE1400046,2025-03,164,0,1,Meets
IE1400046,2025-04,164,1,0,Meets
IE1400046,2025-05,160,0,0,Meets
IE1400046,2025-06,176,1,0,Meets
IE1400046,2025-07,162,2,0,Meets
IE1400046,2025-08,169,1,0,Exceeds
IE1400046,2025-09,172,0,0,Exceeds
IE1400046,2025-10,151,0,0,Meets
IE1400046,2025-11,175,0,0,Meets
IE1400046,2025-12,164,3,0,Meets
IE1400046,2026-01,163,1,0,Meets
IE1400046,2026-02,158,1,0,Meets
IE0200047,2025-03,165,1,0,Needs Improvement
IE0200047,2025-04,177,1,1,Meets
IE0200047,2025-05,160,0,0,Exceeds
IE0200047,2025-06,169,0,1,Meets
IE0200047,2025-07,149,2,0,Meets
IE0200047,2025-08,173,1,0,Exceeds
IE0200047,2025-09,155,1,0,Meets
IE0200047,2025-10,164,0,0,Exceeds
IE0200047,2025-11,153,0,0,Exceeds
IE0200047,2025-12,183,2,0,Meets
IE0200047,2026-01,171,0,1,Exceeds
IE0200047,2026-02,184,1,0,Needs Improvement
IE1600048,2025-03,190,0,0,Exceeds
IE1600048,2025-04,159,0,0,Outstanding
IE1600048,2025-05,175,2,0,Needs Improvement
IE1600048,2025-06,161,0,0,Meets
IE1600048,2025-07,170,2,0,Meets
IE1600048,2025-08,181,0,0,Exceeds
IE1600048,2025-09,185,1,0,Meets
IE1600048,2025-10,162,1,0,Meets
IE1600048,2025-11,156,1,3,Needs Improvement
IE1600048,2025-12,169,1,1,Meets
IE1600048,2026-01,177,0,1,Exceeds
IE1600048,2026-02,177,0,1,Meets
IE9200049,2025-03,162,0,0,Exceeds
IE9200049,2025-04,176,2,0,Meets
IE9200049,2025-05,183,0,1,Meets
IE9200049,2025-06,173,1,0,Meets
IE9200049,2025-07,149,1,0,Meets
IE9200049,2025-08,166,2,0,Exceeds
IE9200049,2025-09,177,0,0,Meets
IE9200049,2025-10,148,1,1,Meets
IE9200049,2025-11,172,1,0,Meets
IE9200049,2025-12,177,1,1,Meets
IE9200049,2026-01,169,2,0,Needs Improvement
IE9200049,2026-02,170,0,0,Exceeds
IE0600050,2025-03,172,2,0,Needs Improvement
IE0600050,2025-04,179,1,0,Meets
IE0600050,2025-05,165,0,0,Meets
IE0600050,2025-06,165,3,0,Meets
IE0600050,2025-07,162,1,0,Meets
IE0600050,2025-08,155,2,0,Meets
IE0600050,2025-09,164,3,0,Meets
IE0600050,2025-10,167,2,1,Meets
IE0600050,2025-11,135,1,0,Meets
IE0600050,2025-12,140,1,1,Meets
IE0600050,2026-01,158,1,0,Meets
IE0600050,2026-02,168,0,0,Exceeds
IE9300051,2025-03,165,0,0,Exceeds
IE9300051,2025-04,186,0,0,Exceeds
IE9300051,2025-05,170,0,0,Exceeds
IE9300051,2025-06,170,2,1,Meets
IE9300051,2025-07,164,1,0,Needs Improvement
IE9300051,2025-08,156,0,0,Meets
IE9300051,2025-09,170,1,0,Meets
IE9300051,2025-10,165,0,0,Exceeds
IE9300051,2025-11,168,0,0,Exceeds
IE9300051,2025-12,174,1,0,Exceeds
IE9300051,2026-01,173,1,0,Meets
IE9300051,2026-02,179,5,0,Needs Improvement
IE2100052,2025-03,147,0,1,Meets
IE2100052,2025-04,173,0,0,Exceeds
IE2100052,2025-05,183,0,0,Exceeds
IE2100052,2025-06,170,0,0,Meets
IE2100052,2025-07,187,0,1,Meets
IE2100052,2025-08,178,2,0,Exceeds
IE2100052,2025-09,171,0,0,Meets
IE2100052,2025-10,172,2,0,Needs Improvement
IE2100052,2025-11,150,2,0,Meets
IE2100052,2025-12,178,1,0,Exceeds
IE2100052,2026-01,164,2,0,Needs Improvement
IE2100052,2026-02,148,0,0,Exceeds
IE9200053,2025-03,185,0,0,Exceeds
IE9200053,2025-04,183,0,0,Needs Improvement
