numero_empleado,titulo,modalidad_trabajo,salario_eur,fecha_de_entrada
IE0600083,Gerente de Riesgo,Oficina,87995,2006
IE9300084,Gerente de Riesgo,Hibrido,89717,1993
IE0900085,Analista de Riesgo,Hibrido,52928,2009
IE2500086,Analista de Riesgo,Remoto,37039,2025
IE9200087,Analista de Riesgo,Remoto,50351,1992
IE0000088,Gerente de Riesgo,Oficina,94690,2000
IE9400089,Gerente de Riesgo,Oficina,77320,1994
IE0100090,Analista de Riesgo,Hibrido,53879,2001
IE0500091,Gerente de Riesgo,Hibrido,91728,2005
IE9800092,Gerente de Riesgo,Oficina,80787,1998
IE9700093,Gerente de Riesgo,Oficina,80732,1997
IE0100094,Analista de Riesgo,Oficina,54464,2001
IE9600095,Gerente de Riesgo,Oficina,92697,1996
IE0800096,Analista de Riesgo,Hibrido,50138,2008
IE1900097,Analista de Riesgo,Remoto,36040,2019
IE2100098,Gerente de Riesgo,Oficina,82523,2021
IE1900099,Gerente de Riesgo,Hibrido,95701,2019
IE2600100,Gerente de Riesgo,Hibrido,72828,2026
IE1000101,Analista de Riesgo,Remoto,43271,2010
IE2100102,Analista de Riesgo,Remoto,48349,2021
IE0200103,Gerente de Riesgo,Oficina,83363,2002
IE9300104,Analista de Riesgo,Remoto,54351,1993
IE9200105,Analista de Riesgo,Oficina,36359,1992
IE1900106,Analista de Riesgo,Hibrido,42808,2019
IE9000107,Gerente de Riesgo,Oficina,74492,1990
IE2200108,Analista de Riesgo,Remoto,49089,2022
IE1800109,Gerente de Riesgo,Hibrido,99598,2018
IE1600110,Analista de Riesgo,Hibrido,51558,2016
IE2000111,Gerente de Riesgo,Hibrido,74966,2020
IE2300112,Gerente de Riesgo,Hibrido,87782,2023
IE0100113,Analista de Riesgo,Hibrido,40847,2001
IE9500114,Gerente de Riesgo,Hibrido,94952,1995
IE0500115,Analista de Riesgo,Oficina,41240,2005
IE0300116,Gerente de Riesgo,Oficina,77749,2003
IE0600117,Analista de Riesgo,Hibrido,54793,2006
IE2300118,Analista de Riesgo,Oficina,52237,2023
IE2000119,Analista de Riesgo,Remoto,39791,2020
IE0600120,Analista de Riesgo,Oficina,49935,2006
IE1400121,Gerente de Riesgo,Oficina,74886,2014
IE9900122,Gerente de Riesgo,Oficina,81763,1999
IE9300123,Gerente de Riesgo,Oficina,90587,1993
IE0400124,Analista de Riesgo,Oficina,46097,2004
IE1300125,Gerente de Riesgo,Oficina,97799,2013
IE9400126,Gerente de Riesgo,Hibrido,77483,1994
IE2500127,Gerente de Riesgo,Hibrido,77635,2025
IE1000128,Gerente de Riesgo,Oficina,89467,2010
IE9500129,Gerente de Riesgo,Oficina,77698,1995
IE0800130,Gerente de Riesgo,Hibrido,89011,2008
IE0400131,Analista de Riesgo,Remoto,39653,2004
IE9300132,Analista de Riesgo,Oficina,41453,1993
IE9300133,Analista de Riesgo,Oficina,39012,1993
IE9400134,Gerente de Riesgo,Hibrido,75279,1994
IE0100135,Gerente de Riesgo,Oficina,83596,2001
IE1600136,Gerente de Riesgo,Hibrido,91565,2016
IE9400137,Gerente de Riesgo,Oficina,91373,1994
IE9100138,Gerente de Riesgo,Hibrido,85963,1991
IE0400139,Analista de Riesgo,Hibrido,39488,2004
IE9500140,Analista de Riesgo,Oficina,44006,1995
IE1900141,Analista de Riesgo,Oficina,52096,2019
IE0400142,Analista de Riesgo,Oficina,39856,2004
IE1200143,Gerente de Riesgo,Hibrido,94880,2012
IE9100144,Analista de Riesgo,Oficina,52441,1991
IE0600145,Analista de Riesgo,Remoto,37369,2006
IE1200146,Gerente de Riesgo,Hibrido,82962,2012
IE0500147,Analista de Riesgo,Oficina,49867,2005
IE0000148,Gerente de Riesgo,Hibrido,97457,2000
IE0700149,Gerente de Riesgo,Hibrido,86114,2007
IE1000150,Analista de Riesgo,Oficina,38107,2010
IE1100151,Gerente de Riesgo,Hibrido,94386,2011
IE9200152,Gerente de Riesgo,Hibrido,88178,1992
IE2200153,Analista de Riesgo,Oficina,36247,2022
IE0500154,Analista de Riesgo,Remoto,46146,2005
IE1100155,Analista de Riesgo,Remoto,41011,2011
IE2100156,Gerente de Riesgo,Oficina,89214,2021
IE9500157,Gerente de Riesgo,Hibrido,86516,1995
IE2600158,Gerente de Riesgo,Oficina,91934,2026
IE0400159,Analista de Riesgo,Oficina,36393,2004
IE1900160,Gerente de Riesgo,Hibrido,90617,2019
IE9300161,Analista de Riesgo,Hibrido,52958,1993
IE1500162,Gerente de Riesgo,Oficina,95991,2015
IE1300163,Analista de Riesgo,Remoto,36094,2013
IE0600164,Gerente de Riesgo,Oficina,87091,2006
IE9900165,Analista de Riesgo,Hibrido,49269,1999
IE9800166,Analista de Riesgo,Oficina,53841,1998
IE2400167,Gerente de Riesgo,Oficina,93442,2024
IE2500168,Gerente de Riesgo,Hibrido,89696,2025
IE2500169,Analista de Riesgo,Hibrido,53250,2025
IE0700170,Gerente de Riesgo,Oficina,73118,2007
IE9200171,Analista de Riesgo,Oficina,42022,1992
IE1400172,Analista de Riesgo,Oficina,52099,2014
IE0500173,Gerente de Riesgo,Hibrido,95414,2005
IE1900174,Gerente de Riesgo,Hibrido,85208,2019
IE2400175,Analista de Riesgo,Hibrido,46369,2024
IE1900176,Gerente de Riesgo,Hibrido,93648,2019
IE1800177,Gerente de Riesgo,Hibrido,93441,2018
IE9400178,Gerente de Riesgo,Oficina,97404,1994
IE9500179,Analista de Riesgo,Oficina,40894,1995
IE1500180,Gerente de Riesgo,Hibrido,71981,2015
IE2000181,Gerente de Riesgo,Hibrido,71303,2020
IE9700182,Analista de Riesgo,Hibrido,44059,1997
IE0400183,Gerente de Riesgo,Oficina,92288,2004
IE9300184,Analista de Riesgo,Hibrido,50502,1993
IE1200185,Gerente de Riesgo,Hibrido,97386,2012
IE1700186,Gerente de Riesgo,Oficina,82243,2017
IE1700187,Gerente de Riesgo,Oficina,99543,2017
IE1500188,Gerente de Riesgo,Hibrido,98475,2015
IE9500189,Gerente de Riesgo,Hibrido,83063,1995
IE1500190,Gerente de Riesgo,Oficina,95834,2015
IE2500191,Analista de Riesgo,Remoto,37475,2025
IE9800192,Analista de Riesgo,Oficina,40578,1998
IE9300193,Gerente de Riesgo,Oficina,72563,1993
IE1700194,Gerente de Riesgo,Hibrido,81594,2017
IE0400195,Analista de Riesgo,Remoto,47359,2004
IE1500196,Analista de Riesgo,Remoto,48049,2015
IE1000197,Analista de Riesgo,Oficina,52744,2010
IE1000198,Gerente de Riesgo,Hibrido,78263,2010
IE0200199,Gerente de Riesgo,Oficina,80411,2002
IE1900200,Gerente de Riesgo,Oficina,76569,2019
IE0800201,Gerente de Riesgo,Hibrido,79830,2008
IE0400202,Gerente de Riesgo,Oficina,72316,2004
IE0300203,Gerente de Riesgo,Oficina,97595,2003
IE1800204,Gerente de Riesgo,Oficina,80033,2018
IE2200205,Analista de Riesgo,Oficina,35550,2022
IE9600206,Analista de Riesgo,Oficina,53977,1996
IE9700207,Analista de Riesgo,Oficina,47923,1997
IE2400208,Analista de Riesgo,Oficina,45745,2024
IE1800209,Analista de Riesgo,Remoto,40079,2018
IE9500210,Analista de Riesgo,Remoto,50459,1995
IE1200211,Gerente de Riesgo,Hibrido,75611,2012
IE9800212,Analista de Riesgo,Hibrido,49419,1998
IE9300213,Analista de Riesgo,Remoto,36896,1993
IE0300214,Gerente de Riesgo,Oficina,98068,2003
IE0700215,Gerente de Riesgo,Hibrido,85228,2007
IE2400216,Analista de Riesgo,Hibrido,53877,2024
IE9600217,Gerente de Riesgo,Hibrido,94919,1996
IE1200218,Gerente de Riesgo,Hibrido,94115,2012
IE2600219,Analista de Riesgo,Oficina,48457,2026
IE0500220,Analista de Riesgo,Oficina,41241,2005
IE0400221,Gerente de Riesgo,Oficina,78613,2004
IE1900222,Analista de Riesgo,Oficina,41427,2019
IE0300223,Gerente de Riesgo,Oficina,92398,2003
IE2300224,Analista de Riesgo,Hibrido,40710,2023
IE2000225,Analista de Riesgo,Hibrido,47854,2020
IE1500226,Gerente de Riesgo,Hibrido,87989,2015
IE0400227,Analista de Riesgo,Remoto,47852,2004
IE2400228,Gerente de Riesgo,Oficina,98645,2024
IE2300229,Gerente de Riesgo,Oficina,95584,2023
IE1300230,Gerente de Riesgo,Oficina,91938,2013
IE2500231,Analista de Riesgo,Oficina,48863,2025
IE2500232,Analista de Riesgo,Oficina,50192,2025
IE2400233,Gerente de Riesgo,Oficina,93780,2024
IE1500234,Gerente de Riesgo,Hibrido,94677,2015
IE0100235,Analista de Riesgo,Hibrido,53410,2001
IE9000236,Analista de Riesgo,Hibrido,42046,1990
IE0300237,Gerente de Riesgo,Hibrido,85342,2003
IE9900238,Analista de Riesgo,Remoto,35007,1999
IE9200239,Analista de Riesgo,Remoto,42300,1992
IE9000240,Gerente de Riesgo,Oficina,97743,1990
IE0600241,Gerente de Riesgo,Oficina,88684,2006
IE2300242,Gerente de Riesgo,Hibrido,73003,2023
IE1500243,Analista de Riesgo,Remoto,42041,2015
IE0800244,Analista de Riesgo,Remoto,51351,2008
IE1700245,Gerente de Riesgo,Oficina,81208,2017
IE0100246,Analista de Riesgo,Oficina,46807,2001
IE1300247,Analista de Riesgo,Hibrido,36687,2013
IE9200248,Analista de Riesgo,Remoto,40973,1992
IE2200249,Gerente de Riesgo,Hibrido,82772,2022
IE0600250,Gerente de Riesgo,Oficina,96941,2006
IE1600251,Gerente de Riesgo,Oficina,94054,2016
IE1200252,Analista de Riesgo,Hibrido,51203,2012
IE0100253,Gerente de Riesgo,Oficina,70196,2001
IE0900254,Analista de Riesgo,Remoto,42303,2009
IE1100255,Analista de Riesgo,Oficina,53574,2011
IE2500256,Gerente de Riesgo,Hibrido,93132,2025
IE1800257,Gerente de Riesgo,Hibrido,75666,2018
IE0100258,Gerente de Riesgo,Hibrido,75219,2001
IE0200259,Gerente de Riesgo,Oficina,84656,2002
IE2100260,Analista de Riesgo,Remoto,43488,2021
IE1500261,Analista de Riesgo,Remoto,52268,2015
IE0300262,Analista de Riesgo,Hibrido,50074,2003
IE9000263,Analista de Riesgo,Oficina,44437,1990
IE1200264,Gerente de Riesgo,Hibrido,81687,2012
IE0400265,Analista de Riesgo,Remoto,36700,2004
IE1100266,Gerente de Riesgo,Oficina,96577,2011
IE0500267,Analista de Riesgo,Hibrido,50116,2005
IE9300268,Analista de Riesgo,Hibrido,50516,1993
IE1100269,Gerente de Riesgo,Oficina,76764,2011
IE9500270,Analista de Riesgo,Remoto,43229,1995
IE0300271,Gerente de Riesgo,Oficina,77097,2003
IE9700272,Gerente de Riesgo,Hibrido,82376,1997
IE2500273,Gerente de Riesgo,Hibrido,93858,2025
IE9000274,Analista de Riesgo,Remoto,45519,1990
IE9500275,Analista de Riesgo,Hibrido,50102,1995
IE9000276,Analista de Riesgo,Oficina,37336,1990
IE9300277,Analista de Riesgo,Hibrido,41283,1993
IE1900278,Analista de Riesgo,Oficina,41242,2019
IE2300279,Analista de Riesgo,Hibrido,37330,2023
IE2600280,Analista de Riesgo,Remoto,42808,2026
IE1700281,Gerente de Riesgo,Hibrido,99024,2017
IE0600282,Analista de Riesgo,Remoto,53857,2006
IE9800283,Gerente de Riesgo,Oficina,94135,1998
IE1600284,Analista de Riesgo,Remoto,35186,2016
IE0900285,Analista de Riesgo,Remoto,47561,2009
IE1000286,Analista de Riesgo,Hibrido,37372,2010
IE1800287,Analista de Riesgo,Oficina,41944,2018
IE9400288,Analista de Riesgo,Oficina,52548,1994
IE2100289,Analista de Riesgo,Remoto,46304,2021
IE0300290,Gerente de Riesgo,Oficina,95248,2003
IE1600291,Gerente de Riesgo,Oficina,71610,2016
IE9100292,Gerente de Riesgo,Oficina,90578,1991
IE2100293,Analista de Riesgo,Oficina,52386,2021
IE2100294,Gerente de Riesgo,Hibrido,73006,2021
IE0300295,Analista de Riesgo,Oficina,35661,2003
IE1000296,Analista de Riesgo,Oficina,54906,2010
IE9000297,Analista de Riesgo,Hibrido,46760,1990
IE0800298,Gerente de Riesgo,Oficina,96067,2008
IE1500299,Analista de Riesgo,Oficina,39037,2015
IE9200300,Analista de Riesgo,Oficina,52696,1992
IE1100301,Analista de Riesgo,Hibrido,41429,2011
IE9600302,Gerente de Riesgo,Oficina,93638,1996
IE9700303,Gerente de Riesgo,Oficina,90720,1997
IE9700304,Gerente de Riesgo,Hibrido,82718,1997
IE0600305,Gerente de Riesgo,Hibrido,86804,2006
IE9900306,Gerente de Riesgo,Oficina,97558,1999
IE0500307,Analista de Riesgo,Hibrido,48604,2005
IE9700308,Analista de Riesgo,Remoto,48774,1997
IE9900309,Analista de Riesgo,Hibrido,45790,1999
IE2100310,Analista de Riesgo,Remoto,53436,2021
IE2200311,Analista de Riesgo,Oficina,47545,2022
IE0700312,Gerente de Riesgo,Hibrido,94598,2007
IE1700313,Gerente de Riesgo,Oficina,79126,2017
IE2300314,Gerente de Riesgo,Hibrido,87648,2023
IE2000315,Gerente de Riesgo,Hibrido,86508,2020
IE0700316,Gerente de Riesgo,Hibrido,90421,2007
IE0500317,Analista de Riesgo,Hibrido,54018,2005
IE2000318,Gerente de Riesgo,Oficina,95395,2020
IE9600319,Analista de Riesgo,Hibrido,45870,1996
IE1100320,Gerente de Riesgo,Oficina,83907,2011
IE1800321,Analista de Riesgo,Hibrido,45976,2018
IE9500322,Gerente de Riesgo,Hibrido,81212,1995
IE9800323,Analista de Riesgo,Hibrido,45375,1998
IE0900324,Analista de Riesgo,Remoto,39024,2009
IE0000325,Analista de Riesgo,Remoto,42187,2000
IE2500326,Analista de Riesgo,Remoto,44221,2025
IE0100327,Gerente de Riesgo,Hibrido,77066,2001
IE9200328,Gerente de Riesgo,Hibrido,76255,1992
IE2500329,Gerente de Riesgo,Oficina,91617,2025
IE9500330,Gerente de Riesgo,Hibrido,91489,1995
IE2300331,Gerente de Riesgo,Oficina,87366,2023
IE9400332,Analista de Riesgo,Oficina,54417,1994
IE9700333,Analista de Riesgo,Oficina,51430,1997
IE2100334,Gerente de Riesgo,Oficina,90045,2021
IE1000335,Gerente de Riesgo,Oficina,78252,2010
IE9100336,Gerente de Riesgo,Hibrido,82480,1991
IE0600337,Analista de Riesgo,Oficina,44902,2006
IE1800338,Gerente de Riesgo,Oficina,89280,2018
IE0100339,Gerente de Riesgo,Oficina,83131,2001
IE0100340,Gerente de Riesgo,Hibrido,79780,2001
IE0300341,Gerente de Riesgo,Oficina,88691,2003
IE2200342,Gerente de Riesgo,Oficina,94404,2022
IE9500343,Analista de Riesgo,Hibrido,48188,1995
IE0700344,Analista de Riesgo,Oficina,42261,2007
IE1100345,Analista de Riesgo,Oficina,36779,2011
IE0100346,Gerente de Riesgo,Oficina,90830,2001
IE0000347,Gerente de Riesgo,Hibrido,97936,2000
IE9000348,Analista de Riesgo,Remoto,40891,1990
IE9600349,Analista de Riesgo,Remoto,37296,1996
IE0800350,Analista de Riesgo,Remoto,38265,2008
IE9200351,Analista de Riesgo,Hibrido,47562,1992
IE0400352,Gerente de Riesgo,Hibrido,85268,2004
IE9200353,Analista de Riesgo,Remoto,54177,1992
IE1100354,Analista de Riesgo,Remoto,44935,2011
IE9400355,Analista de Riesgo,Oficina,49833,1994
IE0100356,Gerente de Riesgo,Hibrido,74834,2001
IE0100357,Analista de Riesgo,Oficina,49250,2001
IE0000358,Analista de Riesgo,Remoto,53111,2000
IE9700359,Analista de Riesgo,Oficina,53915,1997
IE9900360,Analista de Riesgo,Remoto,37716,1999
IE9500361,Gerente de Riesgo,Oficina,95057,1995
IE1200362,Gerente de Riesgo,Hibrido,98579,2012
IE9300363,Gerente de Riesgo,Hibrido,99462,1993
IE0500364,Analista de Riesgo,Oficina,37538,2005
IE1300365,Gerente de Riesgo,Oficina,76533,2013
IE0900366,Gerente de Riesgo,Hibrido,96758,2009
IE9200367,Analista de Riesgo,Oficina,36669,1992
IE0200368,Gerente de Riesgo,Oficina,74237,2002
IE9000369,Gerente de Riesgo,Hibrido,82476,1990
IE0300370,Gerente de Riesgo,Hibrido,90875,2003
IE2100371,Gerente de Riesgo,Oficina,87520,2021
IE9300372,Gerente de Riesgo,Oficina,81113,1993
IE0000373,Gerente de Riesgo,Hibrido,96902,2000
IE1500374,Gerente de Riesgo,Oficina,96135,2015
IE9600375,Gerente de Riesgo,Hibrido,82231,1996
IE1000376,Analista de Riesgo,Remoto,45507,2010
IE2000377,Analista de Riesgo,Hibrido,46246,2020
IE0100378,Gerente de Riesgo,Oficina,94916,2001
IE1700379,Gerente de Riesgo,Hibrido,76071,2017
IE1300380,Gerente de Riesgo,Hibrido,93953,2013
IE0200381,Analista de Riesgo,Hibrido,48875,2002
IE9100382,Gerente de Riesgo,Oficina,86450,1991
IE0600383,Analista de Riesgo,Oficina,41352,2006
IE9700384,Gerente de Riesgo,Hibrido,86069,1997
IE9300385,Gerente de Riesgo,Hibrido,96332,1993
IE0200386,Analista de Riesgo,Remoto,52924,2002
IE1700387,Analista de Riesgo,Remoto,45123,2017
IE0000388,Gerente de Riesgo,Oficina,87508,2000
IE2000389,Gerente de Riesgo,Hibrido,92007,2020
IE9600390,Gerente de Riesgo,Oficina,86047,1996
IE9000391,Analista de Riesgo,Remoto,37353,1990
IE0200392,Gerente de Riesgo,Hibrido,90653,2002
IE0100393,Analista de Riesgo,Oficina,51334,2001
IE9600394,Gerente de Riesgo,Hibrido,72823,1996
IE1300395,Analista de Riesgo,Oficina,41993,2013
IE1500396,Gerente de Riesgo,Hibrido,88493,2015
IE1400397,Gerente de Riesgo,Oficina,74500,2014
IE9700398,Gerente de Riesgo,Hibrido,90880,1997
IE2100399,Gerente de Riesgo,Hibrido,98068,2021
IE2400400,Analista de Riesgo,Hibrido,49580,2024
IE1200401,Analista de Riesgo,Oficina,35807,2012
IE0400402,Gerente de Riesgo,Hibrido,93573,2004
IE2600403,Analista de Riesgo,Remoto,44646,2026
IE0800404,Analista de Riesgo,Remoto,44755,2008
IE2500405,Analista de Riesgo,Oficina,39560,2025
IE1400406,Gerente de Riesgo,Hibrido,84141,2014
IE9300407,Analista de Riesgo,Oficina,37217,1993
IE9600408,Gerente de Riesgo,Oficina,82169,1996
IE9200409,Gerente de Riesgo,Hibrido,79516,1992
IE1300410,Analista de Riesgo,Remoto,46027,2013
IE1800411,Gerente de Riesgo,Hibrido,87395,2018
IE0200412,Analista de Riesgo,Oficina,41137,2002
IE0400413,Gerente de Riesgo,Hibrido,93332,2004
IE0400414,Gerente de Riesgo,Oficina,96273,2004
IE1200415,Gerente de Riesgo,Hibrido,84033,2012
IE9800416,Analista de Riesgo,Oficina,43802,1998
IE9900417,Gerente de Riesgo,Hibrido,93119,1999
IE1900418,Gerente de Riesgo,Hibrido,80461,2019
IE0200419,Gerente de Riesgo,Oficina,96592,2002
IE9500420,Gerente de Riesgo,Hibrido,78438,1995
IE0600421,Gerente de Riesgo,Hibrido,72415,2006
IE1300422,Analista de Riesgo,Oficina,49138,2013
IE1100423,Gerente de Riesgo,Oficina,98229,2011
IE2400424,Gerente de Riesgo,Hibrido,99026,2024
IE0500425,Gerente de Riesgo,Oficina,87340,2005
IE0500426,Gerente de Riesgo,Hibrido,81087,2005
IE1100427,Gerente de Riesgo,Hibrido,82922,2011
IE2300428,Gerente de Riesgo,Oficina,75224,2023
IE1400429,Analista de Riesgo,Oficina,54731,2014
IE1300430,Gerente de Riesgo,Hibrido,90713,2013
IE1700431,Gerente de Riesgo,Oficina,93795,2017
IE2500432,Analista de Riesgo,Remoto,42245,2025
IE9400433,Analista de Riesgo,Oficina,42529,1994
IE1200434,Gerente de Riesgo,Hibrido,81806,2012
IE9300435,Analista de Riesgo,Hibrido,50760,1993
IE9000436,Gerente de Riesgo,Oficina,72313,1990
IE0800437,Gerente de Riesgo,Oficina,90535,2008
IE2100438,Analista de Riesgo,Oficina,37053,2021
IE9700439,Gerente de Riesgo,Hibrido,94625,1997
IE0700440,Analista de Riesgo,Oficina,51831,2007
IE1700441,Analista de Riesgo,Remoto,54442,2017
IE0500442,Analista de Riesgo,Oficina,41903,2005
IE0500443,Analista de Riesgo,Oficina,44671,2005
IE1700444,Gerente de Riesgo,Hibrido,74822,2017
IE0800445,Analista de Riesgo,Hibrido,49455,2008
IE2300446,Analista de Riesgo,Remoto,46049,2023
IE2500447,Gerente de Riesgo,Hibrido,86542,2025
IE0600448,Analista de Riesgo,Oficina,46120,2006
IE1100449,Gerente de Riesgo,Hibrido,82252,2011
IE2600450,Analista de Riesgo,Remoto,54041,2026
IE9700451,Gerente de Riesgo,Oficina,73929,1997
IE0000452,Analista de Riesgo,Hibrido,45056,2000
IE1200453,Gerente de Riesgo,Oficina,71609,2012
IE0100454,Gerente de Riesgo,Hibrido,91518,2001
IE0300455,Gerente de Riesgo,Hibrido,83429,2003
IE0500456,Analista de Riesgo,Remoto,53157,2005
IE9800457,Analista de Riesgo,Remoto,36671,1998
IE1700458,Gerente de Riesgo,Hibrido,77075,2017
IE0500459,Gerente de Riesgo,Hibrido,71764,2005
IE0200460,Analista de Riesgo,Oficina,52469,2002
IE9300461,Analista de Riesgo,Oficina,48701,1993
IE9700462,Analista de Riesgo,Oficina,46679,1997
IE1800463,Gerente de Riesgo,Oficina,91909,2018
IE2000464,Analista de Riesgo,Hibrido,50448,2020
IE1500465,Gerente de Riesgo,Oficina,92870,2015
IE0500466,Gerente de Riesgo,Oficina,82008,2005
IE1600467,Gerente de Riesgo,Hibrido,75695,2016
IE9700468,Analista de Riesgo,Oficina,40583,1997
IE9300469,Gerente de Riesgo,Hibrido,85912,1993
IE0400470,Gerente de Riesgo,Oficina,70324,2004
IE2400471,Gerente de Riesgo,Oficina,86722,2024
IE0400472,Gerente de Riesgo,Hibrido,85761,2004
IE0600473,Analista de Riesgo,Hibrido,52875,2006
IE9100474,Gerente de Riesgo,Hibrido,76764,1991
IE9500475,Analista de Riesgo,Remoto,52638,1995
IE1200476,Gerente de Riesgo,Oficina,71010,2012
IE0000477,Analista de Riesgo,Oficina,43722,2000
IE0900478,Gerente de Riesgo,Oficina,96902,2009
IE1200479,Analista de Riesgo,Hibrido,44829,2012
IE1800480,Gerente de Riesgo,Oficina,93703,2018
IE9300481,Analista de Riesgo,Hibrido,40933,1993
IE0400482,Analista de Riesgo,Remoto,37494,2004
IE9500483,Analista de Riesgo,Hibrido,44143,1995
IE1500484,Gerente de Riesgo,Oficina,70005,2015
IE2500485,Gerente de Riesgo,Oficina,94551,2025
IE9300486,Gerente de Riesgo,Hibrido,71110,1993
IE2000487,Analista de Riesgo,Oficina,38145,2020
IE1200488,Gerente de Riesgo,Hibrido,98574,2012
IE9300489,Gerente de Riesgo,Hibrido,88721,1993
IE1900490,Gerente de Riesgo,Hibrido,79698,2019
IE9800491,Gerente de Riesgo,Oficina,75032,1998
IE2200492,Gerente de Riesgo,Hibrido,96446,2022
IE1800493,Analista de Riesgo,Oficina,42922,2018
IE9100494,Analista de Riesgo,Remoto,51936,1991
IE9600495,Analista de Riesgo,Hibrido,35740,1996
IE2600496,Especialista RRHH,Remoto,30514,2026
IE0400497,HR Business Partner,Oficina,44512,2004
IE9600498,HR Business Partner,Remoto,42927,1996
IE1400499,Especialista RRHH,Hibrido,34726,2014
IE2400500,Especialista RRHH,Remoto,30669,2024
IE9100501,HR Business Partner,Hibrido,44663,1991
IE0800502,HR Business Partner,Remoto,43599,2008
IE0000503,Especialista RRHH,Hibrido,34674,2000
IE0300504,Especialista RRHH,Hibrido,33699,2003
IE9500505,Especialista RRHH,Hibrido,41759,1995
IE0500506,Especialista RRHH,Oficina,43114,2005
IE9400507,HR Business Partner,Oficina,52633,1994
IE9000508,Especialista RRHH,Hibrido,41740,1990
