numero_empleado,CBI_Q1,CBI_Q2,CBI_Q3,CBI_Q4,CBI_Q5,CBI_Q6,CBI_Q7,CBI_Q8,CBI_Q9,CBI_Q10,CBI_Q11,CBI_Q12,CBI_Q13,CBI_Q14,CBI_Q15,CBI_Q16,CBI_Q17,CBI_Q18,CBI_Q19
IE0203308,Siempre,A veces,Nunca,A veces,Siempre,A veces,Siempre,Siempre,Raramente,Nunca,A menudo,A menudo,A veces,Raramente,A veces,A veces,A menudo,Siempre,Raramente
IE0700578,Raramente,Nunca,A veces,A menudo,A veces,Raramente,Raramente,Raramente,Nunca,Siempre,Raramente,A menudo,Nunca,A menudo,A veces,Siempre,A veces,A veces,Raramente
IE1705290,Raramente,Nunca,A menudo,Nunca,A veces,A menudo,A menudo,A menudo,Siempre,A menudo,Nunca,Raramente,A veces,Raramente,A menudo,A veces,Siempre,A menudo,Raramente
IE1304687,A veces,A menudo,Raramente,A menudo,A veces,A veces,A menudo,Raramente,Raramente,Siempre,A menudo,Raramente,A menudo,Raramente,Nunca,A veces,A menudo,A veces,Siempre
IE9700849,A menudo,A veces,Raramente,A menudo,A menudo,Nunca,Raramente,A veces,Raramente,Nunca,A menudo,A menudo,A menudo,Raramente,A menudo,A veces,A menudo,Raramente,A menudo
IE1504693,Siempre,Raramente,Siempre,A veces,A veces,A veces,A menudo,A menudo,Siempre,Siempre,A veces,Raramente,Nunca,A menudo,A menudo,A veces,Siempre,A veces,A menudo
IE0502119,Raramente,A veces,Nunca,A menudo,A veces,A veces,A menudo,A veces,A menudo,Raramente,A menudo,Siempre,A veces,Raramente,Raramente,A menudo,A menudo,Nunca,A menudo
IE9704059,Siempre,A menudo,A veces,A veces,Siempre,Nunca,Nunca,A veces,Siempre,A veces,A menudo,A veces,Nunca,A menudo,Raramente,Raramente,Siempre,A menudo,Nunca
IE0902553,A veces,Raramente,Nunca,A veces,A veces,Nunca,Raramente,Siempre,A veces,Nunca,Raramente,A menudo,Siempre,A menudo,A menudo,Siempre,A veces,Raramente,Raramente
IE1400545,Siempre,Siempre,Raramente,Nunca,A menudo,A veces,Raramente,Raramente,Raramente,A veces,A menudo,A menudo,Siempre,A veces,Raramente,Nunca,A menudo,A menudo,Raramente
IE9001965,A menudo,A veces,A menudo,Raramente,Raramente,A menudo,A menudo,A veces,A veces,Siempre,A menudo,Siempre,Raramente,A menudo,Raramente,A veces,Raramente,A menudo,A menudo
IE1401003,Siempre,Raramente,Siempre,A veces,Siempre,A veces,A veces,A veces,A veces,Siempre,Raramente,Siempre,A veces,Raramente,Siempre,Siempre,Siempre,Nunca,A menudo
IE0600448,Nunca,A veces,A veces,A menudo,Siempre,A menudo,Siempre,Siempre,Siempre,Nunca,A menudo,A veces,A menudo,Raramente,A menudo,A veces,Siempre,Siempre,Raramente
IE2302421,Raramente,A veces,Raramente,A veces,Siempre,A veces,Raramente,Siempre,A veces,A veces,Siempre,A veces,A menudo,A menudo,Siempre,Nunca,A veces,Raramente,A menudo
IE0304182,A menudo,A veces,Nunca,A veces,A veces,Raramente,A menudo,A veces,A veces,A menudo,Raramente,Raramente,A veces,Nunca,A veces,Siempre,A veces,Raramente,A menudo
IE0504525,A menudo,Siempre,Raramente,Raramente,A menudo,A veces,A menudo,Siempre,A veces,Siempre,Siempre,A veces,A veces,A veces,Raramente,A menudo,Siempre,Nunca,A menudo
IE1103241,A veces,A veces,Raramente,Siempre,A menudo,A veces,A veces,Raramente,A menudo,Raramente,A veces,Siempre,A menudo,Nunca,A menudo,A veces,Raramente,A menudo,A menudo
IE9401922,Raramente,A veces,A menudo,Raramente,Raramente,Siempre,Raramente,Siempre,Raramente,Nunca,A menudo,A menudo,Siempre,A menudo,A veces,Siempre,Nunca,Siempre,A menudo
IE2604472,Raramente,Siempre,Nunca,Raramente,A veces,A menudo,A veces,A menudo,Raramente,Raramente,A menudo,A menudo,A menudo,A veces,Raramente,A veces,A menudo,A menudo,A menudo
IE9505343,A veces,A veces,Raramente,A menudo,A menudo,Siempre,A veces,A menudo,Nunca,A menudo,Siempre,A veces,A menudo,A veces,Raramente,A menudo,Siempre,Raramente,Raramente
IE0205370,Raramente,Raramente,A menudo,A menudo,A veces,Raramente,Siempre,A veces,A menudo,Raramente,Siempre,Raramente,Nunca,A menudo,A menudo,Raramente,A menudo,A veces,Siempre
IE1902859,Raramente,Nunca,A veces,A veces,Raramente,A menudo,Siempre,A veces,Nunca,Raramente,Nunca,Siempre,Siempre,A menudo,Siempre,Raramente,A veces,Nunca,A menudo
IE9302949,A menudo,A veces,Nunca,Raramente,A menudo,A veces,A veces,A veces,A veces,A veces,Nunca,Siempre,Nunca,A veces,Siempre,A veces,A veces,A menudo,Raramente
IE0400352,A menudo,A veces,Nunca,Raramente,Raramente,A menudo,A veces,Siempre,Raramente,Raramente,Raramente,Nunca,A menudo,A menudo,Raramente,Raramente,Siempre,Raramente,Siempre
IE0102178,Siempre,A veces,A veces,A veces,A veces,Raramente,Siempre,Raramente,A veces,A menudo,Raramente,Raramente,Raramente,Raramente,Nunca,Raramente,A veces,A menudo,Raramente
IE1602623,Nunca,Raramente,A menudo,A menudo,Siempre,Nunca,A veces,Nunca,Nunca,Siempre,Raramente,Siempre,A menudo,A veces,Raramente,Siempre,Nunca,Siempre,Siempre
IE9702060,Raramente,Nunca,Siempre,A veces,Siempre,A veces,Raramente,A menudo,A veces,Nunca,A menudo,Nunca,A menudo,A menudo,A menudo,Siempre,Raramente,A veces,Raramente
IE2103668,A veces,Siempre,A veces,A veces,A menudo,Siempre,Raramente,A menudo,A veces,A menudo,Raramente,Raramente,Nunca,A menudo,Siempre,Nunca,A menudo,A menudo,A veces
IE9101778,A menudo,A veces,Raramente,A veces,A menudo,Siempre,A veces,Raramente,A veces,Raramente,A veces,Siempre,Siempre,A veces,Siempre,Raramente,Siempre,A veces,A veces
IE1404679,A menudo,A menudo,A menudo,Raramente,Nunca,A menudo,Nunca,Raramente,A veces,A veces,Nunca,Raramente,A menudo,Raramente,A menudo,A veces,Siempre,A menudo,Nunca
IE2304929,A veces,A veces,Nunca,Raramente,Siempre,Siempre,Siempre,A menudo,A menudo,Siempre,A menudo,Siempre,A veces,Raramente,Raramente,Raramente,Nunca,Raramente,A menudo
IE1003244,A menudo,Nunca,A veces,A veces,Siempre,Raramente,A menudo,A menudo,Nunca,A menudo,A menudo,A veces,Raramente,Raramente,Nunca,Raramente,Raramente,Nunca,A menudo
IE9801034,A veces,A veces,Raramente,Siempre,Nunca,A menudo,A menudo,A veces,Nunca,A menudo,A veces,A veces,A menudo,A veces,Nunca,Siempre,Siempre,A menudo,A veces
IE0303045,Raramente,A veces,A menudo,A veces,Siempre,A veces,A menudo,Siempre,A veces,Raramente,A menudo,Raramente,A veces,A veces,A veces,A menudo,A veces,Nunca,A menudo
IE1805327,Nunca,A menudo,Nunca,Siempre,A menudo,Raramente,A veces,Raramente,A menudo,Siempre,Raramente,A veces,A menudo,Raramente,A veces,A menudo,A veces,A menudo,A veces
IE0100080,Raramente,Raramente,A veces,A menudo,Raramente,A menudo,Raramente,A menudo,A veces,A menudo,Siempre,Raramente,A veces,A veces,A veces,A veces,Siempre,A veces,A veces
IE9701048,A menudo,Siempre,A veces,Raramente,A veces,Nunca,A menudo,A veces,A veces,Siempre,Raramente,A veces,Raramente,Raramente,A veces,Nunca,A veces,A menudo,Nunca
IE2501336,Nunca,Raramente,A menudo,A veces,Siempre,A veces,A veces,A menudo,A veces,A menudo,Siempre,Siempre,Nunca,Siempre,A veces,A menudo,A veces,A menudo,Siempre
IE0704379,A veces,A menudo,A menudo,A menudo,Raramente,Raramente,Nunca,A menudo,A veces,A menudo,A veces,Raramente,A veces,Siempre,A veces,A veces,A veces,A menudo,Siempre
IE0704230,A veces,Raramente,A veces,A veces,A veces,Raramente,Nunca,A menudo,Siempre,Raramente,A menudo,A veces,Nunca,Nunca,Raramente,A menudo,Siempre,Nunca,A menudo
IE0301438,Raramente,A menudo,A menudo,Raramente,A menudo,Siempre,Siempre,A veces,Raramente,Raramente,A menudo,Nunca,A veces,Siempre,A veces,A menudo,A veces,Raramente,Raramente
IE0000927,A veces,Siempre,A menudo,A veces,A menudo,Nunca,A menudo,Siempre,Raramente,A menudo,Nunca,A menudo,Raramente,A veces,Nunca,Nunca,A menudo,Raramente,A veces
IE9103008,Raramente,A menudo,A veces,Nunca,A veces,Siempre,A veces,A veces,Raramente,A menudo,A veces,A veces,Raramente,A menudo,A veces,A menudo,A veces,A veces,A veces
IE0702544,A menudo,A veces,A veces,Nunca,A veces,Raramente,Nunca,A menudo,Raramente,A menudo,Raramente,A veces,A veces,Nunca,Nunca,A veces,Nunca,A veces,A veces
IE0401074,Nunca,Raramente,A menudo,A veces,A menudo,Raramente,Raramente,A menudo,Siempre,Siempre,A veces,Siempre,Raramente,A veces,Siempre,A veces,Siempre,A veces,A veces
IE1800890,A menudo,A veces,Nunca,A veces,Siempre,A menudo,A menudo,Raramente,Siempre,Raramente,Nunca,A veces,A menudo,A menudo,Siempre,Raramente,Siempre,Siempre,A veces
IE0402438,Raramente,A veces,Nunca,Raramente,A veces,Raramente,A veces,A veces,Raramente,Nunca,A veces,A veces,A veces,A veces,A menudo,A menudo,A veces,A menudo,Raramente
IE9204303,A veces,A veces,Raramente,Siempre,Raramente,A veces,A veces,Siempre,Siempre,A veces,Siempre,A veces,A veces,A menudo,Siempre,A menudo,Nunca,Raramente,Siempre
IE1600291,Raramente,Raramente,Nunca,A menudo,A menudo,A veces,Siempre,Siempre,Siempre,A menudo,Raramente,A veces,A menudo,A menudo,Raramente,Raramente,A menudo,Nunca,A veces
IE2202413,A veces,A veces,Raramente,Nunca,A menudo,A menudo,Raramente,A menudo,Raramente,Nunca,Nunca,A menudo,Raramente,A veces,A veces,A menudo,Siempre,A menudo,Raramente
IE0702583,Raramente,Nunca,Raramente,A veces,A veces,A menudo,Nunca,A menudo,A veces,A menudo,A menudo,Nunca,Nunca,Raramente,A veces,A menudo,A menudo,A veces,Raramente
IE9005273,Raramente,Raramente,A menudo,A veces,A menudo,A menudo,Siempre,A menudo,A veces,A menudo,Raramente,A veces,A menudo,A veces,A veces,A veces,A veces,Raramente,Raramente
IE0502228,A veces,A veces,Siempre,A menudo,A veces,Raramente,Nunca,A menudo,Raramente,A menudo,Siempre,A veces,A veces,A veces,A veces,Siempre,A veces,A veces,Raramente
IE0902930,A veces,Nunca,Raramente,A menudo,A veces,Raramente,Siempre,Raramente,Raramente,Raramente,A menudo,Raramente,A veces,A veces,Raramente,A menudo,A menudo,Nunca,Raramente
IE9502407,Raramente,Raramente,Raramente,A veces,A veces,Nunca,A menudo,Raramente,A veces,Siempre,Siempre,A menudo,A menudo,A veces,A menudo,A veces,A veces,A veces,A veces
IE9602292,A menudo,Nunca,Raramente,Siempre,A menudo,A veces,Raramente,A veces,Nunca,A menudo,A veces,A veces,A veces,Raramente,A menudo,A veces,A menudo,Siempre,A veces
IE0105027,A menudo,Raramente,A veces,Raramente,Nunca,Siempre,Nunca,Siempre,A menudo,A menudo,A veces,Raramente,A menudo,A menudo,A menudo,A veces,A menudo,A menudo,A veces
IE1803077,Raramente,A menudo,A veces,A menudo,A menudo,Siempre,A menudo,A menudo,A veces,Raramente,A veces,A menudo,A veces,A menudo,Nunca,Raramente,A veces,A menudo,A menudo
IE9802229,Raramente,A menudo,Nunca,Raramente,A veces,Raramente,Raramente,Siempre,Nunca,A veces,A menudo,Siempre,A veces,Siempre,A menudo,Siempre,A veces,A veces,A menudo
IE0701613,A menudo,A veces,Raramente,A veces,Siempre,A menudo,Siempre,Siempre,A veces,A menudo,A veces,A menudo,A veces,A menudo,Raramente,Raramente,Raramente,Siempre,Raramente
IE9903063,A menudo,A menudo,A menudo,A veces,A menudo,Raramente,A menudo,A veces,Raramente,A veces,A veces,A menudo,A veces,A menudo,A menudo,Raramente,A veces,A veces,A veces
IE0500426,A veces,A menudo,A veces,A menudo,Raramente,A veces,A menudo,Raramente,Siempre,A veces,Raramente,Raramente,Nunca,A veces,Raramente,Siempre,Raramente,A veces,A veces
IE9100706,A veces,Nunca,A veces,A menudo,A menudo,A veces,Raramente,A veces,Siempre,A veces,Siempre,A menudo,A menudo,A menudo,A menudo,A veces,A menudo,Raramente,Raramente
IE1605136,Siempre,A menudo,A veces,A veces,A veces,Siempre,A veces,Raramente,Raramente,Raramente,A menudo,Nunca,A menudo,Raramente,A menudo,A veces,Raramente,Raramente,A veces
IE0801880,Siempre,Siempre,Raramente,Raramente,A menudo,Siempre,A veces,A menudo,A veces,Siempre,A veces,A menudo,A menudo,Nunca,Raramente,Raramente,A veces,Nunca,Raramente
IE1803404,Raramente,A menudo,Nunca,Siempre,A menudo,A veces,A veces,A menudo,A menudo,Siempre,A menudo,A veces,A menudo,Raramente,Nunca,Raramente,A veces,A veces,A menudo
IE1104609,A veces,A menudo,A veces,Siempre,A menudo,Raramente,A menudo,Siempre,Nunca,Siempre,A menudo,Raramente,A menudo,A veces,Siempre,Siempre,Raramente,A veces,Siempre
IE2501618,Siempre,A veces,Raramente,A veces,A menudo,A veces,A veces,A veces,A menudo,A menudo,Siempre,Siempre,Nunca,Nunca,Raramente,A menudo,A veces,Raramente,A menudo
IE0601878,A veces,A veces,A menudo,Nunca,Siempre,Raramente,Raramente,Raramente,Raramente,Siempre,Siempre,A menudo,Raramente,A menudo,A menudo,A veces,A menudo,A menudo,A veces
IE1804012,A veces,A menudo,Siempre,A veces,A veces,A veces,A veces,A menudo,Nunca,Raramente,Raramente,A veces,A veces,Nunca,A menudo,Raramente,A menudo,Raramente,A menudo
IE0604094,Siempre,A menudo,A menudo,A menudo,Siempre,Raramente,Nunca,A veces,A veces,Siempre,A menudo,A veces,Raramente,A menudo,A veces,A veces,Siempre,A veces,Raramente
IE1802944,Raramente,Nunca,A veces,A menudo,A veces,Raramente,A veces,Nunca,A menudo,Nunca,A menudo,A veces,Raramente,Nunca,A veces,Raramente,A veces,Raramente,A veces
IE9003579,Raramente,Nunca,Raramente,A menudo,Raramente,Raramente,A menudo,A menudo,A menudo,A veces,Nunca,A menudo,Siempre,Nunca,A menudo,A menudo,A veces,Nunca,Nunca
IE1901823,Siempre,Nunca,Nunca,A veces,A veces,Siempre,A veces,A menudo,Nunca,Raramente,A veces,Nunca,A menudo,A veces,A veces,Raramente,A menudo,A veces,Raramente
IE0702572,A menudo,Nunca,A veces,Nunca,A veces,Raramente,A menudo,Nunca,A menudo,Nunca,Nunca,A menudo,A menudo,Raramente,Raramente,Siempre,A menudo,Raramente,Nunca
IE2600280,A veces,Siempre,Raramente,Raramente,Raramente,A menudo,A menudo,Raramente,Nunca,Siempre,A veces,Siempre,A veces,Siempre,Raramente,Raramente,A veces,Nunca,A veces
IE0800016,A menudo,A veces,Siempre,Nunca,Raramente,A veces,Siempre,A veces,Raramente,Raramente,A menudo,A veces,A menudo,A menudo,A veces,Siempre,A veces,A menudo,A veces
IE0102211,A menudo,A menudo,Raramente,A menudo,Siempre,A menudo,A veces,Siempre,A veces,Raramente,Siempre,Siempre,Siempre,A menudo,A menudo,Raramente,A menudo,A menudo,A veces
IE2401870,Raramente,A menudo,A menudo,A menudo,Raramente,Raramente,Raramente,A veces,A veces,A veces,A menudo,Siempre,Raramente,Nunca,A veces,Raramente,A menudo,A veces,A menudo
IE9002488,A veces,Raramente,A veces,Raramente,A veces,Siempre,Nunca,Raramente,A menudo,Raramente,Siempre,Raramente,A menudo,Siempre,A veces,Raramente,Raramente,A menudo,Nunca
IE1704761,A menudo,A menudo,A veces,A menudo,A menudo,Nunca,A veces,A veces,A menudo,A menudo,Siempre,Siempre,Nunca,Raramente,A menudo,Raramente,Raramente,Raramente,Raramente
IE2000765,A veces,A veces,A menudo,A veces,Siempre,Raramente,Raramente,Raramente,Siempre,A menudo,Raramente,Siempre,A menudo,Nunca,Siempre,A veces,A veces,A veces,Nunca
IE1102587,A veces,Raramente,Nunca,A veces,A veces,A veces,Raramente,A veces,Siempre,A veces,A veces,Nunca,A menudo,Siempre,A menudo,A menudo,A veces,Nunca,Nunca
IE1401644,Raramente,A menudo,Raramente,Raramente,Siempre,A menudo,A menudo,A veces,Siempre,Siempre,A menudo,A veces,A menudo,Raramente,A menudo,Raramente,Nunca,Siempre,A menudo
IE1203839,A menudo,Raramente,A veces,Nunca,Raramente,A veces,Nunca,A menudo,Nunca,A menudo,A menudo,Raramente,A veces,A menudo,Siempre,Raramente,Nunca,A menudo,A veces
IE2404563,A menudo,A menudo,A veces,Raramente,Raramente,A menudo,A menudo,Raramente,Siempre,A veces,Nunca,A menudo,A veces,A veces,Raramente,A menudo,Siempre,Raramente,Siempre
IE0202465,A menudo,Siempre,A veces,A menudo,Siempre,A veces,A menudo,A menudo,A menudo,Nunca,Raramente,Raramente,Siempre,Siempre,A menudo,A menudo,A veces,A menudo,Raramente
IE0100697,Siempre,A veces,A menudo,Siempre,Nunca,Raramente,Nunca,A veces,Siempre,A veces,A veces,A veces,A veces,Raramente,Siempre,Nunca,A menudo,Siempre,A menudo
IE2401666,Siempre,Raramente,A menudo,Raramente,A veces,A menudo,A menudo,A menudo,Raramente,A veces,Nunca,A menudo,Raramente,A menudo,A veces,A veces,Siempre,Raramente,Siempre
IE1701245,A veces,Raramente,A veces,Raramente,Raramente,A menudo,A menudo,Raramente,A veces,A veces,A veces,A veces,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,A veces
IE0900085,A veces,A veces,Siempre,A menudo,Nunca,Raramente,A veces,Nunca,Siempre,Raramente,Raramente,Siempre,A menudo,Raramente,Nunca,A menudo,Siempre,A menudo,A veces
IE1604682,A veces,Nunca,Raramente,A menudo,A veces,A menudo,Raramente,A veces,A menudo,Raramente,Nunca,Nunca,Siempre,A veces,Siempre,A menudo,Nunca,Raramente,A veces
IE0001216,A menudo,Siempre,A veces,A veces,Siempre,Nunca,Raramente,A veces,A menudo,Raramente,A veces,A veces,Raramente,A veces,A menudo,A menudo,A menudo,A menudo,Raramente
IE9201210,Siempre,A menudo,Raramente,A menudo,Raramente,Siempre,A veces,A menudo,A veces,Raramente,A veces,Nunca,A menudo,A menudo,Siempre,A veces,A veces,A menudo,Nunca
IE1200926,A veces,Raramente,Raramente,Raramente,A veces,A veces,Raramente,Siempre,A veces,Raramente,Raramente,A veces,Raramente,A veces,A veces,Raramente,A veces,Siempre,Nunca
IE0000325,Raramente,Siempre,Siempre,A menudo,Siempre,A veces,A menudo,A veces,Siempre,A menudo,A veces,A veces,A veces,Raramente,Raramente,Raramente,A menudo,A veces,Raramente
IE0503025,Siempre,Raramente,Siempre,A menudo,A veces,Siempre,A menudo,Siempre,Siempre,A veces,Raramente,A veces,Siempre,A menudo,A menudo,A menudo,Nunca,A menudo,A menudo
IE9802647,A menudo,A veces,A menudo,Siempre,Nunca,A menudo,A veces,A veces,A veces,Raramente,A veces,Siempre,A menudo,A menudo,A veces,A veces,A veces,Siempre,A menudo
IE0204389,A menudo,A veces,A veces,A menudo,A menudo,Siempre,A menudo,A veces,Siempre,Siempre,Siempre,A veces,A menudo,A menudo,Siempre,Raramente,A menudo,A menudo,Raramente
IE9401993,Raramente,A veces,Raramente,Nunca,A menudo,Nunca,A menudo,Nunca,Siempre,Raramente,A veces,A veces,A veces,A veces,Nunca,A veces,A menudo,Siempre,Nunca
IE1204275,A menudo,Raramente,A veces,Raramente,A menudo,Raramente,Siempre,A menudo,A veces,A menudo,A menudo,Siempre,Raramente,Raramente,Raramente,Siempre,A veces,Siempre,Raramente
IE1105289,Raramente,A veces,Nunca,A menudo,A menudo,A menudo,A veces,Raramente,A veces,A menudo,A menudo,A menudo,Nunca,Nunca,Siempre,Siempre,Raramente,A veces,A veces
IE1601098,Nunca,Raramente,A menudo,A menudo,Nunca,A veces,A veces,Raramente,A veces,A menudo,Siempre,A menudo,Raramente,A menudo,Raramente,Siempre,A veces,A menudo,Siempre
IE1500374,Siempre,Siempre,A menudo,A veces,Siempre,A menudo,A veces,A veces,A menudo,A veces,A veces,A veces,Raramente,Nunca,Raramente,Siempre,A menudo,A menudo,A menudo
IE9501633,Nunca,A menudo,A menudo,Nunca,A menudo,A menudo,A veces,A menudo,A veces,A veces,A veces,A veces,Raramente,A veces,Raramente,Raramente,Raramente,Raramente,A menudo
IE2400801,Siempre,A veces,A menudo,Raramente,A menudo,Raramente,Nunca,A veces,Nunca,A veces,A menudo,A veces,A veces,Raramente,Raramente,Raramente,A menudo,Nunca,A veces
IE1004011,Raramente,A veces,Raramente,A menudo,A menudo,Nunca,Raramente,Siempre,A menudo,Raramente,A veces,A menudo,Siempre,A veces,A veces,A menudo,Siempre,A veces,Raramente
IE1704684,Raramente,A veces,Nunca,A menudo,A veces,A veces,A veces,A veces,Raramente,A veces,Siempre,Siempre,A menudo,A veces,Siempre,A veces,Siempre,A menudo,Nunca
IE0301539,A veces,A veces,A menudo,Nunca,A menudo,A menudo,Nunca,A menudo,A menudo,A veces,Raramente,Siempre,Siempre,A menudo,A veces,A veces,Raramente,Nunca,Raramente
IE0202790,Raramente,A menudo,Raramente,Raramente,A veces,A veces,A veces,A veces,A menudo,A veces,Nunca,A veces,A menudo,Siempre,Raramente,A veces,Nunca,A veces,A menudo
IE1601718,A menudo,Siempre,A veces,Raramente,Nunca,A veces,A veces,A veces,A veces,A veces,A veces,Siempre,A veces,A veces,A veces,A menudo,A menudo,A menudo,A veces
IE9005428,Nunca,Raramente,A veces,A veces,Nunca,Nunca,A menudo,A menudo,A menudo,Nunca,A veces,Raramente,Siempre,Nunca,Raramente,Nunca,Siempre,Raramente,A menudo
IE1501177,Siempre,A veces,Raramente,Nunca,Nunca,A veces,Nunca,A veces,Siempre,A menudo,A veces,Raramente,Siempre,Siempre,Nunca,Siempre,A menudo,Siempre,A menudo
IE9901412,Nunca,A veces,Raramente,A veces,A menudo,Nunca,A menudo,A veces,Siempre,A menudo,A veces,A veces,Raramente,Nunca,A veces,A veces,Nunca,A veces,A veces
IE1804174,A menudo,Raramente,A menudo,A veces,A veces,Raramente,A menudo,Siempre,A veces,Nunca,A menudo,A veces,A menudo,A veces,Raramente,A menudo,A veces,Nunca,A veces
IE0005001,A veces,A veces,Raramente,A menudo,Nunca,A veces,Nunca,A menudo,A veces,A veces,A veces,A menudo,A veces,Siempre,A veces,Nunca,A menudo,A veces,Siempre
IE0904432,A veces,Raramente,A veces,A veces,A veces,A veces,A menudo,Raramente,A veces,Siempre,Raramente,Nunca,A veces,Raramente,A menudo,Siempre,Siempre,Raramente,Siempre
IE1100427,Raramente,A menudo,A veces,A veces,Raramente,A menudo,Raramente,A menudo,A menudo,A veces,Siempre,Raramente,Nunca,Siempre,Nunca,A menudo,Raramente,Raramente,Raramente
IE1802025,A menudo,A veces,A menudo,A veces,A menudo,A veces,Raramente,Raramente,A veces,Raramente,A veces,Siempre,A veces,A menudo,Nunca,Siempre,Raramente,Siempre,Siempre
